,https://roic.ai/company/IDCC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-21500000,-2500000,-400000,-13900000,-28800000,-15100000,49400000,-13300000,-23800000,30100000,23956000,4538000,9567000,-2636000,59561000,48230000,33674000,314811000,152727000,85811000,320694000,133923000,-34338000,177608000,218175000,242013000,114499000,430778000,315800000,146792000,89433000,163467000,130392000
84,CAPEX,- -,- -,- -,- -,-300000,-500000,-200000,-2800000,-1900000,-500000,-2400000,-4100000,-3500000,-1800000,-1646000,-6806000,-7733000,-6519000,-3926000,-3746000,-5372000,-32717000,-62118000,-40825000,-36424000,-30334000,-31007000,-47388000,-63661000,-65327000,-53466000,-43440000,-37004000,-36895000,-37990000,-42408000,-38277000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-48000000,- -,-142985000,10000000,910000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55100000,- -,- -,-24200000,-36332000,-8094000,- -,-124466000,-144445000,-199127000,-151453000,-172210000,-138787000,-127041000,-314778000,-696478000,-713683000,-331828000,-417728000,-438157000,-655710000,-562075000,-934601000,-149241000,-92436000,-529559000,-527800000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,2400000,200000,- -,- -,12000000,35100000,- -,- -,- -,4394000,131697000,124144000,167850000,189685000,152550000,146581000,170417000,156608000,568888000,703538000,442182000,443074000,363175000,495201000,434510000,751308000,399105000,388682000,261011000,745716000
88,Other Investing Activites,- -,- -,- -,- -,-700000,-800000,900000,-300000,-1200000,800000,-1400000,-1200000,-1100000,-1500000,2457000,-1176000,-2974000,-5475000,-21085000,-13153000,-24835000,- -,- -,-35174000,-32400000,-27814000,-27172000,-43767000,-59070000,-58232000,-49766000,-37558000,-34933000,-34319000,-33481000,-30615000,-35766000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-1000000,-1300000,700000,-700000,-2900000,300000,-58900000,6700000,30500000,-27500000,-35521000,-16076000,-6313000,-4763000,-45312000,-48176000,8025000,-52377000,-54324000,2551000,-194594000,-157924000,-41152000,62966000,-38315000,-140309000,-213975000,-219005000,-220297000,69984000,268256000,-310046000,179639000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1589000,-1877000,-584000,-288000,-180000,- -,- -,- -,-230000000,- -,- -,-231854000,-94909000,- -
91,Common Stock Issued,- -,- -,- -,- -,18700000,2400000,700000,- -,30100000,13400000,13100000,10000000,400000,800000,12387000,12250000,2606000,12314000,19246000,12154000,4853000,40578000,6472000,2182000,7635000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-200000,-300000,-5354000,-2441000,- -,- -,-34689000,-17112000,-34085000,-184870000,-183118000,-82331000,-25020000,- -,- -,-152694000,-29134000,-152625000,-96410000,-64685000,-7693000,-110505000,-196269000,-349000,-30000000
93,Dividends Paid,- -,- -,- -,- -,-1800000,-200000,-200000,-200000,-200000,-400000,-200000,-200000,- -,-200000,-168000,-75000,-93000,-92000,-77000,-37000,- -,- -,- -,- -,- -,- -,-18150000,-83077000,-12354000,-23729000,-28937000,-31135000,-43255000,-48468000,-44580000,-43072000,-43058000
94,Other Financing Activites,- -,- -,- -,- -,7400000,-200000,-300000,19000000,900000,-200000,-300000,-700000,-900000,-700000,-767000,-445000,-218000,-378000,-189000,-199000,-327000,20366000,3876000,1502000,3881000,29173000,220688000,3009000,9499000,5503000,306463000,7914000,-15615000,-2084000,383379000,5474000,-1412000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,24300000,2000000,200000,18800000,30800000,12800000,12600000,9100000,-700000,-400000,6098000,9289000,2295000,11844000,-15709000,-5194000,-29559000,-123926000,-172770000,-80236000,-15381000,28589000,202250000,-232942000,-31989000,-170851000,181116000,-317906000,-66563000,-161057000,-89324000,-132856000,-74470000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,24300000,2000000,200000,18800000,30800000,12800000,12600000,9100000,-700000,-400000,-5467000,-2249000,5549000,4445000,-1460000,-5140000,12140000,138508000,-74367000,8126000,110719000,4588000,126760000,7632000,147871000,-69147000,81640000,-106133000,28940000,55719000,268365000,-279435000,235561000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14592000,12343000,17892000,22337000,20877000,15737000,27877000,166385000,92018000,100144000,210863000,215451000,342211000,349843000,497714000,428567000,510207000,404074000,433014000,488733000,757098000,477663000,713224000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4800000,6700000,4900000,5500000,9800000,8200000,6300000,9400000,12000000,17800000,20059000,14592000,12343000,17892000,22337000,20877000,15737000,27877000,166385000,92018000,100144000,210863000,215451000,342211000,349843000,497714000,428567000,510207000,404074000,433014000,488733000,757098000,477663000
100,Free Cash Flow,- -,- -,- -,- -,-21800000,-3000000,-600000,-16700000,-30700000,-15600000,47000000,-17400000,-27300000,28300000,22310000,-2268000,1834000,-9155000,55635000,44484000,28302000,282094000,90609000,44986000,284270000,103589000,-65345000,130220000,154514000,176686000,61033000,387338000,278796000,109897000,51443000,121059000,92115000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1405495/000119312508043723/d10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000089322009000448/0000893220-09-000448-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000095012310018213/0000950123-10-018213-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000095012311019854/w80945e10vk.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549512000009/0001405495-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549513000010/0001405495-13-000010-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549514000010/idcc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549515000010/idcc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549516000047/0001405495-16-000047-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549517000005/0001405495-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549518000015/0001405495-18-000015-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549519000008/0001405495-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549520000007/0001405495-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/1405495/000140549521000013/0001405495-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1405495/000140549522000010/0001405495-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
