,https://roic.ai/company/JOE,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19380000,-11710000,-23231000,-3411000,- -,- -,- -,- -,- -,- -,-40000,- -,-19389000,-22592000,-5783000,-1624000,787000,- -,- -,- -,-9884000
86,Purchases of Investments,- -,-140700000,-368100000,-238700000,-162000000,-78000000,-134100000,-199900000,-202700000,-188100000,-972000000,-142992000,-7359000,- -,-1007000,-93379000,-75753000,-106822000,-8872000,-15147000,- -,- -,- -,- -,- -,-256730000,-730020000,-341994000,-357787000,-115944000,-22100000,-5797000,-58912000,-157928000
87,Sales/Maturities of Investments,- -,127700000,326000000,247500000,189500000,95900000,119200000,164500000,139400000,228500000,1134400000,167197000,40404000,6530000,3304000,511000,- -,- -,- -,- -,859000,- -,- -,- -,656000,107725000,233558000,796482000,383335000,189282000,86542000,37476000,14289000,117361000
88,Other Investing Activites,- -,30600000,17800000,19900000,7700000,7000000,18600000,-22900000,450500000,4500000,-141900000,220703000,124269000,157742000,147742000,6540000,52883000,94801000,52876000,347425000,- -,2756000,770000,328000,- -,602000,2852000,- -,3000,-26669000,-17762000,-51623000,-114186000,-145634000
89,Cash Used for Investing Activites,- -,-92100000,-128000000,-71600000,-85500000,-68100000,-82800000,-137100000,322900000,-21700000,-114600000,-36848000,-96643000,-78472000,121607000,-116468000,-36239000,-31930000,29986000,326695000,-1419000,218000,-512000,-2138000,181000,-171386000,-518685000,445401000,21028000,44451000,44065000,-29298000,-164498000,-196085000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-537000000,- -,- -,-227000,-19958000,-321000,-627000,-31942000,-497000,-1290000,-1362000,-1643000,-1995000,-2431000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18337000,40161000,30877000,40398000,15140000,13056000,8562000,4338000,579802000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-12100000,- -,- -,- -,- -,- -,- -,-54600000,-69532000,-7796000,-177630000,-157627000,-102939000,-69159000,-119979000,-57297000,-2063000,- -,- -,- -,- -,- -,- -,- -,-305004000,-14820000,-147422000,-93369000,-20845000,-8803000,- -
93,Dividends Paid,- -,-8100000,-7900000,-7800000,-7800000,-7800000,-7800000,-7800000,-6100000,-344600000,-8900000,-3437000,-78627000,-6873000,-6573000,-24537000,-39928000,-45840000,-47698000,-35636000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4122000,-18844000
94,Other Financing Activites,- -,1700000,6800000,-6600000,600000,1600000,-3300000,-38800000,-1900000,- -,800000,106992000,150527000,156247000,7285000,61261000,31764000,100428000,44765000,-96660000,1365000,-2618000,4220000,-9232000,325000,11288000,200898000,47385000,9753000,-533000,14868000,11997000,63529000,69844000
95,Cash Used/Provided by Financing Activities,- -,-6400000,-1100000,-26500000,-7200000,-6200000,-11100000,-46600000,-8000000,-344600000,-62700000,34023000,82441000,11905000,-126038000,-25817000,-62183000,-52335000,-51668000,-130021000,44167000,-2618000,4220000,-9459000,-19633000,10967000,200271000,-289561000,-5564000,-149245000,-79863000,-10491000,48609000,48569000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-6400000,-1100000,-26500000,-7200000,-6200000,-11100000,-46600000,-8000000,-344600000,-62700000,32879000,-20382000,-10665000,32333000,-15870000,37413000,107789000,-165670000,-12670000,91207000,48335000,20020000,-21436000,3589000,-144086000,12621000,178258000,28338000,-49028000,5622000,-9396000,-78558000,-35719000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71987000,51605000,40940000,73273000,57403000,94816000,202605000,36935000,24265000,115472000,163807000,183827000,162391000,165980000,21894000,34515000,212773000,241111000,192083000,198073000,188677000,110119000,74400000
99,Cash at the Beginning of Period,- -,75100000,101600000,76500000,60400000,42100000,48300000,46400000,16800000,449000000,158500000,39108000,71987000,51605000,40940000,73273000,57403000,94816000,202605000,36935000,24265000,115472000,163807000,183827000,162391000,165980000,21894000,34515000,212773000,241111000,192451000,198073000,188677000,110119000
100,Free Cash Flow,- -,15300000,300000,-18300000,-46300000,-12600000,31000000,75300000,53000000,9200000,-77200000,-246052000,-260137000,-167462000,20042000,119506000,125877000,172145000,-158006000,-214927000,46181000,48197000,15030000,-12265000,22566000,12739000,328552000,19114000,9975000,52761000,38805000,21039000,31642000,-41704000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745308/000074530895000001/0000745308-95-000001-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/745308/000095014401003644/0000950144-01-003644-index.html,- -,https://www.sec.gov/Archives/edgar/data/745308/000095014403003823/g81116e10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013504001242/b48990sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013505001371/b53217sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013506001592/b58286sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013507001271/b63654sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013508001146/b68110sje10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000095013509001116/0000950135-09-001116-index.html,https://www.sec.gov/Archives/edgar/data/745308/000095012310015531/0000950123-10-015531-index.html,https://www.sec.gov/Archives/edgar/data/745308/000095012311021364/b83540e10vk.htm,https://www.sec.gov/Archives/edgar/data/745308/000119312512081993/0001193125-12-081993-index.html,https://www.sec.gov/Archives/edgar/data/745308/000119312513087844/0001193125-13-087844-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530814000003/joe-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/745308/000074530815000003/joe-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/745308/000074530816000033/0000745308-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530817000003/0000745308-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/745308/000074530818000004/0000745308-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837019001206/0001558370-19-001206-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837020001483/0001558370-20-001483-index.html,https://www.sec.gov/Archives/edgar/data/745308/000155837021001636/0001558370-21-001636-index.htm,https://www.sec.gov/Archives/edgar/data/745308/000155837022001751/0001558370-22-001751-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
