,https://roic.ai/company/SEB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,-41100000,-20200000,-37900000,-87300000,-87600000,-229500000,-110500000,-85500000,-46900000,-67700000,-116933000,-54962000,-149879000,-31472000,-33622000,-64241000,-85886000,-164173000,-134634000,-54276000,-103336000,-183748000,-158755000,-149652000,-121178000,-139000000,-158000000,-173000000,-162000000,-349000000,-259000000,-460000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-45444000,- -,- -,- -,- -,-47993000,- -,-61260000,623000,31858000,-5578000,- -,-28113000,-39485000,42774000,-119000000,-290000000,-141000000,-290000000,-4000000,-35000000,-8000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-20600000,- -,-23900000,-101100000,-814400000,-691600000,-327000000,-319300000,-498000000,-444000000,-1258364000,-388786000,-129806000,-89841000,-317479000,-819643000,-2564865000,-1699087000,-287411000,-349630000,-904913000,-251964000,-782900000,-616094000,-1099278000,-1348000000,-722000000,-779000000,-1151000000,-1064000000,-786000000,-2129000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,7500000,900000,2000000,4500000,732700000,371500000,259100000,396500000,508000000,1235444000,354220000,226368000,88801000,256448000,561291000,2462561000,1876431000,266169000,278245000,765470000,294985000,791834000,631026000,894371000,555000000,744000000,665000000,1244000000,1158000000,838000000,2228000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-5500000,-7500000,47100000,-6500000,852800000,8900000,26000000,8000000,83800000,800000,360696000,2053000,-18187000,10490000,12659000,34993000,1688000,-606000,-130664000,-50975000,-188016000,-226271000,-222092000,-53460000,-102370000,-92000000,-106000000,-11000000,-152000000,-343000000,-279000000,-393000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-67200000,-20200000,-13800000,-192900000,-44700000,-179500000,-40000000,-137700000,-64600000,-2900000,175399000,-87475000,-71504000,-22022000,-81994000,-335593000,-186502000,-48695000,-151283000,-90502000,-333037000,-183250000,-241271000,-78013000,-264503000,-1004000000,-374000000,-266000000,-349000000,-253000000,-262000000,-302000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11679000,-141986000,-4714000,-1476000,-43947000,-53756000,-91403000,- -,-5000000,-17000000,-46000000,-35000000,-377000000,-570000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-47241000,- -,- -,- -,- -,-30488000,-5012000,-3370000,-29994000,-9971000,-26830000,-23578000,-53781000,- -,- -,- -,-5000000,-17000000,-13000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-700000,-700000,-700000,-1100000,-1500000,-1500000,-1500000,-1500000,-1500000,-1500000,-1487000,-1487000,-3544000,-3765000,-3765000,-3770000,-3784000,-3765000,-3832000,-3823000,-10999000,-148000,-14376000,- -,- -,- -,- -,-7000000,-7000000,-10000000,-10000000,-10000000
94,Other Financing Activites,- -,- -,- -,- -,- -,30500000,-400000,-8200000,136300000,-6400000,139600000,120200000,15100000,-22600000,68200000,-164654000,-66434000,96620000,-54404000,-133079000,27734000,-96393000,-44561000,78273000,-291000,16722000,2909000,42685000,39676000,16004000,605000000,-22000000,82000000,248000000,73000000,318000000,793000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,29800000,-1100000,-8900000,135200000,-7900000,138100000,118700000,13600000,-24100000,66700000,-166141000,-67921000,45835000,-58169000,-136844000,23964000,-100177000,-78814000,57750000,-149470000,-28985000,-8686000,-42468000,-37658000,-129180000,605000000,-27000000,58000000,190000000,11000000,-82000000,213000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-595000,-1572000,2635000,1986000,499000,-331000,-393000,-3152000,-5122000,1477000,2326000,-1823000,-1923000,985000,-3000000,1000000,2000000,-1000000,2000000,4000000,-4000000
97,Net Change In Cash,- -,- -,- -,- -,- -,29800000,-1100000,-8900000,135200000,-7900000,800000,118700000,13600000,-24100000,-9700000,8721000,3237000,245000,14135000,-22757000,20002000,-3253000,15977000,13248000,1263000,-20733000,30386000,-23859000,7404000,-18596000,14000000,27000000,39000000,78000000,-69000000,-49000000,-1000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5600000,- -,- -,- -,11000000,19760000,22997000,23242000,37377000,14620000,34622000,31369000,47346000,60594000,61857000,41124000,71510000,47651000,55055000,36459000,50000000,77000000,116000000,194000000,125000000,76000000,75000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,3000000,5200000,5600000,9800000,7100000,4800000,5500000,11500000,8600000,20700000,11039000,19760000,22997000,23242000,37377000,14620000,34622000,31369000,47346000,60594000,61857000,41124000,71510000,47651000,55055000,36000000,50000000,77000000,116000000,194000000,125000000,76000000
100,Free Cash Flow,- -,- -,- -,- -,- -,-1400000,1500000,-11000000,-32300000,-37300000,-187300000,-183300000,35600000,53900000,-141200000,-117470000,104266000,-122393000,60219000,160473000,266891000,197871000,-20294000,-24701000,192081000,236476000,36248000,102948000,-24654000,252924000,277000000,269000000,72000000,76000000,-178000000,32000000,-368000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88121/0000088121-96-000013-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/88121/000008812109000004/0000088121-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/88121/000008812110000002/0000088121-10-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/88121/000110465912014042/0001104659-12-014042-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465913015039/0001104659-13-015039-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465914013620/0001104659-14-013620-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000110465915014380/0001104659-15-014380-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000155837016003549/0001558370-16-003549-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812117000016/0000088121-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812118000012/0000088121-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812119000011/0000088121-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812120000010/0000088121-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812121000013/0000088121-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/88121/000008812122000017/0000088121-22-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
