,https://roic.ai/company/TTEK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
63,Common Stock,- -,- -,- -,- -,- -,200000,300000,400000,400000,500000,522000,500000,500000,600000,600000,600000,584000,600000,600000,600000,600000,638000,600000,600000,594000,570000,559000,553000,546000,538000,540000
64,Retained Earnings,-1000000,2000000,6300000,12000000,19600000,29700000,43900000,64500000,93600000,134100000,164900000,196800000,127900000,151600000,52200000,88800000,135134000,196000000,283100000,359900000,449900000,554306000,552200000,651500000,672309000,736357000,832559000,944965000,1071192000,1198567000,1358726000
65,Other Comprehensive Income/Loss,-1800000,-2400000,-3000000,-4300000,-5000000,-6800000,-9600000,30800000,24800000,26000000,-35856000,23000000,12852000,1801000,757000,1000,-37000,15000,12226000,18763000,4754000,31017000,1858000,-42538000,-143171000,-128008000,-98500000,-127350000,-160584000,-161786000,-125028000
66,Other Total Stockholders Equity,5600000,22400000,23100000,25800000,26900000,40200000,86600000,72100000,115600000,137300000,242580000,196000000,221299000,243499000,251059000,265401000,280022000,314899000,350552000,368870000,399471000,433009000,443105000,402517000,326593000,260340000,193835000,148803000,78132000,- -,- -
67,Total Stockholders Equity,2800000,22000000,26400000,33500000,41500000,63300000,121200000,167800000,234400000,297900000,372146000,416300000,362551000,397500000,304616000,354802000,415703000,511514000,646478000,748133000,854725000,1018970000,997763000,1012079000,856325000,869259000,928453000,966971000,989286000,1037319000,1234238000
68,Total Liabilities And Stockholders Equity,20100000,30100000,38600000,51600000,92900000,88500000,159500000,266600000,380400000,526000000,607221000,672000000,707551000,808500000,648116000,701702000,847487000,1056514000,1097878000,1381733000,1594025000,1670133000,1799063000,1776379000,1559242000,1800779000,1902745000,1959292000,2147408000,2378504000,2576509000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,-4351000,- -,-16000,-2000,- -,-14000,22000,-33000,-25000,897000,37000,21000,- -,- -,- -,129000,- -,56000,53000
70,Total Liabilities & Equity,20100000,30100000,38600000,51600000,92900000,88500000,159500000,266600000,380500000,526000000,607221000,672000000,703200000,808500000,648100000,701700000,847487000,1056500000,1097900000,1381700000,1594000000,1671030000,1799100000,1776400000,1559242000,1800779000,1902745000,1959421000,2147408000,2378560000,2576562000
71,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831641/000089843096005943/0000898430-96-005943-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831641/000091205700055237/0000912057-00-055237-index.html,https://www.sec.gov/Archives/edgar/data/831641/000091205701544914/0000912057-01-544914-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746902008614/a2096805z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746903041045/a2124434z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746905000037/a2149127z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000110465905061302/a05-21654_110k.htm,https://www.sec.gov/Archives/edgar/data/831641/000110465906084204/a06-25650_110k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746907009543/0001047469-07-009543-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746908012390/0001047469-08-012390-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746909010148/0001047469-09-010148-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746910009822/0001047469-10-009822-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746911009637/0001047469-11-009637-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746912010616/0001047469-12-010616-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746913010692/0001047469-13-010692-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746914009389/0001047469-14-009389-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746915008864/0001047469-15-008864-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746916016906/0001047469-16-016906-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164117000022/0000831641-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164118000097/0000831641-18-000097-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164119000193/0000831641-19-000193-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164120000154/0000831641-20-000154-index.htm,https://www.sec.gov/Archives/edgar/data/831641/000083164121000110/0000831641-21-000110-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
