,https://roic.ai/company/APA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,40400000,-70800000,11400000,-18800000,49600000,-9100000,-19500000,46000000,-83300000,85100000,70373000,98618000,59255000,-155852000,-12803000,-90378000,-1296854000,1408576000,1748511000,357545000,-2237291000,-116000000,-414000000,2240000000,1085000000,-840000000,-513000000,-237000000,-675000000,-380000000,432000000,10757000000,37000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000000,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-3600000,- -,- -,- -,-1500000,-800000,- -,- -,- -,-3005000,717000,-4216000,-659000,11295000,10238000,39787000,-22295000,-5172000,35000000,-37000000,-59000000,-70000000,-44000000,21000000,-27000000,32000000,-6000000,-41000000,19000000,-9000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-180336000,214000000,241000000,-100000000,479000000,-294000000,-489000000,-63000000,63000000,77000000,-5000000,-167000000,245000000
81,Other Working Capital,- -,- -,- -,- -,15700000,-55100000,-43700000,-62500000,-12900000,-22000000,-41500000,4500000,-78800000,6300000,76673000,175291000,234546000,78694000,65891000,-24487000,-1321341000,87235000,1835746000,2193291000,-44000000,-160000000,-574000000,1666000000,2751000000,1911000000,1398000000,1161000000,486000000,106000000,538000000,11295000000,-11000000
82,Other Non-Cash Items,- -,- -,- -,- -,-800000,86500000,-29400000,-22000000,-62600000,40000000,-200000,-58400000,196000000,-32800000,-158273000,-216537000,93596000,22524000,-24988000,-16386000,987037000,-2215937000,-2120754000,-618469000,1763218000,727000000,1579000000,3586000000,5845000000,13799000000,32070000000,4747000000,2835000000,4199000000,5936000000,-4473000000,2398000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,168100000,189400000,156600000,194400000,225100000,335600000,332100000,490500000,723800000,471500000,638200000,1529386000,1934727000,1380718000,2705900000,3231519000,4332270000,4312906000,5677433000,7065344000,4223643000,6726000000,9953000000,8504000000,9835000000,8461000000,2984000000,2430000000,2428000000,3777000000,2867000000,1388000000,3496000000
84,CAPEX,- -,- -,- -,- -,-20200000,-37000000,-572100000,-207100000,-439600000,-180000000,-1149600000,-642100000,-731900000,-699500000,-1886200000,-1010528000,-1524773000,-1037368000,-1594936000,-2456488000,-3715856000,-4140228000,-4802343000,-5972846000,-3631099000,-4922000000,-7078000000,-9531000000,-11220000000,-12372000000,-5178000000,-1949000000,-2760000000,-3904000000,-2961000000,-1302000000,-1113000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1250816000,-989008000,-269885000,-1365189000,-880136000,- -,-1899738000,-1004593000,- -,-310472000,-8360000000,-1813000000,-3357000000,181000000,- -,1245000000,- -,- -,-91000000,-1172000000,-327000000,-28000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,- -,-5300000,- -,-103863000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,51200000,- -,6600000,- -,7200000,- -,26100000,- -,- -,- -,101723000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-111400000,-135900000,68400000,37900000,-27000000,-341300000,279600000,16700000,-334300000,161300000,121700000,32330000,303580000,-30477000,1368000,-74389000,-15986000,264384000,-138993000,229868000,694145000,-121000000,246000000,-536000000,3923000000,3568000000,4609000000,289000000,1344000000,51000000,687000000,163000000,308000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-131600000,-172900000,-503700000,-118000000,-466600000,-519700000,-870000000,-618200000,-1066200000,-512100000,-1769800000,-2229014000,-2314064000,-1236007000,-2958757000,-3411013000,-3731842000,-5775582000,-5945929000,-5742978000,-3247426000,-13403000000,-8645000000,-13424000000,-7116000000,-8804000000,676000000,-1660000000,-1416000000,-3944000000,-3446000000,-1466000000,-833000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-1023000000,- -,-400000000,-2585000000,- -,-2509000000,-181000000,-70000000,-1370000000,-1150000000,-1243000000,-1795000000
91,Common Stock Issued,- -,- -,- -,- -,100000,1100000,1400000,600000,134200000,4600000,197000000,8100000,11600000,99900000,665900000,465306000,10205000,32699000,582865000,34067000,25484000,31963000,43961000,36011000,34115000,2328000000,52000000,- -,- -,- -,- -,- -,- -,- -,2000000,1000000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-4700000,- -,- -,- -,- -,- -,-1700000,-400000,-21400000,-15600000,-20343000,-42959000,- -,- -,- -,- -,-166907000,- -,- -,-98387000,- -,- -,- -,-997000000,-1864000000,- -,- -,- -,-305000000,- -,- -,-847000000
93,Dividends Paid,- -,- -,- -,- -,-9700000,-12500000,-12700000,-13100000,-14900000,-17100000,-18900000,-23400000,-25300000,-28200000,-42300000,-52945000,-54492000,-68879000,-72832000,-90369000,-117395000,-154143000,-204753000,-239358000,-208603000,-226000000,-306000000,-332000000,-360000000,-365000000,-377000000,-379000000,-380000000,-382000000,-376000000,-146000000,-98000000
94,Other Financing Activites,- -,- -,- -,- -,13500000,9600000,279600000,-44200000,113100000,194600000,343500000,144300000,353000000,-4800000,522200000,331612000,465035000,-92270000,-275559000,313386000,-390750000,1663427000,414587000,-63392000,263325000,3684000000,-893000000,5517000000,2969000000,1435000000,-76000000,-300000000,-271000000,1270000000,1636000000,1481000000,117000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,3900000,-6500000,268300000,-56700000,232400000,182100000,521600000,127300000,338900000,45500000,1130200000,723630000,377789000,-128450000,234474000,257084000,-482661000,1374340000,253795000,-266739000,-109550000,4763000000,-1147000000,4785000000,-973000000,-794000000,-2962000000,-860000000,-721000000,-787000000,112000000,93000000,-2623000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,3900000,-6500000,268300000,-56700000,232400000,182100000,521600000,127300000,338900000,45500000,-1300000,24002000,-1548000,16261000,-18383000,77590000,117767000,-88336000,-14701000,1055627000,866667000,-1914000000,161000000,-135000000,1746000000,-1137000000,698000000,-90000000,291000000,-954000000,-467000000,15000000,40000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13200000,37173000,35625000,51886000,33503000,111093000,228860000,140524000,125823000,1181450000,2048117000,134000000,295000000,160000000,1906000000,769000000,1467000000,1377000000,1668000000,714000000,247000000,262000000,302000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,34900000,75200000,85200000,6400000,26100000,17100000,30000000,13600000,13200000,9700000,14500000,13171000,37173000,35625000,51886000,33503000,111093000,228860000,140524000,125823000,1181450000,2048000000,134000000,295000000,160000000,1906000000,769000000,1467000000,1377000000,1668000000,714000000,247000000,262000000
100,Free Cash Flow,- -,- -,- -,- -,147900000,152400000,-415500000,-12700000,-214500000,155600000,-817500000,-151600000,-8100000,-228000000,-1248000000,518858000,409954000,343350000,1110964000,775031000,616414000,172678000,875090000,1092498000,592544000,1804000000,2875000000,-1027000000,-1385000000,-3911000000,-2194000000,481000000,-332000000,-127000000,-94000000,86000000,2383000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012995000141/0000950129-95-000141-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012996000468/0000950129-96-000468-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012997001291/0000950129-97-001291-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012901001592/0000950129-01-001592-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095013402002442/0000950134-02-002442-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6769/000095012907001091/h43727e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000095012908001358/h54173e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000095012909000708/0000950129-09-000708-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012310018311/0000950123-10-018311-index.html,https://www.sec.gov/Archives/edgar/data/6769/000095012311019900/h78042e10vk.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312512086217/0001193125-12-086217-index.html,https://www.sec.gov/Archives/edgar/data/6769/000119312513085083/0001193125-13-085083-index.html,https://www.sec.gov/Archives/edgar/data/6769/000119312514077668/d647405d10k.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312515070388/d836834d10k.htm,https://www.sec.gov/Archives/edgar/data/6769/000119312516481920/0001193125-16-481920-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337917000004/0001673379-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337918000008/0001673379-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/6769/000173303719000004/0001733037-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000173303720000004/0001733037-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/6769/000167337921000007/0001673379-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1841666/000178403122000009/0001784031-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
