,https://roic.ai/company/ZBH,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,- -,117000000,136800000,155700000,184300000,416400000,541900000,483300000,470200000,574500000,584700000,556100000,572900000,580500000,581800000,884800000,870900000,1333100000,1441400000,1465000000,1533700000,1540600000,1581900000,1862800000
53,Total Current Liabilities,- -,- -,215000000,186900000,373100000,400800000,645300000,701000000,606900000,628200000,748600000,771100000,690700000,702500000,867100000,866000000,1031600000,1038000000,1617900000,2381500000,3020200000,2421300000,3441500000,2556900000,3467900000
54,Long-Term Debt,- -,- -,- -,- -,213900000,- -,1007800000,624000000,81600000,99600000,104300000,460100000,1127600000,1142100000,1576000000,1686900000,1663000000,1401500000,11529500000,10634400000,8894400000,8399100000,6715000000,7623400000,5463700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45900000,3150200000,3030900000,1101500000,999500000,840100000,790400000,- -
57,Other Non-Current Liabilities,- -,- -,- -,149500000,79300000,91800000,352600000,420900000,348300000,323400000,328400000,353900000,328500000,384000000,557400000,593200000,585900000,626700000,1032500000,967700000,1212900000,1030800000,1249300000,1247600000,1858400000
58,Total Non-Current Liabilities,- -,- -,- -,149500000,293200000,91800000,1360400000,1044900000,429900000,423000000,432700000,814000000,1456100000,1526100000,2133400000,2280100000,2248900000,2074100000,15712200000,14633000000,11208800000,10429400000,8804400000,9661400000,7322100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,215000000,336400000,666300000,492600000,2005700000,1745900000,1036800000,1051200000,1181300000,1585100000,2146800000,2228600000,3000500000,3146100000,3280500000,3112100000,17330100000,17014500000,14229000000,12850700000,12245900000,12218300000,10790000000
