,https://roic.ai/company/SYY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33377000,- -,- -,- -,- -,- -,- -,- -,-192692000,154811000,187410000,30335000,207243000,392720000,72516000,23863000,322775000,76897000,246420000,-834118000,1459222000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,753000000,842000000,884000000,850000000,856000000,981000000,950000000,894987000,946000000,929000000,724000000,544000000,1173291000,1260457000,1676000000,2121000000,2067000000,2158000000,2661229000,2458000000,2314000000,2094689000,5619443000,1937552000,1414707000,2038322000,5630379000,3413723000
82,Other Non-Cash Items,- -,- -,- -,20900000,-17700000,-20300000,-51600000,-65600000,-830800000,-158300000,-129400000,57700000,-111300000,-112400000,98593000,158889000,-187776000,-142632000,-404225000,-460753000,-1187957000,-593850000,-941423000,-62866000,-575041000,-448066000,-529990000,168257000,105090000,465940000,-3377281000,3781784000,203464000,-628799000,-2953910000,2806516000
83,Cash Provided by Operating Activities,- -,- -,- -,154200000,222900000,248200000,234000000,257200000,282500000,336900000,350400000,498100000,357800000,585300000,708726000,955224000,1084980000,1372840000,1189522000,1191840000,1123832000,1402922000,1596129000,1582341000,885428000,1091518000,1404180000,1511594000,1492815000,1555484000,1933142000,2176425000,2158632000,2411207000,1618680000,1903842000
84,CAPEX,- -,- -,- -,-159100000,-182400000,-134900000,-134300000,-127900000,-161500000,-201600000,-235900000,-210900000,-343800000,-286700000,-266413000,-341138000,-416393000,-435637000,-530086000,-390203000,-514751000,-603242000,-515963000,-464561000,-594604000,-636442000,-784501000,-511862000,-523206000,-542830000,-527346000,-686378000,-687815000,-692391000,-720423000,-470676000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-211901000,-10363000,-234618000,-209010000,-79247000,-115637000,-114378000,-59322000,-55259000,-218075000,-29293000,-101148000,-110601000,-397447000,-79338000,-115862000,-219218000,-2921798000,-248105000,43263000,-142780000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85071000,- -,- -,- -,- -,- -,-103501000,- -,- -,-116440000,-11424000,-53148000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61568000,24993000,- -,- -,- -,- -,57452000,- -,- -,- -,20532000,35979000
88,Other Investing Activites,- -,- -,- -,-444000000,12300000,-41300000,3900000,5600000,-12900000,5100000,11000000,-2500000,8300000,25000000,18922000,12750000,20711000,-37178000,-74478000,92400000,20458000,13853000,15662000,23973000,-8920000,33041000,-8527000,-2573000,25706000,4346000,191785000,23715000,22255000,22713000,97788000,59147000
89,Cash Used for Investing Activites,- -,- -,- -,-603100000,-170100000,-176200000,-130400000,-122300000,-174400000,-196500000,-224900000,-213400000,-335500000,-261700000,-459392000,-338751000,-630300000,-681825000,-683811000,-413440000,-608671000,-648711000,-555560000,-658663000,-656320000,-679556000,-903629000,-911882000,-576838000,-654346000,-600828000,-3584461000,-913665000,-742855000,-756307000,-428698000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-41417000,- -,- -,- -,- -,- -,- -,- -,-10173000,-10695000,-8732000,-205638000,-294514000,-229507000,-354007000,-5176797000,-143664000,-552036000,-790250000,-1119232000,-2003135000
91,Common Stock Issued,- -,- -,- -,3000000,13500000,16100000,17400000,17400000,23500000,23800000,25400000,28100000,33900000,38800000,52342000,75511000,86328000,101312000,167652000,208004000,128055000,221736000,128238000,111780000,94750000,332688000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-19800000,-180300000,-80100000,-53200000,-232100000,-305300000,-263400000,-204000000,-186296000,-428196000,-473558000,-478471000,-608506000,-597660000,-544131000,-550865000,-529179000,-438843000,-179174000,-291600000,-272299000,-721616000,-332381000,- -,-1949445000,-1886121000,-978901000,-1022033000,-844699000,- -
93,Dividends Paid,- -,- -,- -,-15400000,-17800000,-22200000,-31600000,-48800000,-59100000,-73200000,-87700000,-99600000,-110900000,-126700000,-145418000,-173701000,-213275000,-261854000,-309540000,-357298000,-397537000,-445416000,-497467000,-548246000,-579763000,-597071000,-622869000,-648253000,-667217000,-695274000,-698869000,-698647000,-722158000,-775430000,-856312000,-917564000
94,Other Financing Activites,- -,- -,- -,481200000,-47900000,-51700000,-65500000,71300000,25600000,9300000,142700000,102000000,310800000,7300000,39863000,-72055000,240521000,88485000,108543000,-37316000,308996000,26295000,199830000,505839000,7852000,186808000,658157000,790175000,313247000,4946843000,5420380000,1108723000,842626000,750439000,7540043000,-1707529000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,468800000,-52200000,-57800000,-99500000,-140400000,-90100000,-93300000,-151700000,-274800000,-29600000,-284600000,-239509000,-639858000,-359984000,-550528000,-641851000,-784270000,-504617000,-748250000,-698578000,-379643000,-667030000,-377907000,-442649000,-874208000,-915858000,3897562000,-2404731000,-1619709000,-1410469000,-1837274000,4719800000,-4628228000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1479000,-1601000,-2158000,-325000,14000,1689000,-8503000,4714000,20267000,-8800000,-2086000,642000,-81702000,-138327000,-22104000,11844000,-14677000,-18848000,94614000
97,Net Change In Cash,- -,- -,- -,468800000,-52200000,-57800000,-99500000,-140400000,-90100000,-93300000,-151700000,-274800000,-29600000,39000000,9825000,-23385000,94696000,139008000,-137741000,-8028000,10219000,5975000,343680000,535532000,-433208000,54322000,49102000,-276582000,761000,4716998000,-1210744000,-3049849000,-153658000,-183599000,5563325000,-3058470000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149300000,159128000,135743000,230439000,337447000,199706000,191678000,201897000,207872000,551552000,1087084000,585443000,639765000,688867000,412285000,413046000,5130044000,3919300000,869502000,715844000,532245000,6095570000,3037100000
99,Cash at the Beginning of Period,- -,- -,- -,35600000,55500000,56000000,70200000,74400000,68800000,86700000,133900000,107800000,117700000,110300000,149303000,159128000,135743000,198439000,337447000,199706000,191678000,201897000,207872000,551552000,1018651000,585443000,639765000,688867000,412285000,413046000,5130044000,3919351000,869502000,715844000,532245000,6095570000
100,Free Cash Flow,- -,- -,- -,-4900000,40500000,113300000,99700000,129300000,121000000,135300000,114500000,287200000,14000000,298600000,442313000,614086000,668587000,937203000,659436000,801637000,609081000,799680000,1080166000,1117780000,290824000,455076000,619679000,999732000,969609000,1012654000,1405796000,1490047000,1470817000,1718816000,898257000,1433166000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012994000711/0000950129-94-000711-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012995001268/0000950129-95-001268-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012900004742/0000950129-00-004742-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/96021/000095012907004350/0000950129-07-004350-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012908004642/0000950129-08-004642-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012309037707/0000950123-09-037707-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012310082514/0000950123-10-082514-index.html,https://www.sec.gov/Archives/edgar/data/96021/000095012311081150/0000950123-11-081150-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602112000062/0000096021-12-000062-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602113000073/0000096021-13-000073-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602114000040/0000096021-14-000040-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602115000057/0000096021-15-000057-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602116000275/syy201610-k.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602117000120/0000096021-17-000120-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602118000126/0000096021-18-000126-index.html,https://www.sec.gov/Archives/edgar/data/96021/000009602119000093/syy2019q410-k.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602120000100/0000096021-20-000100-index.htm,https://www.sec.gov/Archives/edgar/data/96021/000009602121000093/0000096021-21-000093-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
