,https://roic.ai/company/TMO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-5100000,-10900000,8200000,-4800000,-6500000,10000000,-31800000,-1300000,- -,9200000,-14000000,-77356000,7724000,21470000,28289000,-21465000,6258000,7860000,-14000000,-49600000,108200000,-27900000,-32500000,-59900000,-72200000,-109800000,-140700000,97800000,-81000000,-324000000,-458000000,-508000000,-1065000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-44900000,2500000,31400000,10000000,47000000,1200000,-2700000,55500000,274000000,201000000,266000000,59000000,479000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,1146200000,1306000000,2219000000,- -,2002000000,2163000000,1737000000,823000000,668000000,710463000,890926000,562238000,1507215000,1763700000,2805700000,2891600000,2425200000,1708800000,2741500000,6754700000,1190000000,1593900000,2155200000,2373000000,4478000000,5696000000,11653000000,-724000000
82,Other Non-Cash Items,- -,- -,- -,- -,-7400000,-33900000,-47700000,-45800000,-6200000,-1117100000,-194800000,-1015600000,- -,110200000,-179300000,-107865000,1021631000,-132254000,-68178000,-346935000,258528000,-875404000,-200085000,-1285600000,116200000,347900000,256900000,-931400000,-3893800000,5109800000,-850800000,-698300000,468200000,-2569000000,-2097000000,-6012000000,926000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,47600000,18600000,23000000,54900000,126700000,204200000,194600000,224500000,- -,269000000,328500000,199921000,188401000,102892000,216719000,264510000,270913000,405654000,1483500000,1420200000,1659200000,1497800000,1691000000,2039500000,2010700000,2619600000,2816900000,3156300000,4005000000,4543000000,4973000000,8289000000,9312000000
84,CAPEX,- -,- -,- -,- -,-47900000,-120000000,-33500000,-60000000,-56600000,-60200000,-62900000,-124500000,- -,-960700000,-401200000,-74039000,-84799000,-51212000,-46136000,-49985000,-43545000,-76797000,-175500000,-264400000,-207500000,-265500000,-266500000,-315100000,-282400000,-427600000,-422900000,-444400000,-508000000,-758000000,-926000000,-1474000000,-2523000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15808000,-83658000,-78683000,-134924000,-143010000,-933218000,236505000,-486200000,-198000000,-632900000,-606200000,-5684800000,-1083400000,-11400000,-11538300000,-694600000,-5188400000,-7226000000,-536000000,-715000000,-38000000,-19395000000
86,Purchases of Investments,- -,- -,- -,- -,-55600000,-9500000,-248400000,- -,-214500000,-748900000,-570100000,-831000000,- -,-973700000,-2194800000,-473576000,-969267000,-83000,-179000,-611095000,-231900000,-87821000,-8100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,11600000,65400000,15800000,68300000,16700000,495400000,617100000,- -,- -,1543000000,1936600000,516354000,830566000,339105000,467832000,664812000,369818000,159891000,7700000,600000,800000,- -,47100000,1900000,7600000,88600000,12000000,81200000,22000000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-4700000,-11900000,-12300000,-418900000,-144900000,-136300000,-366100000,-355800000,- -,71600000,27100000,276646000,483314000,299352000,92197000,173431000,85365000,51669000,76100000,11900000,10100000,12800000,762000000,70800000,22900000,94600000,18100000,19500000,-17000000,41000000,154000000,2000000,-14000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-96600000,-76000000,-278400000,-410600000,-399300000,-450000000,-382000000,-1311300000,- -,-319800000,-632300000,229577000,176156000,508479000,378790000,34153000,-753480000,283447000,-586000000,-450000000,-829500000,-858900000,-5142200000,-1325800000,-263300000,-11782700000,-1087400000,-5532100000,-7729000000,-1253000000,-1487000000,-1510000000,-21932000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-948100000,-1114100000,-453400000,-354500000,-1000000,-4429400000,-3780200000,-4334200000,-11813000000,-7306000000,-9824000000,-1100000000,-11738000000
91,Common Stock Issued,- -,- -,- -,- -,23000000,78900000,64900000,100700000,378800000,60600000,173300000,304000000,- -,164900000,476100000,58466000,69873000,25335000,75049000,57636000,27191000,180333000,345400000,85100000,54400000,77300000,158100000,254100000,230400000,2942000000,- -,- -,1690000000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-8100000,-26500000,-11700000,-45300000,-57200000,-101500000,-97800000,-140900000,- -,-311100000,- -,- -,-511393000,-334152000,-88871000,- -,- -,-300000000,-898000000,-187400000,-414600000,-1012500000,-1337500000,-1150000000,-89800000,- -,-500000000,-1250000000,-750000000,-500000000,-1500000000,-1500000000,-2000000000
93,Dividends Paid,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142200000,-216200000,-234800000,-240600000,-238400000,-237000000,-266000000,-297000000,-337000000,-395000000
94,Other Financing Activites,- -,- -,- -,- -,72300000,24100000,217400000,362300000,89500000,341800000,187700000,874900000,- -,384000000,-373900000,-196047000,-254793000,-284149000,-651784000,-240859000,363669000,-140429000,-376100000,-126100000,750800000,754200000,5183400000,474900000,3386600000,6518300000,2029500000,8683200000,14964000000,5835000000,8503000000,3896000000,20714000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,87200000,75900000,270600000,417700000,411100000,300900000,263200000,1038000000,- -,237800000,102200000,-137581000,-696313000,-592966000,-665606000,-183223000,390860000,-260096000,-928700000,-228400000,-557500000,-1295100000,3550600000,-917700000,3310000000,4796100000,-2491300000,2860600000,3854000000,-2237000000,-3118000000,959000000,6581000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,700000,3400000,-2500000,-2400000,-3400000,1900000,3300000,400000,- -,-7800000,4800000,-12880000,704000,15462000,34942000,15673000,-20853000,24103000,-11100000,-86400000,11400000,9200000,-200000,38700000,-37000000,-115500000,-129600000,-150700000,420000000,-297000000,-63000000,176000000,194000000
97,Net Change In Cash,- -,- -,- -,- -,87200000,75900000,270600000,417700000,411100000,57100000,79000000,1038000000,- -,237800000,102200000,279037000,-331052000,33867000,-35155000,131113000,-112560000,453108000,-42300000,655400000,283600000,-647000000,99200000,-165300000,5020400000,-4482500000,-891400000,334100000,550000000,756000000,305000000,7914000000,-5845000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,382800000,462000000,- -,- -,- -,- -,636252000,305200000,339067000,303912000,326886000,214326000,667434000,625100000,1280500000,1564100000,917100000,1016300000,851000000,5826000000,1343500000,452100000,786200000,1361000000,2117000000,2422000000,10336000000,4491000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,54900000,95900000,118200000,131000000,190600000,325700000,383000000,462900000,- -,414400000,593600000,357215000,636252000,305200000,339067000,195773000,326886000,214326000,667400000,625100000,1280500000,1564100000,917100000,1016300000,805600000,5826000000,1343500000,452100000,811000000,1361000000,2117000000,2422000000,10336000000
100,Free Cash Flow,- -,- -,- -,- -,-300000,-101400000,-10500000,-5100000,70100000,144000000,131700000,100000000,- -,-691700000,-72700000,125882000,103602000,51680000,170583000,214525000,227368000,328857000,1308000000,1155800000,1451700000,1232300000,1424500000,1724400000,1728300000,2192000000,2394000000,2711900000,3497000000,3785000000,4047000000,6815000000,6789000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774595000027/0000097745-95-000027-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774504000036/0000097745-04-000036-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774507000053/tmok2006.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774508000043/tmok2007.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774509000011/0000097745-09-000011-index.html,- -,https://www.sec.gov/Archives/edgar/data/97745/000009774511000013/tmok2010.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774512000010/0000097745-12-000010-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774513000007/0000097745-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774514000014/tmok2013.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774515000007/tmok2014.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774516000043/0000097745-16-000043-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774517000007/0000097745-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774518000006/0000097745-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774519000007/0000097745-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774520000009/0000097745-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/97745/000009774521000011/0000097745-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/97745/000009774522000011/0000097745-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
