,https://roic.ai/company/GIII,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-700000,-100000,-100000,100000,-700000,800000,1300000,-3312000,-1491000,-720000,- -,200000,- -,-3269000,-3741000,-4904000,-7018000,-19407000,-17410000,-11615000,-29283000,-42566000,-42172000,-24928000,-34507000,-29205000,-37990000,-16035000,-56505000
89,Cash Used for Investing Activites,- -,-1000000,- -,-1100000,-400000,-4300000,-1300000,-1000000,-400000,-2000000,-900000,323000,-4164000,-2658000,-1163000,-693000,-865000,-21803000,-5660000,-13489000,-75363000,-7018000,-19407000,-21060000,-89982000,-78412000,-39355000,-67662000,-525763000,-33912000,-37332000,-40094000,-20128000,-51505000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29048000,- -,- -,- -,-16157000,-65760000,- -,-20344000,-2018892000,-2315935000,-2389270000,-1591954000,-549000
91,Common Stock Issued,- -,17400000,- -,- -,- -,- -,- -,- -,- -,100000,600000,108000,422000,148000,385000,609000,523000,1107000,15996000,37622000,586000,34657000,- -,- -,- -,- -,128686000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-430000,-540000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2929000,- -,- -,- -,- -,- -,- -,-20311000,-35216000,- -,-17300000
93,Dividends Paid,- -,-3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1352000
94,Other Financing Activites,- -,6700000,- -,24100000,-33900000,-600000,1000000,-10500000,-100000,-300000,-500000,418000,-3244000,-471000,-136000,-116000,451000,7644000,-3919000,-8441000,16426000,1751000,11271000,31805000,37668000,6158000,3452000,10544000,387975000,1935238000,2298295000,2380004000,1686729000,-4241000
95,Cash Used/Provided by Financing Activities,- -,21100000,- -,24100000,-33900000,-600000,1000000,-10500000,-100000,-200000,100000,96000,-3362000,-323000,249000,493000,974000,8751000,12077000,29181000,17012000,7360000,11271000,28876000,37668000,-9999000,66378000,10544000,367631000,-83654000,-37951000,-44482000,94775000,-23442000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58000,11000,3000,-50000,- -,- -,- -,-36000,17000,23000,520000,-1451000,-2360000,-2818000,-193000,3651000,-4184000,2789000,5157000,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7289000,-5299000,-6750000,927000,12664000,502000,-9543000,4995000,26315000,-35833000,44305000,-36768000,14615000,2700000,-5269000,106263000,4233000,-52630000,-34181000,24362000,127234000,154562000,114050000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14530000,9231000,2481000,3408000,16072000,16574000,7031000,12026000,38341000,2508000,46813000,10045000,24660000,27360000,22091000,128354000,132587000,79957000,45776000,70138000,197372000,351934000,465984000
99,Cash at the Beginning of Period,- -,3500000,- -,4400000,1200000,1800000,800000,1400000,7600000,13100000,5800000,7241000,14530000,9231000,2481000,3408000,16072000,16574000,7031000,12026000,38341000,2508000,46813000,10045000,24660000,27360000,22091000,128354000,132587000,79957000,45776000,70138000,197372000,351934000
100,Free Cash Flow,- -,-23000000,- -,-27400000,34400000,300000,-300000,16700000,5400000,-6300000,600000,5893000,1375000,-4936000,1456000,12160000,-675000,2259000,-3883000,9178000,20107000,42522000,-48056000,-10634000,42879000,55310000,39034000,21997000,80767000,45227000,74624000,168927000,54630000,167537000
101,SEC Link,undefined,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095011796000364/0000950117-96-000364-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095011797000764/0000950117-97-000764-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095011700001093/0000950117-00-001093-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095011701500129/0000950117-01-500129-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/821002/000095013607002886/0000950136-07-002886-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095013608001896/0000950136-08-001896-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012309006668/0000950123-09-006668-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012310035136/0000950123-10-035136-index.html,https://www.sec.gov/Archives/edgar/data/821002/000095012311035353/0000950123-11-035353-index.html,https://www.sec.gov/Archives/edgar/data/821002/000119312512158857/d312043d10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000119312513153157/0001193125-13-153157-index.html,https://www.sec.gov/Archives/edgar/data/821002/000157104914000998/t1400483-10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000157104915002473/t1500627-10k.htm,https://www.sec.gov/Archives/edgar/data/821002/000157104916013440/0001571049-16-013440-index.html,https://www.sec.gov/Archives/edgar/data/821002/000157104917003132/0001571049-17-003132-index.html,https://www.sec.gov/Archives/edgar/data/821002/000114420418018565/0001144204-18-018565-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837019002565/0001558370-19-002565-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837020003389/0001558370-20-003389-index.html,https://www.sec.gov/Archives/edgar/data/821002/000155837021003547/0001558370-21-003547-index.htm,https://www.sec.gov/Archives/edgar/data/821002/000155837022004512/0001558370-22-004512-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
