,https://roic.ai/company/RELX,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,- -,- -,5000000,- -,-9000000,-3000000,-48000000,-51000000,-51000000,-39000000,-56000000,-51000000,-11000000,4000000,47000000,35000000,32000000,21000000,10000000,3000000,-17000000,-24000000,2000000,-7000000,-14000000,-18000000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40900000,-296511000,-265559000,-325132000,-356081000,401000000,-740000000,162000000,-24000000,115000000,-37000000,-24000000,39000000,48000000,-91000000,-715000000,13000000,-32000000,130000000,-38000000,-175000000,-320000000,-63000000,-50000000,-44000000,-388000000,-60000000,-80000000,-382000000,-76000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,76500000,-67800000,5000000,9000000,-7000000,708000000,501000000,584000000,605000000,927000000,709000000,756000000,832000000,910000000,974000000,831000000,1058000000,1191000000,1353000000,1282000000,1407000000,1386000000,1377000000,1407000000,1682000000,1848000000,1985000000,2089000000,1596000000,2016000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32800000,- -,- -,- -,- -,-142000000,-151000000,-137000000,-141000000,-175000000,-163000000,-155000000,-192000000,-195000000,-196000000,-145000000,-172000000,-242000000,-311000000,-350000000,-333000000,-308000000,-270000000,-307000000,-333000000,-354000000,-362000000,-380000000,-362000000,-337000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-64000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-1000000,-22000000,-53000000,-59000000,-9000000,-7000000,-13000000,-3000000,-9000000,-4000000,-4000000,-3000000,-5000000,-10000000,-7000000,-10000000,-6000000,-16000000,-6000000,-10000000,-13000000,-8000000,-2000000,-8000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,- -,- -,- -,- -,- -,- -,3000000,- -,1169000000,118000000,19000000,402000000,36000000,48000000,82000000,8000000,- -,6000000,80000000,235000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-59600000,60100000,40000000,36000000,- -,-609000000,-326000000,-130000000,-705000000,-2134000000,-190000000,-175000000,-940000000,-395000000,-253000000,-391000000,-2248000000,-233000000,-247000000,-706000000,-634000000,-249000000,-492000000,-341000000,-611000000,-361000000,-1202000000,-678000000,-1128000000,-284000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89600000,60100000,40000000,36000000,- -,-752000000,-478000000,-286000000,-899000000,-1199000000,-244000000,-318000000,-743000000,-455000000,-302000000,-378000000,-2301000000,-314000000,-329000000,-721000000,-476000000,-316000000,-565000000,-422000000,-668000000,-422000000,-1271000000,-733000000,-1173000000,-384000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27400000,-1200000,-1000000,-2000000,- -,-390000000,-3000000,-176000000,-1137000000,-538000000,-302000000,-329000000,-3000000,-582000000,-337000000,-311000000,-818000000,-2862000000,-537000000,-248000000,-871000000,-915000000,-300000000,-525000000,-474000000,-860000000,-211000000,-617000000,-1669000000,-631000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,7600000,5000000,11000000,15000000,21000000,18000000,9000000,1287000000,11000000,30000000,14000000,21000000,25000000,93000000,177000000,54000000,834000000,11000000,9000000,48000000,125000000,45000000,24000000,23000000,32000000,21000000,29000000,16000000,32000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3000000,- -,-4000000,- -,- -,- -,-18000000,-29000000,-27000000,-285000000,-273000000,-94000000,- -,- -,- -,-250000000,-600000000,-639000000,-523000000,-729000000,-739000000,-743000000,-637000000,-187000000,-1000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336000000,-362000000,-339000000,-196000000,-255000000,-273000000,-292000000,-153000000,-336000000,-371000000,-416000000,-2404000000,-457000000,-483000000,-497000000,-521000000,-549000000,-565000000,-583000000,-683000000,-762000000,-796000000,-842000000,-880000000,-920000000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-49000000,-54000000,-8000000,-18000000,240000000,468000000,-1287000000,2233000000,152000000,82000000,74000000,531000000,467000000,375000000,2379000000,1909000000,-15000000,131000000,591000000,337000000,789000000,483000000,858000000,858000000,1016000000,738000000,2246000000,-86000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21400000,6400000,-45000000,-45000000,7000000,-726000000,-107000000,-42000000,-1333000000,1451000000,-393000000,-543000000,-90000000,-389000000,-433000000,-448000000,-883000000,-576000000,-1024000000,-605000000,-1003000000,-1602000000,-670000000,-1124000000,-1005000000,-1471000000,-713000000,-1329000000,-474000000,-1606000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,6500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,-16000000,31000000,82000000,58000000,8000000,28000000,-13000000,23000000,2000000,-15000000,31000000,-6000000,2000000,-3000000,1000000,-1000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000000,-1300000,- -,-45000000,7000000,-726000000,-107000000,-42000000,-1333000000,1451000000,- -,- -,-1000000,71000000,223000000,1948000000,-2092000000,359000000,8000000,-16000000,-85000000,-509000000,144000000,-154000000,40000000,-51000000,3000000,24000000,-50000000,25000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,331900000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,66000000,296000000,519000000,2467000000,375000000,734000000,742000000,726000000,641000000,132000000,276000000,122000000,162000000,111000000,114000000,138000000,88000000,113000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,359900000,1500000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,225000000,296000000,519000000,2467000000,375000000,734000000,742000000,726000000,641000000,132000000,276000000,122000000,162000000,111000000,114000000,138000000,88000000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,43700000,-67800000,5000000,9000000,-7000000,566000000,350000000,447000000,464000000,752000000,546000000,601000000,640000000,715000000,778000000,686000000,886000000,949000000,1042000000,932000000,1074000000,1078000000,1107000000,1100000000,1349000000,1494000000,1623000000,1709000000,1234000000,1679000000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/929869/000115697305000305/0001156973-05-000305-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000115697306000303/0001156973-06-000303-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012307004285/0000950123-07-004285-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012308003179/0000950123-08-003179-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000115697309000146/0001156973-09-000146-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012310025822/0000950123-10-025822-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000095012311023614/0000950123-11-023614-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312512109608/0001193125-12-109608-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312513102978/0001193125-13-102978-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312514093280/0001193125-14-093280-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312515085414/0001193125-15-085414-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312516496532/0001193125-16-496532-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312517072911/0001193125-17-072911-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312518053616/0001193125-18-053616-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312519055997/0001193125-19-055997-index.htm,https://www.sec.gov/Archives/edgar/data/929869/000119312520042817/0001193125-20-042817-index.htm,- -,- -
102,Forex Rate,undefined,undefined,undefined,1.4834,1.6049,1.8848,1.6848,1.6452,1.7472,1.5105,1.477,1.5665,1.5508,1.713,1.6475,1.6542,1.6181,1.4959,1.4545,1.6113,1.7857,1.9186,1.7214,1.959,1.9849,1.4628,1.6157,1.5601,1.5535,1.6251,1.6556,1.5573,1.4738,1.2336,1.3512,1.2757,1.3259,1.3673,1.3529
