,https://roic.ai/company/LGL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,- -,-2600000,-3200000,-4400000,-11600000,-19600000,-25500000,-21800000,-19800000,-3795000,-4323000,-1104000,-223000,-141000,-440000,-343000,-755000,-474000,-537000,-325000,-767000,-1694000,-906000,-448000,-1011000,-422000,-172000,-131000,-324000,-1163000,-407000,-1099000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1070000,- -,-7348000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-295000,- -,- -,-3350000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-7600000,-5100000,-2500000,- -,- -,- -,- -,- -,- -,- -,- -,-2019000,-1054000,-1236000,-68000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2695000,-1002000,- -,-5050000,-21000,-5318000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,27500000,100000,- -,- -,3000000,- -,11600000,4800000,- -,- -,- -,- -,1041000,- -,1348000,2976000,2292000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3400000,- -,17377000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-1400000,-1500000,-7700000,-32300000,-101400000,-54300000,-23400000,-55100000,107362000,48759000,-4791000,-1645000,- -,- -,782000,224000,267000,-282000,-325000,-767000,-1694000,-906000,-420000,-263000,-328000,-55000,-1000,-324000,-1163000,-407000,-2653000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,23500000,-12200000,-17200000,-46400000,-118000000,-79800000,-33600000,-70100000,103567000,44436000,-5895000,-2938000,-1119000,-8842000,551000,2377000,2085000,-282000,-325000,-767000,-1694000,-906000,-420000,-1011000,-328000,-3045000,-1003000,-324000,-6163000,-428000,9406000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-397000,-1821000,-4316000,-817000,-342000,-58000,- -,- -,- -,- -,- -,- -,- -,72000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,6700000,3900000,- -,800000,700000,100000,- -,3000000,- -,- -,- -,1760000,3655000,- -,- -,- -,- -,- -,6562000,- -,- -,- -,- -,- -,10794000,- -,- -,3254000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-300000,-800000,- -,-11800000,- -,- -,- -,- -,-775000,- -,- -,- -,- -,-32000,-156000,- -,- -,- -,- -,- -,-315000,-90000,-167000,- -,- -,-8000,- -,-28000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-300000,-1300000,-5400000,33200000,88800000,68000000,8400000,29600000,-47644000,-46565000,-5951000,1084000,-342000,7623000,-3401000,-1605000,-1894000,1714000,- -,-89000,3505000,-3277000,-133000,319000,- -,- -,- -,954000,442000,-140000,-145000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-600000,-2100000,1300000,25300000,88800000,68800000,9100000,29700000,-48419000,-43565000,-5951000,1084000,-342000,9351000,98000,-1605000,-1894000,1317000,-1821000,-4405000,8935000,-3709000,-358000,319000,- -,-8000,10794000,926000,442000,3114000,-73000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-600000,-2100000,1300000,-6500000,-2100000,18000000,-300000,-5400000,68000000,-2563000,-6296000,1739000,-2005000,-1401000,2932000,-1083000,804000,92000,-1509000,331000,9562000,-5084000,-1442000,-1991000,361000,-2775000,10472000,2258000,-3055000,5878000,10685000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,15900000,33900000,33600000,28200000,69132000,10543000,4247000,5986000,3981000,2580000,5512000,4429000,5233000,5325000,3816000,4147000,13709000,8625000,7183000,5192000,5553000,2778000,13250000,15508000,12453000,18331000,29016000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,11100000,38200000,30700000,24500000,18000000,15900000,33900000,33600000,1132000,13106000,10543000,4247000,5986000,3981000,2580000,5512000,4429000,5233000,5325000,3816000,4147000,13709000,8625000,7183000,5192000,5553000,2778000,13250000,15508000,12453000,18331000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,1600000,3700000,5400000,3000000,7600000,3600000,2300000,15200000,9057000,-7757000,4446000,3370000,-685000,-2350000,1940000,-2610000,-833000,-1480000,312000,4736000,627000,-1375000,-1112000,-2310000,267000,106000,550000,1332000,1503000,2785000,253000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/0000061004-96-000055-index.html,https://www.sec.gov/Archives/edgar/data/61004/000006100497000015/0000061004-97-000015-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/000095013503002022/0000950135-03-002022-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000095013504001837/0000950135-04-001837-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/61004/000092189507000687/0000921895-07-000687-index.html,https://www.sec.gov/Archives/edgar/data/61004/000092189508001412/0000921895-08-001412-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100409000017/0000061004-09-000017-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100410000010/0000061004-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100411000015/0000061004-11-000015-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100412000012/0000061004-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100413000014/0000061004-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100414000017/0000061004-14-000017-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100415000011/0000061004-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100416000057/0000061004-16-000057-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000006100417000008/0000061004-17-000008-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459018006502/0001564590-18-006502-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459019008815/0001564590-19-008815-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459020014263/0001564590-20-014263-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459021016107/0001564590-21-016107-index.htm,https://www.sec.gov/Archives/edgar/data/61004/000156459022011892/0001564590-22-011892-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
