,https://roic.ai/company/HGBL,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-595000,-125000,-2631000,-316000,-42000,-61000,-56000,-11000,-143000,- -,- -,-2753000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,100000,1300000,- -,- -,- -,- -,- -,3581000,- -,- -,1250000,789000,121000,760000,4000,295000,839000,444000,1992000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-950000,220000,990000,590000,400000,-1000000,-200000,- -,- -,400000,400000,462649,29537,233787,691513,160000,- -,-127000,- -,- -,- -,237000,- -,-175000,- -,- -,- -,850000,20000,- -,2753000,-436000,5943000,- -
89,Cash Used for Investing Activites,- -,-2360000,20000,580000,-940000,400000,-1300000,-200000,- -,-2600000,-1400000,-1600000,-1585299,-6881466,-15410328,-9232894,-1827000,2850000,-127000,- -,655000,664000,-2273000,444000,-213000,-2138000,773000,-1055000,2690000,-79000,-44000,-2852000,-1156000,4508000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2335000,-4376000,-16576000,-9335000,-9435000,-11546000,-4371000,-2944000,-4373000,-1413000,-1216000,-2428000,-6063000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,2100000,- -,- -,- -,12600000,6700000,10100000,7121408,4341659,15579,- -,- -,- -,- -,- -,- -,- -,- -,- -,1823000,- -,- -,- -,- -,- -,- -,- -,- -,7541000,- -
92,Common Stock Repurchased,- -,150000,2300000,- -,80000,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-126000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-20000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-766000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,1860000,-1610000,-1510000,-490000,-1300000,200000,-100000,-600000,-800000,3900000,8000000,6472893,-169924,47184444,13061468,8555000,5827000,15250000,2142000,683000,- -,10634000,14858000,7738000,14017000,7411000,6203000,262000,287000,-146000,-1243000,1250000,5523000,- -
95,Cash Used/Provided by Financing Activities,- -,1990000,690000,-1510000,-410000,600000,- -,-100000,-600000,11800000,10600000,18100000,13594301,4171735,47200023,13061468,8555000,5827000,15250000,2142000,683000,-2335000,6132000,-2484000,226000,4582000,-4135000,1832000,-2682000,-4086000,-1559000,-2459000,-1178000,7001000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28000,4000,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,190000,890000,60000,-860000,600000,- -,-100000,-600000,11800000,10600000,18100000,1627077,-840376,2506904,-1042890,-1587000,-1575000,283000,-324000,64000,4009000,-3983000,2515000,4064000,-2358000,-1101000,420000,-856000,-247000,-421000,2159000,-1540000,20657000,- -
98,Cash at the End of Period,- -,190000,1260000,1430000,560000,- -,- -,- -,- -,- -,- -,- -,2996004,2155628,4662532,3619642,2033000,458000,327000,3000,67000,4076000,93000,2608000,6672000,4314000,3213000,3633000,2777000,2530000,2109000,4268000,2728000,23385000,- -
99,Cash at the Beginning of Period,- -,- -,370000,1370000,1420000,600000,2200000,1200000,400000,100000,4500000,1700000,1368927,2996004,2155628,4662532,3620000,2033000,44000,327000,3000,67000,4076000,93000,2608000,6672000,4314000,3213000,3633000,2777000,2530000,2109000,4268000,2728000,23385000
100,Free Cash Flow,- -,-850000,-20000,580000,-1040000,500000,- -,-400000,300000,-5500000,-13900000,-20100000,-12429873,-5041648,-31245906,-6520332,-10451000,-10983000,-14840000,-2466000,-1274000,5680000,-7842000,4555000,4051000,-4830000,2251000,-484000,-845000,3815000,1138000,7371000,678000,9141000,- -
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/849145/000110465903007730/0001104659-03-007730-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000095013304001374/0000950133-04-001374-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420405008952/0001144204-05-008952-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420406012134/0001144204-06-012134-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420407013180/0001144204-07-013180-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420408014522/0001144204-08-014522-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420409014828/0001144204-09-014828-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420410017209/0001144204-10-017209-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420411019124/0001144204-11-019124-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420412016586/0001144204-12-016586-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000114420413018237/0001144204-13-018237-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000106299314001758/0001062993-14-001758-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000106299315001675/0001062993-15-001675-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459016014988/0001564590-16-014988-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459017003568/0001564590-17-003568-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459018005463/0001564590-18-005463-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459019007178/0001564590-19-007178-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459020009356/0001564590-20-009356-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000156459021011476/0001564590-21-011476-index.htm,https://www.sec.gov/Archives/edgar/data/849145/000095017022004073/0000950170-22-004073-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
