,https://roic.ai/company/CSL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-12600000,4500000,-5400000,46700000,-17600000,20100000,-10900000,21600000,16100000,31800000,77400000,-124071000,102964000,-122247000,87792000,23209000,20214000,223094000,123450000,-109405000,-26900000,61800000,40100000,134100000,423900000,60700000,-505700000,128100000,144300000,475100000,-608100000,710100000,-290000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78900000,-206900000
79,Inventory,- -,- -,- -,- -,-11000000,-2000000,3300000,2300000,-5800000,-7600000,-17300000,-5800000,-31100000,-10500000,-13500000,-36984000,59530000,-2087000,-5433000,-59946000,-31306000,-74061000,-8553000,8300000,157300000,-56300000,-75800000,26500000,35600000,-27700000,23000000,-12200000,-48500000,-29000000,-1900000,16400000,-136800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22100000,- -,- -,-15700000,-20600000,-5100000,-2900000,21600000,42700000,-39500000,16500000,-15200000,85400000
81,Other Working Capital,- -,- -,- -,- -,116300000,120800000,115400000,162100000,144500000,164600000,153700000,175300000,191400000,223200000,300600000,176529000,279493000,157246000,245038000,268247000,288461000,511555000,635005000,525600000,498700000,560500000,600600000,734700000,1158600000,1219300000,713600000,841700000,986000000,1461100000,853000000,1563100000,13100000
82,Other Non-Cash Items,- -,- -,- -,- -,-11000000,3700000,61700000,-47300000,1300000,-5000000,-700000,-21100000,-42600000,-65100000,-84500000,93468000,31153000,244962000,-128889000,-42768000,19899000,-483824000,-164455000,281205000,239800000,-192700000,-134700000,-9500000,-271100000,-110200000,601700000,42800000,-174900000,-960700000,615800000,-560600000,49800000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,25100000,53900000,51300000,49800000,32800000,72600000,55700000,86000000,83000000,96800000,136100000,125126000,222918000,226057000,116943000,111410000,207608000,19878000,259302000,274200000,447200000,107400000,191200000,485900000,414700000,295900000,529200000,531200000,458700000,339200000,703100000,696700000,421700000
84,CAPEX,- -,- -,- -,- -,-19600000,-21000000,-19700000,-19900000,-28500000,-31100000,-37500000,-35000000,-59500000,-127500000,-90200000,-59419000,-64525000,-39336000,-42241000,-72260000,-101203000,-95479000,-82510000,-68000000,-48200000,-64600000,-79600000,-140400000,-110800000,-118800000,-72100000,-108800000,-159900000,-120700000,-88900000,-95500000,-134800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209454000,-174618000,-27030000,-33507000,-34709000,-67337000,-1875000,-189686000,-290700000,-80800000,-283600000,-392900000,-288500000,369000000,-184300000,-598900000,-185500000,-934300000,-19500000,-616400000,-35400000,-1571300000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30200000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24479000,- -,138019000,4100000,- -,- -,5300000,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-1800000,-37000000,-24300000,38200000,-20900000,-7700000,-63200000,-130400000,-33700000,-5500000,4600000,-3392000,21409000,9121000,3683000,15123000,-377000,108473000,113000,400000,-38700000,-55700000,-75900000,-140400000,-98900000,-113500000,-71900000,-107900000,-160000000,648700000,-78500000,-87200000,115100000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-21400000,-58000000,-44000000,18300000,-49400000,-38800000,-100700000,-165400000,-93200000,-133000000,-85600000,-272265000,-217734000,-57245000,-72065000,-91846000,-144438000,11119000,-134064000,-354200000,-119500000,-339300000,-463500000,-428500000,270100000,-297800000,-670800000,-293400000,-1094300000,629200000,-694900000,-122600000,-1486400000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-235400000,- -,-59000000,- -,-1500000,-1500000,-1500000,-150000000,-1189000000,- -,- -,-758500000,-650000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9880000,16812000,- -,- -,12098000,12507000,- -,1000000,6100000,10600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-1200000,-14300000,-800000,-1000000,-2000000,-10900000,-9400000,-14200000,-18100000,-14400000,-2400000,-479000,-2311000,- -,- -,-13141000,-39214000,- -,-59957000,-4800000,-1300000,- -,- -,- -,- -,- -,-137200000,-75000000,-268400000,-459800000,-382100000,-382400000,-315600000
93,Dividends Paid,- -,- -,- -,- -,-9500000,-9700000,-9600000,-10100000,-10700000,-11600000,-12900000,-14100000,-15900000,-18100000,-20500000,-22989000,-24883000,-25887000,-26695000,-27960000,-29608000,-32010000,-34743000,-36600000,-38600000,-40600000,-43500000,-48000000,-53700000,-61200000,-72300000,-84500000,-92100000,-93500000,-102900000,-112400000,-112500000
94,Other Financing Activites,- -,- -,- -,- -,-1200000,21600000,-100000,19200000,-9500000,7900000,-500000,112800000,37600000,70800000,-21000000,169157000,28649000,-152643000,-43825000,23080000,19646000,94362000,-100203000,76600000,100000,258300000,348300000,27400000,13700000,42500000,38000000,48400000,2176700000,12600000,23800000,1228600000,1566200000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-11900000,-2400000,-10500000,8100000,-22200000,-14600000,-22800000,84500000,3600000,38300000,-43900000,145689000,1455000,-168650000,-53708000,-18021000,-49176000,74450000,-182396000,35200000,-274200000,223800000,256400000,-20600000,-41500000,-20200000,-173000000,-261100000,627200000,-540700000,-461200000,-24700000,488100000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7273000,910000,114000,-267000,-163000,1564000,-900000,100000,1200000,1200000,1000000,-1300000,-1600000,-5500000,-2100000,2700000,-1100000,600000,1600000,-1200000
97,Net Change In Cash,- -,- -,- -,- -,-11900000,-2400000,-10500000,8100000,-22200000,-14600000,-22800000,84500000,3600000,38300000,6500000,-1450000,6639000,7435000,-7920000,1657000,13727000,105284000,-55594000,-45700000,53600000,-6900000,-14700000,37800000,642000000,-23700000,-320100000,-25400000,-5700000,425300000,-452400000,551000000,-572700000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,8967000,15606000,23041000,26848000,25018000,38745000,144029000,88435000,42700000,96300000,89400000,74700000,112500000,754500000,730800000,410700000,385300000,379600000,803600000,351200000,902200000,324400000
99,Cash at the Beginning of Period,- -,- -,- -,- -,32300000,24100000,17600000,14400000,90600000,51800000,71000000,3200000,8300000,1700000,3900000,10417000,8967000,15606000,34768000,23361000,25018000,38745000,144029000,88400000,42700000,96300000,89400000,74700000,112500000,754500000,730800000,410700000,385300000,378300000,803600000,351200000,897100000
100,Free Cash Flow,- -,- -,- -,- -,5500000,32900000,31600000,29900000,4300000,41500000,18200000,51000000,23500000,-30700000,45900000,65707000,158393000,186721000,74702000,39150000,106405000,-75601000,176792000,206200000,399000000,42800000,111600000,345500000,303900000,177100000,457100000,422400000,298800000,218500000,614200000,601200000,286900000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790051/000091205795001590/0000912057-95-001590-index.html,https://www.sec.gov/Archives/edgar/data/790051/000091205796004521/0000912057-96-004521-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/790051/000091205701503080/0000912057-01-503080-index.html,- -,https://www.sec.gov/Archives/edgar/data/790051/000104746903008051/0001047469-03-008051-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465904006998/0001104659-04-006998-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465905010191/0001104659-05-010191-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465906016056/0001104659-06-016056-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000110465907015435/0001104659-07-015435-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746908002024/0001047469-08-002024-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746909001978/0001047469-09-001978-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746910000983/0001047469-10-000983-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746911000969/0001047469-11-000969-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746912000814/0001047469-12-000814-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746913000898/0001047469-13-000898-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746914001036/0001047469-14-001036-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746915000691/0001047469-15-000691-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000104746916010052/0001047469-16-010052-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000155837017000547/0001558370-17-000547-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005118000095/0000790051-18-000095-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005119000070/0000790051-19-000070-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005120000071/0000790051-20-000071-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005121000080/0000790051-21-000080-index.htm,https://www.sec.gov/Archives/edgar/data/790051/000079005122000061/0000790051-22-000061-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
