,https://roic.ai/company/RLI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,-6900000,31200000,7800000,26900000,53600000,29100000,623756204,6644419,48697755,-651378000,-1094472000,-94536000,1314881000,1351639000,331942000,385466000,289159000,13270000,-218156000,-58576000,14603000,-29667000,-2486849000,749716000,-169793000,-42885000,-9183000,10879000,138875000,311621000,-50328000,249489000,-152399000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,22800000,45400000,23300000,43000000,72500000,27300000,24298768,48946600,35022352,23578000,58361000,53118000,77874000,161971000,191019000,188962000,198027000,171775000,127023000,161334000,127759000,100235000,117991000,36240000,134966000,123085000,152586000,174463000,197525000,217102000,276917000,263259000,384905000
84,CAPEX,- -,- -,- -,- -,-900000,-6800000,-4200000,-2600000,-2400000,-3600000,-2186892,-3408835,-2745329,-2529000,-5710000,-2642000,-8403000,-3397000,-4403000,-4051000,-10538000,-3234000,-4456000,-6002000,-11565000,-2297000,-3958000,-18521000,-25407000,-7121000,-10035000,-16155000,-9238000,-6087000,-6955000,-5768000,-8310000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-120767000,-15500000,- -,-5301000,5789000,-850000,408000,- -,- -,-4533000,-8978000
86,Purchases of Investments,- -,- -,- -,- -,-58300000,-56000000,-40900000,-67600000,-156600000,-23800000,-100342991,-73062666,-79836750,-62280000,-10000000,-139612000,-204656000,-409572000,-540290000,-421056000,-168019000,-381689000,-101332000,-658031000,-978143000,-961599000,-747459000,-698743000,-576909000,-488298000,-705327000,-593402000,-456411000,-843166000,-617662000,-596225000,-874532000
87,Sales/Maturities of Investments,- -,- -,- -,- -,52700000,15600000,26000000,27000000,44500000,-95100000,77991535,31117475,66679341,49086000,78178000,95332000,137743000,162813000,54500000,246620000,25363000,231385000,18926000,593668000,882873000,1056502000,959825000,781603000,490616000,528749000,653407000,562819000,400950000,730237000,460113000,447062000,620817000
88,Other Investing Activites,- -,- -,- -,- -,-6800000,500000,900000,-100000,- -,96100000,525564,795071,194546,646000,-135057000,1183000,495000,2033000,206282000,1298000,287000,90213000,80144000,891000,10736000,- -,- -,3513000,9768000,-5258000,-4431000,-6034000,-16921000,-15193000,-20249000,-8523000,-3823000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-13300000,-46700000,-18200000,-43300000,-114500000,-26400000,-24012784,-44558955,-15708192,-15077000,-72589000,-45739000,-74821000,-248123000,-283911000,-177189000,-152907000,-63325000,-6718000,-69474000,-96099000,92606000,87641000,52352000,-101932000,22771000,-60597000,-53622000,-81212000,-134209000,-184753000,-167987000,-274826000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2400000,- -,- -,-6255000,-2800000,- -,- -,- -,- -,-12379000,-34263000,-15962000,-1088000,-31512000,-15576000,-52644000,-81992000,- -,- -,- -,- -,-99504000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,2000000,4000000,2500000,33667,2207526,161356,62000,302000,37000,4678000,115685000,10756000,1059000,1437000,3254000,2952000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-2700000,- -,- -,- -,- -,- -,- -,-3040671,-39670290,-15570000,-18198000,-2086000,-123000,- -,-22000,-10000,- -,-81069000,-133268000,-47904000,-19251000,-23858000,-6624000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-2200000,-2400000,-2600000,-2900000,-3200000,-3400000,-3849521,-4261445,-4704015,-5220000,-5566000,-5696000,-6084000,-6650000,-9509000,-12100000,-15259000,-18024000,-20006000,-20760000,-22879000,-176802000,-130855000,-133037000,-93137000,-159857000,-119577000,-122488000,-113813000,-83100000,-85591000,-87906000,-135330000
94,Other Financing Activites,- -,- -,- -,- -,2100000,-2700000,2400000,100000,46100000,-700000,2804010,- -,24898789,12227000,37690000,366000,10855000,11380000,107629000,366000,214000,2965000,82661000,58796000,5248000,7819000,13031000,7575000,154762000,5152000,8049000,8835000,3502000,6076000,9490000,8648000,51838000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2800000,-5100000,-200000,-3200000,46900000,-1600000,-7266844,-7894590,-19314160,-8501000,14228000,-7379000,-3053000,86152000,92892000,-11773000,-45120000,-108450000,-120305000,-91860000,-36882000,-192841000,-124448000,-125462000,-37879000,-154705000,-111528000,-113653000,-110311000,-77024000,-76101000,-79258000,-83492000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-2800000,-5100000,-200000,-3200000,46900000,-1600000,-6988880,-7894590,-19314160,-8501000,14228000,-7379000,-3053000,86152000,92892000,-11773000,-45120000,-108450000,-120305000,-91860000,-36882000,-192841000,-124448000,-36870000,-4845000,-8849000,-19539000,7188000,6002000,5869000,16063000,16014000,26587000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196926,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81184000,44314000,39469000,30620000,11081000,18269000,24271000,30140000,46203000,62217000,88804000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2800000,9500000,3000000,8000000,4400000,9200000,8185806,3506945,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,81184000,44314000,39469000,30620000,11081000,18269000,24271000,30140000,46203000,62217000
100,Free Cash Flow,- -,- -,- -,- -,21900000,38600000,19100000,40400000,70100000,23700000,22111876,45537765,32277023,21049000,52651000,50476000,69471000,158574000,186616000,184911000,187489000,168541000,122567000,155332000,116194000,97938000,114033000,17719000,109559000,115964000,142551000,158308000,188287000,211015000,269962000,257491000,376595000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84246/000091205796005193/0000912057-96-005193-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/84246/000110465902000833/0001104659-02-000833-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465903004106/0001104659-03-004106-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465904005908/0001104659-04-005908-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465905007751/0001104659-05-007751-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465906011843/0001104659-06-011843-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465907014999/0001104659-07-014999-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465908012582/0001104659-08-012582-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465909012028/0001104659-09-012028-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465910009197/0001104659-10-009197-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465911010249/0001104659-11-010249-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000110465912013871/0001104659-12-013871-index.html,- -,https://www.sec.gov/Archives/edgar/data/84246/000110465914014137/0001104659-14-014137-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000155837015000197/0001558370-15-000197-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000155837016003590/0001558370-16-003590-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424617000007/0000084246-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424618000011/0000084246-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424619000013/0000084246-19-000013-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000008424620000010/0000084246-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000156459021006861/0001564590-21-006861-index.htm,https://www.sec.gov/Archives/edgar/data/84246/000156459022005648/0001564590-22-005648-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
