,https://roic.ai/company/CLX,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,3100000,16300000,-35500000,13300000,32400000,16000000,15400000,2000000,2100000,32200000,-29000000,-16000000,-41000000,-27000000,100000000,26000000,-45000000,-28000000,-15000000,-42000000,-1000000,24000000,73000000,-12000000,-11000000,-10000000,-16000000,5000000,-35000000,-23000000,-20000000,-2000000,-32000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000,60000000,32000000,27000000,35000000,36000000,32000000,45000000,51000000,53000000,43000000,50000000,50000000
77,Change in Working Capital,- -,- -,- -,-36600000,-91300000,-74400000,-121600000,163400000,-31700000,-7500000,-171100000,-169100000,-207100000,174300000,165000000,121000000,-257000000,-277000000,275000000,-33000000,135000000,-272000000,-17000000,-345000000,234000000,437000000,-599000000,971000000,-529000000,267000000,-97000000,-222000000,406000000,-246000000,737000000,-829000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-25000000,-17300000,18200000,5900000,-7900000,5700000,-11700000,-5100000,-24300000,-38900000,40000000,-55000000,90000000,3000000,-11000000,-35000000,-17000000,26000000,-8000000,-26000000,- -,2000000,-37000000,1000000,-11000000,1000000,-25000000,-45000000,-19000000,-21000000,-7000000,50000000,-282000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30000000,-17000000,93000000,57000000,-34000000,-47000000,17000000,- -,- -
81,Other Working Capital,- -,- -,- -,284100000,192800000,118400000,-3200000,160200000,128500000,121000000,-50100000,-219200000,-426300000,-252000000,-87000000,34000000,-223000000,-500000000,-225000000,-258000000,-123000000,-395000000,-412000000,-757000000,-523000000,-86000000,-685000000,286000000,-243000000,24000000,-73000000,-295000000,111000000,-135000000,602000000,-227000000
82,Other Non-Cash Items,- -,- -,- -,22900000,37700000,216900000,226700000,-200900000,-23700000,-21800000,237200000,153300000,52000000,-5300000,-86000000,119000000,648000000,296000000,-148000000,-443000000,-217000000,303000000,123000000,299000000,-287000000,-574000000,477000000,-974000000,532000000,-158000000,12000000,210000000,-451000000,215000000,-358000000,1166000000
83,Cash Provided by Operating Activities,- -,- -,- -,158300000,166400000,246700000,306700000,245500000,266800000,290800000,406700000,362100000,312700000,588000000,658000000,747000000,876000000,803000000,899000000,765000000,522000000,709000000,730000000,738000000,819000000,698000000,612000000,775000000,767000000,874000000,778000000,868000000,974000000,992000000,1546000000,1276000000
84,CAPEX,- -,- -,- -,-87800000,-155900000,-109100000,-124700000,-77600000,-56600000,-62900000,-84800000,-95200000,-247400000,-292000000,-158000000,-192000000,-177000000,-205000000,-172000000,-151000000,-180000000,-147000000,-170000000,-197000000,-203000000,-228000000,-192000000,-194000000,-138000000,-125000000,-172000000,-231000000,-194000000,-206000000,-254000000,-331000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97700000,-165200000,- -,- -,- -,-120000000,-126000000,- -,- -,-13000000,- -,-16000000,-123000000,-913000000,- -,-19000000,747000000,-93000000,- -,- -,- -,-290000000,- -,-681000000,- -,- -,-85000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-33600000,112800000,-475100000,-5700000,-28800000,6000000,-45700000,-44700000,-477400000,-62800000,-21000000,18000000,-18000000,60000000,2000000,-51000000,-3000000,35000000,2000000,1000000,- -,-9000000,25000000,8000000,139000000,- -,19000000,32000000,26000000,16000000,10000000,-252000000,-367000000
89,Cash Used for Investing Activites,- -,- -,- -,-121400000,-43100000,-584200000,-130400000,-106400000,-50600000,-206300000,-294700000,-572600000,-310200000,-313000000,-260000000,-336000000,-109000000,-203000000,-236000000,-154000000,-161000000,-268000000,-1082000000,-197000000,-231000000,544000000,-277000000,-55000000,-138000000,-106000000,-430000000,-205000000,-859000000,-196000000,-252000000,-452000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-334000000,-598000000,-300000000,- -,-850000000,- -,-575000000,-300000000,- -,-400000000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,9800000,10800000,14100000,24500000,62600000,93000000,117000000,12000000,35000000,41000000,111000000,226000000,79000000,119000000,39000000,41000000,- -,93000000,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-67400000,-4000000,- -,- -,-99900000,-78300000,-98100000,-54100000,-83300000,-33000000,-135000000,-10000000,-412000000,-486000000,-220000000,-2279000000,-135000000,-155000000,-868000000,- -,-150000000,-655000000,-225000000,-128000000,-260000000,-434000000,-254000000,-183000000,-271000000,-661000000,-248000000,-905000000
93,Dividends Paid,- -,- -,- -,-60000000,-70900000,-79500000,-86400000,-93500000,-97100000,-102300000,-110400000,-120000000,-132400000,-162000000,-189000000,-199000000,-196000000,-193000000,-229000000,-201000000,-173000000,-183000000,-228000000,-258000000,-282000000,-303000000,-315000000,-335000000,-368000000,-385000000,-398000000,-412000000,-450000000,-490000000,-533000000,-558000000
94,Other Financing Activites,- -,- -,- -,-2900000,-93800000,410200000,-134700000,-43400000,15700000,106700000,35900000,370400000,139300000,-143000000,-78000000,-210000000,-260000000,21000000,-267000000,1702000000,-233000000,-237000000,1437000000,11000000,324000000,87000000,133000000,628000000,36000000,698000000,636000000,-50000000,722000000,336000000,258000000,72000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-62900000,-232100000,326700000,-221100000,-136900000,-171500000,-63100000,-158500000,220800000,-13800000,-245000000,-285000000,-407000000,-833000000,-617000000,-605000000,-552000000,-462000000,-456000000,380000000,-540000000,-706000000,-1078000000,-321000000,-685000000,-592000000,-696000000,-316000000,-645000000,-399000000,-815000000,-523000000,-1391000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7000000,-8000000,2000000,2000000,2000000,- -,5000000,4000000,-9000000,-1000000,8000000,-6000000,-3000000,-7000000,-19000000,-13000000,-1000000,-3000000,-2000000,-5000000,12000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,21400000,-46500000,- -,- -,30000000,113000000,-3000000,-74000000,-5000000,60000000,61000000,-101000000,-10000000,32000000,-8000000,-119000000,172000000,8000000,32000000,30000000,53000000,19000000,17000000,-287000000,-21000000,766000000,-555000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,137300000,90800000,- -,- -,132000000,245000000,251000000,177000000,172000000,232000000,293000000,192000000,182000000,214000000,206000000,87000000,259000000,267000000,299000000,329000000,382000000,401000000,418000000,131000000,113000000,879000000,324000000
99,Cash at the Beginning of Period,- -,- -,- -,259300000,233300000,124600000,113900000,69000000,71200000,115900000,137300000,90800000,101000000,102000000,132000000,254000000,251000000,177000000,172000000,232000000,293000000,192000000,182000000,214000000,206000000,87000000,259000000,267000000,299000000,329000000,382000000,401000000,418000000,134000000,113000000,879000000
100,Free Cash Flow,- -,- -,- -,70500000,10500000,137600000,182000000,167900000,210200000,227900000,321900000,266900000,65300000,296000000,500000000,555000000,699000000,598000000,727000000,614000000,342000000,562000000,560000000,541000000,616000000,470000000,420000000,581000000,629000000,749000000,606000000,637000000,780000000,786000000,1292000000,945000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21076/000002107694000006/0000021076-94-000006-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107695000005/0000021076-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107696000004/0000021076-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107697000008/0000021076-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107698000006/0000021076-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107699000008/0000021076-99-000008-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107600000003/0000021076-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/21076/000095014901501457/0000950149-01-501457-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107602000019/0000021076-02-000019-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107603000124/text.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107604000063/f10ktext.htm,https://www.sec.gov/Archives/edgar/data/21076/000110465905042311/a05-15203_110k.htm,https://www.sec.gov/Archives/edgar/data/21076/000095013406016835/f23136e10vk.htm,https://www.sec.gov/Archives/edgar/data/21076/000089161807000521/0000891618-07-000521-index.html,https://www.sec.gov/Archives/edgar/data/21076/000119312508180293/0001193125-08-180293-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677409001622/0001206774-09-001622-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677410001891/0001206774-10-001891-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677411001954/0001206774-11-001954-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677412003688/0001206774-12-003688-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677413003034/0001206774-13-003034-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677414002682/0001206774-14-002682-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677415002800/0001206774-15-002800-index.html,https://www.sec.gov/Archives/edgar/data/21076/000120677416006893/clorox3118951_1-10k.htm,https://www.sec.gov/Archives/edgar/data/21076/000162828017008700/0001628280-17-008700-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107618000011/0000021076-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/21076/000002107619000012/fy19clx10k.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107620000016/0000021076-20-000016-index.htm,https://www.sec.gov/Archives/edgar/data/21076/000002107621000016/0000021076-21-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
