,https://roic.ai/company/HRL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12054000,14402000,17229000,16710000,17596000,14393000,15717000,17829000,15591000,20595000,19707000,22458000,24744000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,7100000,- -,443300000,-1800000,15400000,-46100000,38900000,-35000000,-46200000,94600000,89000000,-170100000,183000000,-107100000,98800000,10200000,90100000,232700000,-132747000,463047000,314400000,-271000000,-85300000,-329093000,127709000,-8405000,-57125000,345178000,818734000,-165786000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9806000,-42844000,38718000,-58647000,-30171000,-45931000,-44459000,-20486000,22451000,21389000,-28091000,36133000,-11146000,-119516000,-191627000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,-12000000,-22700000,10900000,-10900000,-56800000,4900000,25300000,-28500000,-11750000,-21994000,9250000,-24303000,-28964000,-13340000,-21722000,- -,- -,62116000,-73909000,-92052000,-64698000,31699000,-21645000,82437000,-12281000,41312000,-8293000,-123843000,-1839000,-145176000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-484000,-10747000,72307000,-7429000,-74679000,-2553000,48376000,-44109000,111277000,115099000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,443300000,441500000,456900000,410800000,449700000,414700000,368500000,463100000,552100000,382000000,565000000,457900000,556700000,566900000,657000000,889700000,756953000,1220000000,1534400000,1263400000,1178100000,849007000,976716000,968311000,911186000,1256364000,2075098000,-15448000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,5700000,98000000,-392900000,-69600000,-25800000,46600000,-14000000,44400000,-45742000,-44990000,-34677000,149530000,-199061000,198092000,-152691000,-95380000,-220454000,-163612000,53270000,-594914000,-437591000,239092000,75242000,465867000,-219037000,-36868000,111702000,-614545000,-859342000,-22946000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,132200000,99800000,199100000,91400000,109400000,162500000,229000000,239500000,151304000,320440000,326861000,253250000,294730000,428847000,326574000,336929000,271622000,550769000,485532000,490479000,517781000,637805000,746879000,991992000,992848000,1010196000,1241729000,922996000,1128024000,1001934000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-22900000,-93500000,-65400000,-103400000,-122900000,-116400000,-75800000,-79100000,-100125000,-77129000,-64465000,-240970000,-80363000,-107094000,-141516000,-125795000,-125890000,-96961000,-89823000,-96911000,-132303000,-106762000,-159138000,-144063000,-255524000,-221286000,-389607000,-293838000,-367501000,-232416000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-440036000,-476000,-67104000,-21452000,-366496000,-78925000,-125101000,-27225000,-701000,-28104000,-7207000,-168000,-665415000,-466204000,-770587000,-170740000,-384519000,-857668000,479806000,-270789000,-3396246000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-14900000,-400000,- -,-14600000,-53300000,-114900000,-108700000,-30330000,-275000,-27575000,-91291000,-12663000,-118300000,-136460000,-603836000,-156573000,-2371000,-145464000,-71253000,- -,-6619000,-1718000,-4798000,- -,- -,-7546000,-20975000,-23713000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,2900000,13100000,62400000,86300000,82500000,84618000,6239000,20000000,- -,3120000,207218000,176877000,576456000,151308000,9802000,- -,- -,21143000,77558000,- -,- -,11078000,8792000,9704000,17758000,3772000,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-6500000,-19700000,-12100000,-14300000,-25900000,-77800000,45600000,-38800000,-28619000,4254000,11904000,5085000,129677000,3713000,9500000,12419000,4155000,5003000,4915000,4386000,4564000,10164000,10285000,18501000,6227000,4010000,9749000,37402000,1915000,2823000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,-29400000,-128100000,-74600000,-114800000,-150300000,-185100000,-58800000,-144100000,-74456000,-506947000,-60612000,-394280000,18319000,-380959000,-170524000,-265857000,-154225000,-85228000,-258476000,-170985000,-106764000,-691074000,-616775000,-900947000,-408959000,-593003000,-1235368000,220153000,-656316000,-3625839000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-93917000,-130054000,-100000000,- -,-350000000,- -,- -,-115000000,-165000000,-430000000,-280000000,-160000,-374840000,-8368000,-258617000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000000,-45500000,-80100000,-87600000,-75330000,-9213000,-10762000,-6119000,-37525000,-22977000,-36978000,-86794000,-69551000,-38147000,-69574000,-152930000,-61366000,-70819000,-58937000,-24928000,-87885000,-94487000,-46898000,-174246000,-12360000,-19958000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-26400000,-32200000,-37200000,-42900000,-45600000,-47200000,-47700000,-47900000,-48735000,-50623000,-53437000,-57092000,-61343000,-69371000,-75840000,-81092000,-95531000,-101376000,-109374000,-129975000,-152204000,-174320000,-203156000,-250834000,-296493000,-346010000,-388107000,-437053000,-487376000,-523114000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-23000000,-7500000,3700000,7300000,109400000,73600000,14700000,24500000,-40447000,331973000,-78763000,-7346000,-23276000,-4375000,-1793000,167995000,182768000,4456000,34485000,308696000,20821000,49618000,147723000,370135000,304732000,331239000,446803000,59895000,1074276000,2322209000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,-49400000,-39700000,-33500000,-35600000,39800000,-19100000,-113100000,-111000000,-164512000,272137000,-142962000,-70557000,-122144000,-96723000,-114611000,-93808000,-112368000,-235067000,-144463000,-324209000,-192749000,-195521000,-229370000,-70627000,-509646000,-389258000,11638000,-926244000,566172000,1520520000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,990000,416000,-574000,-7353000,-6339000,1044000,-2985000,-3140000,3526000,2606000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,-49400000,-39700000,-33500000,-35600000,39800000,-19100000,-113100000,-15600000,-87664000,85630000,123287000,-211587000,190905000,-48835000,41439000,-22736000,5029000,230474000,82593000,-4715000,219258000,-248374000,-99840000,13065000,67904000,28979000,15014000,213765000,1041408000,-1100779000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188300000,100646000,186276000,309563000,97976000,288881000,131046000,172485000,149749000,154778000,385252000,467845000,463130000,682388000,434014000,334174000,347239000,415143000,444122000,459136000,672901000,1714309000,613530000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,172100000,225500000,157600000,248600000,189600000,188500000,146900000,203900000,188310000,100646000,186276000,309563000,97976000,179881000,131046000,172485000,149749000,154778000,385252000,467845000,463130000,682388000,434014000,334174000,347239000,415143000,444122000,459136000,672901000,1714309000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,109300000,6300000,133700000,-12000000,-13500000,46100000,153200000,160400000,51179000,243311000,262396000,12280000,214367000,321753000,185058000,211134000,145732000,453808000,395709000,393568000,385478000,531043000,587741000,847929000,737324000,788910000,852122000,629158000,760523000,769518000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/48465/000004846595000008/0000048465-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846596000003/0000048465-96-000003-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846597000004/0000048465-97-000004-index.html,https://www.sec.gov/Archives/edgar/data/48465/0000048465-98-000008-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/48465/000091205701002984/0000912057-01-002984-index.html,https://www.sec.gov/Archives/edgar/data/48465/000091205702002668/0000912057-02-002668-index.html,https://www.sec.gov/Archives/edgar/data/48465/000104746903002563/a2100452z10-k.htm,https://www.sec.gov/Archives/edgar/data/48465/000104746904001632/a2125484z10-k.htm,https://www.sec.gov/Archives/edgar/data/48465/000110465905001285/a05-1139_110k.htm,https://www.sec.gov/Archives/edgar/data/48465/000110465906002096/a06-1208_110k.htm,https://www.sec.gov/Archives/edgar/data/48465/000110465907002276/0001104659-07-002276-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465907090982/0001104659-07-090982-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465908078222/0001104659-08-078222-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465909070245/0001104659-09-070245-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465910063729/0001104659-10-063729-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465911070659/0001104659-11-070659-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465912085141/0001104659-12-085141-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465913090853/0001104659-13-090853-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465914087276/0001104659-14-087276-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465915085151/0001104659-15-085151-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465916163147/0001104659-16-163147-index.html,https://www.sec.gov/Archives/edgar/data/48465/000110465917074227/0001104659-17-074227-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846518000046/0000048465-18-000046-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846519000057/0000048465-19-000057-index.html,https://www.sec.gov/Archives/edgar/data/48465/000004846520000043/0000048465-20-000043-index.htm,https://www.sec.gov/Archives/edgar/data/48465/000004846521000067/0000048465-21-000067-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
