,https://roic.ai/company/VTRS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12900000,-58500000,-27200000,-23200000,-16800000,-79800000,-200939000,-104029000,-819038000,-821902000,-793539000,-780806000,-686569000,-655948000,-18032000,- -,-7520000,-10024000,-9884000,-19346000,-19900000,-62100000,-30200000,-96500000,-63400000,-25800000,-104800000,-30000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25500000,68800000,18100000,17300000,50200000,180706000,141782000,426045000,871904000,640511000,693289000,991060000,848520000,65712000,15724000,4566000,- -,8061000,10600000,20200000,33100000,21500000,96600000,85200000,27100000,47000000,29000000
88,Other Investing Activites,- -,- -,- -,- -,- -,-18400000,-13500000,-12900000,-10800000,-10300000,-14700000,-17500000,-27200000,-7900000,-6600000,-23779000,57487000,6188000,-1139000,21153000,3372000,-5710000,-407000,-200510000,-163285000,-159691000,-241507000,-362419000,-598215000,-750600000,-847600000,-1001500000,-738500000,-1166300000,-378000000,-659100000,-411000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-23700000,-18800000,-22900000,-23100000,-43400000,-65200000,-7300000,-59200000,-36300000,-52900000,-72800000,70589000,-407426000,16268000,-250326000,-174891000,195092000,-730735000,-152830000,-334998000,-725410000,-332041000,-364242000,-1868814000,-800300000,-1569700000,-7620700000,-905400000,-1210400000,-525400000,-301100000,-117000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-685709000,-350032000,-2144486000,-1644198000,-1990796000,-3480289000,-2295800000,-4484100000,-6296300000,-2232700000,-3165200000,-1108500000,-2484200000,-4201000000
91,Common Stock Issued,- -,- -,- -,- -,- -,500000,600000,2700000,9600000,1400000,3000000,1800000,1100000,2400000,10100000,3587000,5671000,20852000,30434000,26671000,10068000,56889000,752862000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,- -,- -,-91456000,- -,-240541000,-133088000,- -,-1257867000,- -,- -,- -,- -,-349998000,-999893000,-999999000,- -,-67500000,- -,-500200000,-432000000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-3700000,-5400000,-7400000,-8500000,-11000000,-22200000,-17500000,-19500000,-19500000,-19800000,-20663000,-20144000,-20195000,-21192000,-26024000,-32261000,-49772000,-50751000,-137495000,-139035000,-139035000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-399000000
94,Other Financing Activites,- -,- -,- -,- -,- -,-100000,-100000,-1100000,-8400000,-5300000,-400000,-2800000,-19800000,-19100000,-14700000,-15696000,-5987000,-8095000,- -,- -,19622000,651488000,740705000,656268000,34639000,2383871000,1349200000,2379173000,5173202000,2028400000,5156400000,11640900000,839800000,2506300000,-60500000,1878500000,1588000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-3300000,-4900000,-5800000,-7300000,-14900000,-19600000,-18500000,-38200000,-38700000,-24400000,-32772000,-111916000,-7438000,-231299000,-132441000,-2571000,-599262000,1442816000,-166936000,-454428000,100350000,-644996000,-611516000,692914000,-267400000,604800000,5344600000,-1893100000,-1090900000,-1169000000,-605700000,-3012000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32000,8264000,7720000,-24808000,-30383000,1653000,10661000,-12900000,-33100000,-8300000,27000000,-21000000,-7500000,33800000,-30000000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13644000,25690000,-68393000,98112000,-157189000,26249000,12391000,1102241000,72945000,-176631000,281536000,-286996000,-25087000,-58676000,-65800000,1010500000,-237200000,-706700000,19400000,101800000,358900000,-144000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203493000,229183000,160790000,258902000,101713000,137733000,150124000,1252365000,557147000,380516000,662052000,375056000,349969000,291293000,225500000,1236000000,998800000,292100000,389300000,491100000,850000000,706000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,29900000,21900000,43600000,60300000,98200000,75500000,127300000,177000000,126200000,103800000,189849000,203493000,229183000,160790000,258902000,111484000,137733000,150124000,484202000,557147000,380516000,662052000,375056000,349969000,291300000,225500000,1236000000,998800000,369900000,389300000,491100000,850000000
100,Free Cash Flow,- -,- -,- -,- -,- -,13700000,34000000,35400000,56000000,15400000,119000000,44200000,19600000,23800000,146700000,90428000,42366000,325850000,280548000,107127000,112965000,312872000,228341000,219334000,450673000,738612000,440576000,643693000,771983000,260400000,1136800000,1296600000,1168600000,1146100000,1397700000,550600000,2559000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1792044/000119312520136001/0001193125-20-136001-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000119312521145240/0001193125-21-145240-index.htm,https://www.sec.gov/Archives/edgar/data/1792044/000179204422000010/0001792044-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
