,https://roic.ai/company/TER,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,307499000,510554000,391851000,449110000,503850000,515361000,758546000,910891000,529908000,488462000,529268000,579447000,629694000,721699000,311690000,478935000,812914000,726203000,938233000,964645000,951440000,887111000,1251107000,1815945000,1256195000,1119855000,1714563000,4269000
82,Other Non-Cash Items,- -,- -,- -,- -,4000000,34400000,-21800000,-16900000,18234000,-325829000,-293865000,239657000,-231907000,20067000,81986000,-283562000,-120679000,790189000,119130000,-74911000,-186718000,131727000,-108274000,876216000,-42811000,-273495000,-12326000,-204464000,-104503000,236090000,111308000,43599000,-375312000,409711000,98526000,-665881000,23315000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,59100000,40900000,32300000,40700000,91798000,89405000,115540000,250824000,13452000,238621000,367476000,470859000,-78972000,-4248000,34166000,254828000,14322000,450086000,128187000,163133000,121317000,566800000,273764000,404532000,267275000,492062000,412841000,445799000,626495000,476881000,578750000,868935000,1098366000
84,CAPEX,- -,- -,- -,- -,-44400000,-27700000,-14600000,-19500000,-20568000,-24556000,-79197000,-59494000,-106436000,-119457000,-119780000,-235189000,-198180000,-46434000,-30830000,-165245000,-113474000,-110417000,-103688000,-87202000,-41932000,-76044000,-86097000,-119080000,-106731000,-168982000,-89878000,-85272000,-105375000,-114379000,-134642000,-184977000,-132472000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1885000,- -,-8392000,- -,- -,- -,406000,906000,-574342000,-3741000,- -,-537489000,- -,-14999000,-19419000,-282741000,- -,- -,-169474000,-79742000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-19766000,-190961000,-393194000,-303207000,-182092000,-382474000,-587044000,-232131000,-394877000,-290409000,-367037000,-402911000,-396922000,-388385000,-135475000,-90369000,-870777000,-691802000,-751129000,-1168621000,-1578743000,-1424002000,-1656267000,-1391917000,-918744000,-662701000,-900196000,-673781000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,126619000,256814000,357982000,244951000,288814000,571110000,188399000,377438000,220594000,237249000,293060000,618495000,589167000,303849000,41036000,318070000,1194869000,266269000,1008831000,1430087000,1681801000,1096026000,1229427000,2116561000,717513000,514833000,926614000
88,Other Investing Activites,- -,- -,- -,- -,2800000,- -,-3000000,-7300000,-11633000,-5003000,-24350000,-15735000,-25695000,-44983000,-31376000,-63053000,-5426000,-29925000,-13720000,2124000,404500000,84617000,18653000,44072000,1076000,1091000,39062000,- -,-307000,4184000,1098000,5051000,5064000,9046000,2912000,546000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-41600000,-27700000,-17600000,-26800000,-32201000,-49325000,-167889000,-211609000,-77356000,-101581000,-244816000,-312291000,-247338000,-102190000,-114365000,-292909000,181175000,196179000,116653000,-449098000,-93930000,-627660000,-81457000,-603940000,-281827000,-332873000,-113722000,-640462000,-262801000,923010000,-156660000,-569794000,120361000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1069000,-2305000,-2518000,-2532000,-2534000,-190972000,- -,- -,- -,- -,- -,- -,-342990000
91,Common Stock Issued,- -,- -,- -,- -,4200000,3600000,13500000,15700000,24652000,17059000,24914000,13455000,44065000,26579000,82323000,55263000,58543000,41239000,100513000,30251000,34727000,23272000,23171000,17817000,15703000,44679000,17385000,18476000,17596000,21291000,19530000,20473000,24493000,20973000,29312000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2277000,-24597000,- -,-29833000,-104535000,-51158000,-207819000,-147472000,- -,- -,- -,- -,- -,-137563000,-273665000,-91192000,- -,- -,-31175000,- -,- -,- -,-299949000,-146331000,-200304000,-823478000,-500000000,-88465000,-600000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37425000,-50713000,-48619000,-55447000,-67322000,-61305000,-66482000,-65977000
94,Other Financing Activites,- -,- -,- -,- -,-28800000,-13200000,-200000,2400000,-5777000,6691000,7385000,-3550000,-2410000,-1615000,-1333000,-5283000,342937000,-871000,-43391000,-11467000,-98672000,-304648000,- -,119674000,51463000,- -,- -,-51352000,2208000,535000,2462000,412319000,-13931000,-33594000,-42356000,-3339000,383000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-24600000,-9600000,13300000,18100000,16598000,-847000,32299000,-19928000,-62880000,-26194000,-126829000,-97492000,401480000,40368000,57122000,18784000,-63945000,-418939000,-250494000,46299000,66097000,42374000,-16308000,-35408000,17270000,-206571000,-328670000,237842000,-245189000,-903421000,-574349000,-158286000,-1008584000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,548000,-514000,- -,- -,- -,- -,- -,620000,3454000,439000,-569000,-658000,-2065000
97,Net Change In Cash,- -,- -,- -,- -,-24600000,-9600000,13300000,18100000,76195000,39233000,-20050000,19287000,-126784000,110846000,-4169000,61076000,75170000,-66070000,-23077000,-19297000,131552000,227326000,-5654000,-239666000,94032000,-19000000,175999000,-234816000,2718000,-47382000,-29551000,43179000,121959000,496909000,-152828000,140197000,208078000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,143578000,182811000,182165000,201452000,74668000,185514000,181345000,242421000,317591000,251521000,228444000,209147000,340699000,568025000,562371000,322705000,416737000,397737000,573736000,338920000,341638000,294256000,264705000,307884000,429843000,926752000,773924000,914121000,1122199000
99,Cash at the Beginning of Period,- -,- -,- -,- -,10900000,3900000,7400000,35400000,67383000,143578000,202215000,182165000,201452000,74668000,185514000,181345000,242421000,317591000,251521000,228444000,209147000,340699000,568025000,562371000,322705000,416737000,397737000,573736000,338920000,341638000,294256000,264705000,307884000,429843000,926752000,773924000,914121000
100,Free Cash Flow,- -,- -,- -,- -,14700000,13200000,17700000,21200000,71230000,64849000,36343000,191330000,-92984000,119164000,247696000,235670000,-277152000,-50682000,3336000,89583000,-99152000,339669000,24499000,75931000,79385000,490756000,187667000,285452000,160544000,323080000,322963000,360527000,521120000,362502000,444108000,683958000,965894000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97210/000095013595000760/0000950135-95-000760-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/97210/000119312504042189/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312505052425/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312506053399/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312507044466/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312508041765/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312509042745/0001193125-09-042745-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312510044865/0001193125-10-044865-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312511051703/d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312512087457/0001193125-12-087457-index.html,- -,https://www.sec.gov/Archives/edgar/data/97210/000119312514077218/d651046d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312515067671/d829718d10k.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312516484381/0001193125-16-484381-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312517064638/0001193125-17-064638-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312518066579/0001193125-18-066579-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312519059974/0001193125-19-059974-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312520058676/0001193125-20-058676-index.html,https://www.sec.gov/Archives/edgar/data/97210/000119312521050735/0001193125-21-050735-index.htm,https://www.sec.gov/Archives/edgar/data/97210/000119312522049828/0001193125-22-049828-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
