,https://roic.ai/company/HOG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,10000000,- -,- -,- -,- -,189300000,-85300000,61700000,176600000,34200000,54300000,368721000,149633000,127380000,696820000,320222000,178549000,-317169000,-392721000,1211889000,-700399000,-20881000,-209256000,704266000,-1068637000,79592000,-328233000,-239286000,-264718000,160270000,119209000,857428000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4474000,8809000,2905000,43050000,-13694000,-36999000,-12324000,-16711000,-47423000,-19462000,9916000,33783000,135075000,- -
79,Inventory,- -,- -,- -,- -,2400000,-22300000,3200000,12300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37041000,10430000,-19167000,5475000,-54352000,-48019000,-45094000,85472000,2516000,-94957000,21459000,-46474000,-50886000,-155222000,85072000,-20584000,-31059000,-47576000,80858000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,189300000,104000000,165700000,342300000,376500000,430800000,799521000,949154000,1076534000,1773354000,2093576000,2272125000,1954956000,1562235000,2774124000,2073725000,2052844000,1843588000,2547854000,1479217000,1558809000,1230576000,991290000,726572000,886842000,1006051000,1863479000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-5900000,-7800000,-6600000,5700000,51100000,-238600000,105900000,-46200000,-113900000,-18200000,-30600000,-285656000,20362000,-142389000,-761218000,-412861000,-431637000,-138205000,113381000,-2768582000,1022376000,679052000,178170000,-864978000,1050841000,12866000,465121000,479735000,442486000,247779000,37611000,154034000,325677000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,61100000,46500000,50000000,87900000,96200000,80800000,169100000,228300000,309700000,318100000,416100000,565489000,757263000,779546000,935553000,969726000,960510000,761780000,798146000,-684649000,537712000,1092345000,885291000,801458000,977093000,1146677000,1100118000,1174339000,1005061000,1205921000,868272000,1177890000,975701000
84,CAPEX,- -,- -,- -,- -,-23600000,-38400000,-47800000,-47200000,-65600000,-94700000,-113000000,-178800000,-186200000,-182800000,-165800000,-203611000,-290381000,-323866000,-227230000,-213550000,-198389000,-219602000,-242113000,-232169000,-116748000,-170845000,-189035000,-189002000,-208321000,-232319000,-259974000,-256263000,-206294000,-213516000,-181440000,-131050000,-120181000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18777000,-1873000,- -,- -,- -,- -,- -,- -,-95554000,- -,- -,- -,- -,- -,- -,-59910000,- -,- -,- -,-7000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1500000,-2300000,- -,- -,-247989000,-1508285000,-1143898000,-1091326000,-1352428000,-970935000,-467609000,-608621000,-1417911000,-184365000,-2764677000,-4993000,-4998000,- -,- -,- -,- -,-10007000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51978000,1190114000,1145000000,742284000,1783503000,1224447000,1125344000,545280000,668338000,84217000,2890170000,23296000,40108000,41010000,11507000,40014000,6916000,- -,10007000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,16700000,-1600000,-700000,-2800000,-1400000,-1900000,-72000000,-35000000,-218800000,-155100000,-133800000,51356000,-283697000,-375955000,-258534000,-145158000,-55589000,-69169000,-24417000,-234352000,-132719000,245585000,-189035000,-279614000,-603977000,-785660000,-867445000,-432745000,-569384000,-652262000,-511133000,-66783000,-459447000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-6900000,-40000000,-48500000,-50000000,-67000000,-96600000,-185000000,-213800000,-406500000,-340200000,-299600000,-171032000,-771962000,-1017992000,-484662000,-707750000,177097000,-35259000,391205000,-393247000,-882292000,145437000,-63542000,-261311000,-568867000,-744650000,-915848000,-392731000,-562468000,-662269000,-508126000,-66783000,-459447000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000000,-1859582000,-2478267000,-1813779000,-2595494000,-947010000,-1742087000,-1691193000,-1334048000,-1420898000,-1348086000,-2584710000,-2760579000,-3262255000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,8300000,5500000,12200000,2700000,20000000,12800000,23800000,24600000,14592000,28839000,12679000,19378000,62171000,31264000,125801000,21478000,1179000,11000,7845000,7840000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40000000,- -,- -,-15200000,-130300000,-126002000,-111552000,-56814000,-103880000,-564132000,-1054615000,-1061968000,-1153439000,-250410000,-1920000,-1706000,-224548000,-311632000,-479231000,-615602000,-1537020000,-465341000,-465263000,-390606000,-296520000,-8006000,-11623000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-4600000,-10700000,-13600000,-17100000,-21000000,-24200000,-27000000,-30072000,-35428000,-41457000,-58986000,-119232000,-173785000,-212914000,-260805000,-302314000,-93807000,-94145000,-111011000,-141681000,-187688000,-238300000,-249262000,-252321000,-251862000,-245810000,-237221000,-68087000,-92426000
94,Other Financing Activites,- -,- -,- -,- -,-67500000,-31600000,15400000,-33100000,3600000,-4100000,40400000,93600000,110000000,55400000,34400000,-16654000,152542000,165528000,224118000,305047000,-74655000,512058000,354963000,2244935000,3337235000,710183000,1832554000,2058734000,1220720000,2059893000,3123411000,1317320000,1596220000,1969739000,2406228000,4210655000,1481373000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-67500000,-31600000,15400000,-24800000,4500000,-2600000,-10500000,96500000,101800000,39800000,-98300000,-158136000,34401000,79936000,80630000,-316146000,-1271791000,-637023000,-1037803000,1293390000,1381937000,-1856090000,-308944000,-990073000,-393209000,-536096000,-354064000,-734390000,-541803000,-14763000,-712223000,1373983000,-1884931000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7924000,12909000,-24790000,5581000,3745000,-7788000,-8886000,-16543000,-25863000,-14677000,-9443000,26747000,-15351000,-2305000,18712000,-15272000
97,Net Change In Cash,- -,- -,- -,- -,-67500000,-31600000,15400000,-24800000,4500000,-2600000,-10500000,96500000,101800000,39800000,18200000,236321000,19702000,-158510000,531521000,-54170000,-134184000,97422000,164457000,190704000,1042938000,-614563000,505017000,-458812000,-1526000,-159932000,-184471000,37775000,-72463000,513538000,-354382000,2503802000,-1383949000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183400000,419736000,439438000,280928000,812449000,275159000,140975000,238397000,402854000,593558000,1636496000,1021933000,1526950000,1068138000,1066612000,906680000,722209000,759984000,687521000,1259748000,905366000,3409168000,2025219000
99,Cash at the Beginning of Period,- -,- -,- -,- -,52400000,39100000,14000000,30900000,44100000,77700000,57900000,31500000,142500000,147500000,165200000,183415000,419736000,439438000,280928000,329329000,275159000,140975000,238397000,402854000,593558000,1636496000,1021933000,1526950000,1068138000,1066612000,906680000,722209000,759984000,746210000,1259748000,905366000,3409168000
100,Free Cash Flow,- -,- -,- -,- -,37500000,8100000,2200000,40700000,30600000,-13900000,56100000,49500000,123500000,135300000,250300000,361878000,466882000,455680000,708323000,756176000,762121000,542178000,556033000,-916818000,420964000,921500000,696256000,612456000,768772000,914358000,840144000,918076000,798767000,992405000,686832000,1046840000,855520000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793952/000095013195000813/0000950131-95-000813-index.html,https://www.sec.gov/Archives/edgar/data/793952/000095013196001397/0000950131-96-001397-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/793952/000091205702012138/0000912057-02-012138-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465903005244/0001104659-03-005244-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465904007224/0001104659-04-007224-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465905010542/0001104659-05-010542-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465906014021/0001104659-06-014021-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465907014465/0001104659-07-014465-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000110465908012386/0001104659-08-012386-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312509031412/0001193125-09-031412-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312510037160/0001193125-10-037160-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312511045258/0001193125-11-045258-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000119312512074944/0001193125-12-074944-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000144530513000288/0001445305-13-000288-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395214000006/0000793952-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395215000009/0000793952-15-000009-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395216000047/0000793952-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395217000007/0000793952-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395218000012/0000793952-18-000012-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395219000008/0000793952-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395220000008/0000793952-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395221000010/0000793952-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/793952/000079395222000014/0000793952-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
