,https://roic.ai/company/STKL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,- -,- -,- -,-500000,- -,- -,-600000,600000,100000,-3200000,-800000,-400000,-200000,-880000,-7214776,-11049000,-18546000,-21624000,-44039000,-34703000,-41396000,-54103000,-15732000,-14132000,- -,-19816000,-49747000,-33001000,- -,22088000,-19852000,-40122000,-28771000,27219000,324518000,-94450000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35082000,- -,-17968000,-100780000,-7328000,- -,-48869000,-514681000,-9959000,-1810000,-35541000,-407421000,-13671000
91,Common Stock Issued,- -,- -,- -,3500000,200000,- -,- -,1600000,100000,4100000,200000,100000,100000,204000,643462,20825000,2091000,56601000,9125000,15240000,4501000,90444000,1016000,836000,- -,1155000,787000,2562000,- -,3058000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3300000,- -,- -,- -,- -,- -,- -,- -,- -,-100000,-118000,-183370,- -,- -,-147000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6691000,-6800000,-6800000,-4078000,-5247000
94,Other Financing Activites,- -,- -,- -,100000,- -,- -,200000,-100000,-200000,600000,-300000,-700000,-300000,-1069000,5721144,-7434000,19940000,-22267000,9703000,24069000,22759000,27587000,-23914000,-1493000,- -,42058000,123160000,9261000,- -,150000,530272000,27218000,48644000,3578000,-6185000,134776000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,300000,200000,- -,200000,1500000,-100000,4700000,-100000,-600000,-300000,-983000,6181236,13391000,22031000,34187000,18828000,39309000,27260000,118031000,-22898000,-35739000,- -,25245000,23167000,4495000,- -,-45661000,15591000,10568000,40034000,-38763000,-417684000,115858000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000,29339,67000,91000,489000,546000,293000,131000,497000,-602000,951000,- -,-102000,65000,151000,- -,159000,52000,68000,-70000,-47000,223000,- -
97,Net Change In Cash,- -,- -,- -,300000,200000,- -,200000,1500000,-100000,4700000,-100000,-600000,-300000,1578000,-967527,2730000,3648000,14978000,-13909000,-2626000,-4501000,29348000,-5547000,-4032000,- -,-265000,4462000,1697000,- -,1401000,-1023000,1977000,52000,-1782000,123000,-24000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1703000,675468,3366000,7012000,21990000,8081000,5455000,954000,30302000,24755000,20723000,- -,2378000,6840000,8537000,- -,9938000,1251000,3228000,3280000,1498000,251000,227000
99,Cash at the Beginning of Period,- -,- -,- -,500000,800000,200000,300000,- -,1100000,400000,2900000,1300000,500000,125000,1642995,636000,3364000,7012000,21990000,8081000,5455000,954000,30302000,24755000,- -,2643000,2378000,6840000,- -,8537000,2274000,1251000,3228000,3280000,128000,251000
100,Free Cash Flow,- -,- -,- -,100000,-700000,100000,100000,-900000,-700000,600000,-1100000,-400000,-100000,2672000,-3532706,-3589000,-4392000,-5213000,-9054000,-21690000,-1407000,-66568000,23362000,31277000,- -,-22985000,6598000,-4058000,- -,4890000,-21081000,-9676000,-42744000,-22955000,66942000,-104802000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/351834/000116923206001227/0001169232-06-001227-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445907000269/0001204459-07-000269-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445908001504/0001204459-08-001504-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445909000390/0001204459-09-000390-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000120445910000491/0001204459-10-000491-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/351834/000120445912000476/0001204459-12-000476-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299313001081/0001062993-13-001081-index.htm,- -,undefined,https://www.sec.gov/Archives/edgar/data/351834/000106299315001123/0001062993-15-001123-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299317001180/0001062993-17-001180-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299318001023/0001062993-18-001023-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299319001084/0001062993-19-001084-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299320001183/0001062993-20-001183-index.html,https://www.sec.gov/Archives/edgar/data/351834/000106299321002279/0001062993-21-002279-index.htm,https://www.sec.gov/Archives/edgar/data/351834/000106299322006314/0001062993-22-006314-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
