,https://roic.ai/company/OLP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,-935213,-885000,- -,-6500000,-157000,-10000,- -,- -,-2917000,-559000,-379000,-10690000,-1750000,-669000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,300000,- -,- -,- -,- -,282207,1203000,156000,201000,1521000,2407000,3441000,5000,348000,843000,525000,4495000,7336000,95000,373000,19000,266000,- -,33000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,5100000,2800000,-100000,1800000,4450219,2953869,4098928,7119833,425000,12482000,749000,-23540000,3316000,-15284000,33916000,17492000,-445000,3411000,24100000,3136000,12544000,35769000,13739000,43841000,9815000,41513000,26658000,-60661000,-12925000,333000,23371000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-9800000,-2000000,5100000,2800000,200000,-3700000,630896,-16986702,-5959461,-6705052,-10756000,-39356000,-5702000,-48056000,-18614000,-61577000,-16506000,-44713000,416000,-55452000,17329000,-29091000,-18444000,-12915000,-91688000,-13758000,-73498000,-80911000,-23444000,-59661000,-12925000,333000,23371000
90,Debt Repayment,- -,- -,- -,- -,-200000,-1900000,-4800000,- -,- -,- -,-138368,-511059,-2429886,-5308829,-766000,-1455000,-1544000,-2654000,-2827000,-3317000,-22425000,-4986000,-9283000,-13476000,-19988000,-30189000,-60002000,-72505000,-20766000,-98970000,-76160000,-167691000,-71056000,-89483000,-106228000,-64929000,-66939000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,-700000,- -,600000,155125,214437,264625,- -,2500000,- -,401000,610000,9273000,592000,120000,110000,- -,2607000,- -,1200000,44320000,2131000,9165000,3768000,6457000,25787000,5570000,3138000,5200000,- -,4291000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-91000,- -,- -,-16810000,- -,- -,- -,-3212000,-1827000,-1416000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-1600000,-1400000,-1400000,-5300000,-2400000,-2400000,-2493493,-3019292,-3102499,-3591203,-5925000,-4634000,-3492000,-6667000,-8533000,-13023000,-12966000,-13088000,-21167000,-14640000,-2939000,-10564000,-18090000,-19477000,-21445000,-23601000,-25599000,-28230000,-31704000,-34421000,-35421000,-29441000,-37318000
94,Other Financing Activites,- -,- -,- -,- -,6600000,2800000,- -,- -,- -,4100000,-340350,14704383,7378262,27278932,3765000,30486000,3789000,48762000,69225000,21069000,57706000,31014000,7086000,48561000,2411000,29432000,35350000,82361000,99851000,104471000,127276000,224324000,72423000,139846000,108377000,60507000,31136000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,4800000,-500000,-6200000,-6000000,-2400000,2300000,-2817086,11388469,2110502,18378900,-2926000,24306000,-846000,40051000,50328000,5321000,22435000,13050000,-26576000,21225000,-21932000,-10121000,1578000,-7490000,66805000,-14332000,31974000,54190000,-24767000,19080000,-28072000,-33863000,-68830000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1142953,-1365829,-872216,17483261,-7843000,-9178000,216000,339000,43320000,-39893000,20698000,7264000,-8276000,-14790000,17089000,-20304000,4936000,1909000,2054000,3713000,-7608000,4684000,-3654000,2065000,-4765000,1596000,3102000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3844409,2478580,1606364,19089625,11247000,2069000,2285000,2624000,45944000,6051000,26749000,34013000,25737000,10947000,28036000,7732000,12668000,14577000,16631000,20344000,12736000,17420000,13766000,16733000,11968000,13564000,16666000
99,Cash at the Beginning of Period,- -,- -,- -,- -,5600000,1200000,1500000,1600000,700000,900000,2701456,3844409,2478580,1606364,19090000,11247000,2069000,2285000,2624000,45944000,6051000,26749000,34013000,25737000,10947000,28036000,7732000,12668000,14577000,16631000,20344000,12736000,17420000,14668000,16733000,11968000,13564000
100,Free Cash Flow,- -,- -,- -,- -,-9100000,800000,1100000,2200000,2500000,-2300000,-490180,-15708167,-7081646,-7362466,-5660000,-46122000,6612000,-17536000,-12721000,-33371000,-44658000,-40709000,17461000,-40572000,21116000,-19905000,-7612000,21876000,26737000,31803000,33916000,31405000,44557000,42646000,36232000,35126000,48561000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712770/000091205796004583/0000912057-96-004583-index.html,https://www.sec.gov/Archives/edgar/data/712770/000071277097000002/0000712770-97-000002-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712770/000071277001000003/0000712770-01-000003-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/712770/000114420408015005/0001144204-08-015005-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000114420409013867/0001144204-09-013867-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000114420410013127/0001144204-10-013127-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746911002212/0001047469-11-002212-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746912002612/0001047469-12-002612-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746913002811/0001047469-13-002811-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746914002526/0001047469-14-002526-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746915002075/0001047469-15-002075-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746916011158/0001047469-16-011158-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746917001481/0001047469-17-001481-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746918001632/0001047469-18-001632-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000104746919001388/0001047469-19-001388-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000110465920033752/0001104659-20-033752-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000155837021002931/0001558370-21-002931-index.htm,https://www.sec.gov/Archives/edgar/data/712770/000155837022003420/0001558370-22-003420-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
