,https://roic.ai/company/ATRI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,- -,- -,-2900000,-700000,-3000000,-600000,-1400000,-3100000,-2600000,-1800000,-25200000,-12100000,-3112000,-2808000,-3279000,-4215000,-5570000,-10569000,-20889000,-7893000,-5412000,-6591000,-4293000,-11999000,-10347000,-9653000,-12671000,-9323000,-10639000,-9677000,-17507000,-20446000,-21886000,-15828000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4692000,-15640000,-19300000,-14723000,-26566000,- -,-33115000,-168000,-30799000,-69193000,-28472000,-83721000,-45768000,-23158000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4625000,4000000,14290000,19750000,7639000,35975000,13400000,5210000,58000000,40898000,59331000,36822000,40982000
88,Other Investing Activites,- -,- -,- -,- -,- -,9700000,2200000,100000,- -,-11100000,- -,-11600000,38500000,- -,- -,199000,428000,- -,- -,-3750000,21000,3000,- -,- -,- -,- -,824000,- -,-2150000,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,6800000,1500000,-2900000,-600000,-12500000,-3100000,-14200000,36700000,-25200000,-12100000,-2913000,-2380000,-3279000,-4215000,-9320000,-10548000,-20886000,-7893000,-10104000,-17606000,-19593000,-11608000,-17163000,-2014000,-9811000,3909000,-36228000,-20870000,-5081000,-44836000,-30832000,1996000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,200000,300000,100000,100000,100000,400000,400000,- -,- -,85000,1778000,409000,2656000,414000,2285000,1228000,650000,543000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2300000,- -,- -,- -,- -,- -,- -,-100000,-2800000,-9100000,-1436000,-17609000,-564000,-4909000,-84000,- -,-1594000,- -,- -,- -,-1407000,-1513000,-5344000,-9196000,-23556000,-30698000,-1276000,-7735000,-90000,- -,-18831000,-17573000
93,Dividends Paid,- -,- -,- -,- -,- -,-2500000,-2300000,-2500000,-2500000,-2500000,-2500000,-2600000,-1900000,- -,- -,- -,- -,- -,-406000,-891000,-1119000,-1375000,-1670000,-2123000,-2613000,-21321000,-3676000,-24460000,-4821000,-5432000,-6069000,-7111000,-8318000,-9448000,-10755000,-12100000,-13407000
94,Other Financing Activites,- -,- -,- -,- -,- -,-10700000,-100000,- -,- -,800000,-1200000,5200000,-6400000,-400000,10200000,-3017000,9725000,-6788000,-6050000,-1351000,-407000,9622000,-10594000,722000,458000,1056000,1000,1007000,15000,-208000,2000,-1112000,- -,- -,-579000,-55000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-15500000,-2200000,-2200000,-2400000,-1600000,-3600000,3000000,-8000000,-3200000,1100000,-4368000,-6106000,-6943000,-8709000,-1912000,759000,7881000,-11614000,-858000,-2155000,-21672000,-5188000,-28797000,-14002000,-29196000,-36765000,-9499000,-16053000,-9538000,-11334000,-30986000,-30980000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,-15500000,-2200000,-2200000,-2400000,-8300000,2400000,3000000,-8000000,-3200000,-5500000,89000,383000,-189000,-55000,-43000,270000,-192000,3198000,8525000,8638000,-10024000,13920000,-16591000,20560000,-7784000,7571000,-8324000,10114000,28617000,-13705000,-22598000,9814000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,2800000,- -,- -,- -,100000,159000,542000,353000,298000,255000,525000,333000,3531000,12056000,20694000,10670000,24590000,7999000,28559000,20775000,28346000,20022000,30136000,58753000,45048000,22450000,32264000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,300000,2500000,5500000,2100000,8800000,400000,2800000,100000,32200000,5600000,70000,159000,542000,353000,298000,255000,525000,333000,3531000,12056000,20694000,10670000,24590000,7999000,28559000,20775000,28346000,20022000,30136000,58753000,45048000,22450000
100,Free Cash Flow,- -,- -,- -,- -,- -,8000000,3000000,-1300000,9100000,4400000,5900000,5900000,1500000,-23300000,-6700000,4258000,6061000,6754000,8654000,5619000,-510000,-8076000,14812000,14075000,21808000,26948000,18717000,19022000,26923000,18552000,31104000,26764000,37360000,25729000,22019000,17334000,22970000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/0000950144-96-001451-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/000089155402001485/0000891554-02-001485-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/701288/000114036108006638/form10k.htm,https://www.sec.gov/Archives/edgar/data/701288/000110262409000112/0001102624-09-000112-index.html,https://www.sec.gov/Archives/edgar/data/701288/000110262410000109/0001102624-10-000109-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752311001534/a6641937.htm,https://www.sec.gov/Archives/edgar/data/701288/000115752312001352/0001157523-12-001352-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752313001345/0001157523-13-001345-index.html,https://www.sec.gov/Archives/edgar/data/701288/000115752314001075/a50819068.htm,- -,https://www.sec.gov/Archives/edgar/data/701288/000135448816006512/0001354488-16-006512-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495417001933/0001654954-17-001933-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495418001936/0001654954-18-001936-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495419002002/0001654954-19-002002-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495420002158/0001654954-20-002158-index.html,https://www.sec.gov/Archives/edgar/data/701288/000165495421002137/0001654954-21-002137-index.htm,https://www.sec.gov/Archives/edgar/data/701288/000165495422002094/0001654954-22-002094-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
