,https://roic.ai/company/INTC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,517000000,- -,- -,- -,- -,- -,378000000,409000000,436000000,224000000,201000000,313000000,180000000,142000000,102000000,172000000,38000000,247000000,312000000,281000000,1604000000,2634000000,4634000000,1776000000,1261000000,3693000000,2504000000,4591000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1293000000,988000000,- -,- -,- -,- -,- -,- -,- -,86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,674000000,418000000,475000000,633000000,592000000,632000000,599000000,625000000,463000000,593000000,622000000,1929000000,1932000000,2096000000,2205000000,2188000000,1718000000,1656000000,1665000000,2044000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1932000000,2755000000,3894000000,4613000000,4560000000,5729000000,5211000000,3974000000,4141000000,4362000000,5270000000,6040000000,5479000000,5443000000,4863000000,4943000000,6377000000,6896000000,7631000000,8222000000,9454000000,8761000000,11475000000,11061000000,9876000000,12445000000,16669000000,17124000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3024000000,3619000000,4863000000,6020000000,5804000000,7099000000,8650000000,6570000000,6595000000,6879000000,8006000000,9234000000,8514000000,8571000000,7818000000,7591000000,9327000000,12028000000,12898000000,13568000000,16011000000,15646000000,20302000000,17421000000,16626000000,22310000000,24754000000,27462000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,392000000,400000000,728000000,448000000,702000000,955000000,707000000,1050000000,929000000,936000000,703000000,2106000000,1848000000,1980000000,1185000000,2049000000,2077000000,7084000000,13136000000,13165000000,12059000000,20036000000,20649000000,25037000000,25098000000,25308000000,33897000000,33510000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2049000000,1368000000,1367000000,185000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,389000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,703000000,- -,- -,- -,555000000,926000000,2617000000,3412000000,4397000000,3775000000,2539000000,1730000000,3046000000,1665000000,2044000000,3843000000,2667000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,744000000,1345000000,1272000000,3117000000,1588000000,3260000000,1266000000,945000000,1232000000,1482000000,855000000,89000000,1254000000,2338000000,1923000000,1196000000,1426000000,3479000000,3702000000,2972000000,4190000000,1256000000,3538000000,7860000000,7543000000,7835000000,8192000000,9191000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1525000000,1745000000,2000000000,3565000000,2290000000,4215000000,1973000000,1995000000,2161000000,2418000000,1558000000,2898000000,3102000000,4318000000,3108000000,3800000000,4429000000,13180000000,20250000000,20534000000,20024000000,23831000000,25917000000,35943000000,36355000000,36555000000,47299000000,45553000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4549000000,5364000000,6863000000,9585000000,8094000000,11314000000,10623000000,8565000000,8756000000,9297000000,9564000000,12132000000,11616000000,12889000000,10926000000,11391000000,13756000000,25208000000,33148000000,34102000000,36035000000,39477000000,46219000000,53364000000,52981000000,58865000000,72053000000,73015000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,2306000000,2583000000,2897000000,3311000000,4822000000,7316000000,8486000000,8833000000,7641000000,6754000000,6143000000,6245000000,7825000000,11653000000,13402000000,14993000000,16178000000,17036000000,19464000000,21536000000,21781000000,23411000000,25373000000,26074000000,25365000000,25261000000,25556000000,28006000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,6961000000,9557000000,13975000000,15926000000,17952000000,21428000000,28738000000,27150000000,27847000000,31016000000,32288000000,29810000000,28984000000,30848000000,26537000000,26318000000,32919000000,29656000000,32138000000,35477000000,33418000000,37614000000,40747000000,42083000000,50172000000,53523000000,56233000000,68265000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3149000000,-4321000000,-5775000000,116000000,1206000000,7582000000,196000000,-306000000,-20000000,76000000,148000000,127000000,-57000000,261000000,-393000000,393000000,333000000,-781000000,-399000000,1243000000,666000000,60000000,106000000,862000000,-974000000,-1280000000,-751000000,-880000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3149000000,4321000000,5775000000,- -,- -,- -,- -,153000000,- -,- -,- -,- -,- -,- -,-458000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,9267000000,12140000000,16872000000,19295000000,23377000000,32535000000,37322000000,35830000000,35468000000,37846000000,38579000000,36182000000,36752000000,42762000000,39088000000,41704000000,49430000000,45911000000,51203000000,58256000000,55865000000,61085000000,66226000000,69019000000,74563000000,77504000000,81038000000,95391000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13816000000,17504000000,23735000000,28880000000,31471000000,43849000000,47945000000,44395000000,44224000000,47143000000,48143000000,48314000000,48368000000,55651000000,50014000000,53095000000,63186000000,71119000000,84351000000,92358000000,91900000000,100562000000,112445000000,122383000000,127544000000,136369000000,153091000000,168406000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,- -,- -,- -,- -,- -,- -,897000000,882000000,866000000,419000000,155000000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,13816000000,17504000000,23735000000,28880000000,31471000000,43849000000,47945000000,44395000000,44224000000,47143000000,48143000000,48314000000,48368000000,55651000000,50472000000,53095000000,63186000000,71119000000,84351000000,92358000000,91900000000,101459000000,113327000000,123249000000,127963000000,136524000000,153091000000,168406000000
