,https://roic.ai/company/AVHI,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,-2800000,-1700000,- -,- -,-27000000,- -,- -,- -,-1800000,- -,-12549000,- -,- -,-174000,-8875000,-52998000,-428000,- -,-965000,- -,- -,- -,- -,-821000,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3076000,-7000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,34600000,16700000,26400000,-7300000,-23500000,5400000,31600000,-23600000,7663000,44857000,-42204000,-4608000,-1193000,-2909000,-59829000,95707000,1967000,-7042000,-9881000,7805000,- -,-89000,95112000,12096000,92685000,190560000,116529000,30567000,418880000,- -,- -,- -,102773270
95,Cash Used/Provided by Financing Activities,- -,31800000,15000000,26400000,-7300000,-20200000,5400000,31600000,-23600000,5863000,44857000,-54753000,-4608000,-1193000,-3083000,-68454000,43709000,1787000,-6792000,-8746000,8305000,30550000,-57770000,23209000,8199000,128483000,185114000,23366000,-51226000,182162000,- -,- -,- -,102773270
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2378000,28661000,110738000,-94098000,62612000,7066000,-94239000,3889000,8981000,165281000,-11502000,-16862000,41736000,-101630000,8814000,-44501000,64912000,35607000,-133436000,20894000,173198000,- -,- -,- -,-240218614
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,4085000,32521000,143259000,49161000,111773000,118839000,24600000,28489000,38479000,203760000,192258000,175396000,217132000,115502000,124316000,79815000,144727000,180334000,46898000,67792000,240990000,- -,- -,- -,771386
99,Cash at the Beginning of Period,- -,800000,2900000,2000000,4200000,2600000,7200000,4800000,2500000,6463000,3860000,32521000,143259000,49161000,111773000,118839000,24600000,29498000,38479000,203760000,192258000,175396000,217132000,115502000,124316000,79815000,144727000,180334000,46898000,67792000,- -,- -,- -,240990000
100,Free Cash Flow,- -,-30200000,-1800000,-17300000,3800000,-1700000,-7800000,-34000000,28700000,-8241000,-16196000,10521000,-41707000,-13001000,4899000,-6653000,-52688000,-8148000,148196000,-2455000,-23541000,11676000,-10491000,-18399000,-52734000,-63460000,-83224000,-60186000,72119000,32448000,- -,- -,- -,-501884
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39677/000095014403003891/0000950144-03-003891-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014404002300/0000950144-04-002300-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014405002588/0000950144-05-002588-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014406002262/0000950144-06-002262-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014407002309/0000950144-07-002309-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014408001989/0000950144-08-001989-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000095014409002245/0000950144-09-002245-index.html,https://www.sec.gov/Archives/edgar/data/39677/000095012310025239/0000950123-10-025239-index.html,https://www.sec.gov/Archives/edgar/data/39677/000114036111017183/0001140361-11-017183-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000114036112017338/0001140361-12-017338-index.html,https://www.sec.gov/Archives/edgar/data/39677/000114036113012642/0001140361-13-012642-index.html,https://www.sec.gov/Archives/edgar/data/39677/000144530514001069/0001445305-14-001069-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000162828015001189/0001628280-15-001189-index.htm,https://www.sec.gov/Archives/edgar/data/39677/000162828016012298/0001628280-16-012298-index.html,https://www.sec.gov/Archives/edgar/data/39677/000155837017000996/0001558370-17-000996-index.html,https://www.sec.gov/Archives/edgar/data/39677/000155837018001034/0001558370-18-001034-index.html,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1844507/000119312522088251/0001193125-22-088251-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
