,https://roic.ai/company/PAR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,-7400000,-10200000,-3000000,-11900000,-30700000,18600000,-6800000,9100000,27540000,-4872000,-8572000,-9871000,19869000,-11207000,-22758000,13426000,-13608000,12472000,5860000,38563000,746000,7046000,16446000,-11689000,27000,5996000,9965000,-43201000,-156666000,22034000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,11500000,900000,-1500000,8000000,-800000,-2900000,-1600000,-3600000,10000000,-8025000,-309000,3528000,3234000,19488000,11487000,-3550000,8663000,-2342000,7068000,12393000,11001000,13358000,-3230000,6261000,594000,10996000,314000,-3849000,-16129000,-20243000,-53156000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1600000,-1800000,-1200000,-1700000,-1300000,-1300000,-1500000,-3200000,-4500000,-586000,-517000,-916000,-415000,-1598000,-1682000,-2011000,-3175000,-797000,-2151000,-5933000,-8285000,-5331000,-5788000,-5002000,-3853000,-6118000,-8857000,-7840000,-6530000,-9231000,-8287000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13364000,-7223000,-5827000,- -,- -,-54000,-33000,- -,4000000,- -,-5000000,12100000,- -,- -,- -,-17353000,- -,-374705000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-776000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,1300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1912000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-100000,-1500000,-1100000,-500000,-500000,-1200000,-1500000,-1100000,-1000000,-914000,-742000,-790000,-809000,-804000,-617000,- -,-278000,373000,-2151000,-5933000,-8361000,-6159000,-5788000,-5002000,-4899000,-7095000,-8857000,-6714000,-6530000,-9040000,-8287000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-400000,-3300000,-2300000,-2200000,-1800000,-2500000,-3000000,-4300000,-5500000,-1500000,-1259000,-1706000,-1224000,-15766000,-9522000,-7838000,-3453000,-424000,-2205000,-5966000,-8361000,-247000,-5788000,-10002000,6425000,-7095000,-8857000,-6714000,-23883000,-9040000,-382992000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7872000,-3404000,-1712000,-1500000,-159000,-165000,-222329000,-215161000,-22387000,-50850000,-17459000,-66879000,-187792000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,600000,300000,200000,400000,15500000,300000,200000,- -,- -,473000,2303000,839000,585000,1830000,179000,203000,488000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131407000,215000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-600000,-2000000,-200000,-2200000,-2500000,-1424000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-323000,- -,- -,- -,- -,- -,- -,- -,- -,-544000,-297000,-5315000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-10000000,900000,3100000,-4100000,300000,-200000,100000,7200000,-2300000,11195000,775000,-5139000,-2645000,3171000,-6817000,10310000,-5457000,5568000,547000,551000,133000,24000,52000,5002000,214629000,213007000,28444000,58199000,83562000,116461000,421715000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-10000000,1500000,3400000,-3900000,100000,13300000,200000,5200000,-4800000,9771000,1248000,-2836000,-1806000,3756000,-4987000,10485000,-5254000,6056000,-7325000,-3176000,-1579000,-1476000,-107000,4837000,-7700000,-2154000,6057000,7349000,65559000,180692000,443608000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,625000,773000,-249000,-692000,194000,202000,-1494000,142000,-377000,-94000,98000,-335000,-944000,-1462000,-716000,31000,99000,-996000,1241000,273000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-10000000,1500000,3400000,-3900000,100000,13300000,200000,5200000,-300000,246000,-320000,-389000,977000,7229000,-3714000,-709000,158000,1796000,-2320000,2874000,967000,11733000,-9460000,152000,-2143000,1031000,-2455000,-3115000,24551000,152650000,7733000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1199000,879000,490000,1467000,8696000,4982000,4273000,4431000,6227000,3907000,6781000,7748000,19475000,10015000,10167000,8024000,9055000,6600000,3485000,28036000,180686000,188419000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,1000000,2200000,1300000,900000,2900000,500000,8400000,4000000,1300000,953000,1199000,879000,490000,1467000,8696000,4982000,4273000,4431000,6227000,3907000,6781000,7742000,19475000,10015000,10167000,8024000,9055000,6600000,3485000,28036000,180686000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,9900000,-900000,-2700000,6300000,-2100000,-4200000,-3100000,-6800000,5500000,-8611000,-826000,2612000,2819000,17890000,9805000,-5561000,5488000,-3139000,4917000,6460000,2716000,8027000,-9018000,1259000,-3259000,4878000,-8543000,-11689000,-22659000,-29474000,-61443000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000091431796000053/0000914317-96-000053-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882197000009/0000708821-97-000009-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000070882101000010/0000708821-01-000010-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/708821/000070882109000005/0000708821-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882110000003/0000708821-10-000003-index.html,https://www.sec.gov/Archives/edgar/data/708821/000070882111000006/0000708821-11-000006-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882112000018/0000708821-12-000018-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882113000011/0000708821-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036114012801/0001140361-14-012801-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036115013699/0001140361-15-013699-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036116059555/0001140361-16-059555-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000114036117016022/0001140361-17-016022-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882118000010/0000708821-18-000010-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882119000017/0000708821-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882120000018/0000708821-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000162828021004914/0001628280-21-004914-index.htm,https://www.sec.gov/Archives/edgar/data/708821/000070882122000012/0000708821-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
