,https://roic.ai/company/GRC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,6100000,10600000,10900000,12500000,9800000,9100000,6000000,17900000,11900000,21900000,17500000,16329000,26293000,21379000,14012000,14498000,3043000,18744000,34835000,29397000,49633000,28623000,21132000,32633000,50386000,29003000,40683000,53434000,43265000,41210000,62174000,51162000,45438000
84,CAPEX,- -,- -,- -,- -,-4800000,-5000000,-8200000,-4500000,-10300000,-8600000,-8200000,-4000000,-6300000,-9300000,-16200000,-11439000,-3139000,-5765000,-3698000,-7500000,-3189000,-7258000,-12826000,-27909000,-38071000,- -,-11175000,-16373000,-21015000,-13275000,-8260000,-6877000,-7754000,-10947000,-10912000,-7999000,-9751000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,-18150000,- -,- -,-1331000,- -,-3693000,- -,- -,-33856000,- -,-20823000,- -,-16667000,-3386000,-2968000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25700000,-18200000,-13500000,-7204000,- -,- -,-1174000,-1522000,-2089000,- -,-1385000,- -,-1500000,-512000,- -,- -,- -,-3000,- -,- -,-2976000,- -,- -,- -,-4000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18800000,18800000,16600000,10429000,2000000,1039000,- -,- -,- -,584000,- -,5586000,- -,- -,- -,805000,1000,- -,- -,- -,- -,2967000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,100000,- -,- -,2000000,- -,- -,2400000,- -,- -,-200000,- -,300000,- -,- -,- -,- -,- -,- -,530000,428000,1515000,-8290000,-10217000,-16373000,-18110000,-12594000,-7794000,-5498000,-7434000,-10435000,-10847000,-7704000,-9165000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-4700000,-5000000,-8200000,-2500000,-10300000,-8600000,-5800000,-4000000,-13200000,-8900000,-13100000,-7914000,-3139000,-22876000,-4872000,-9022000,-6609000,-6674000,-17374000,-21895000,-38056000,-42658000,-10217000,-36391000,-18109000,-29264000,-11180000,-8466000,-10410000,-7468000,-10847000,-7704000,-9169000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9806000,-25000000,-15000000,-5000000,-19000000,-15000000,-13912000,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,200000,200000,1100000,600000,47000,73000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-300000,- -,-300000,- -,-400000,-1700000,-400000,-530000,-786000,- -,- -,- -,- -,- -,- -,- -,- -,-638000,- -,- -,- -,- -,-4579000,- -,- -,- -,-2610000,-361000,-1245000
93,Dividends Paid,- -,- -,- -,- -,-3700000,-3700000,-3800000,-3900000,-4100000,-4200000,-4500000,-4600000,-4800000,-5000000,-5200000,-5322000,-5475000,-5550000,-5809000,-5907000,-5983000,-6126000,-6503000,-6682000,-6767000,-7024000,-7430000,-8188000,-8662000,-9715000,-10599000,-11218000,-12268000,-65551000,-14370000,-15394000,-16586000
94,Other Financing Activites,- -,- -,- -,- -,1700000,-1300000,500000,-5700000,4300000,3900000,3900000,-8400000,2900000,-5900000,2300000,906000,-4013000,-450000,-145000,- -,- -,- -,- -,- -,24806000,34393000,- -,17000000,6000000,18000000,- -,- -,- -,- -,-383000,-381000,-722000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-2000000,-5000000,-3300000,-9600000,-100000,-300000,-100000,-12800000,-2100000,-11500000,-2700000,-4899000,-10201000,-6000000,-5954000,-5907000,-5983000,-6126000,-6503000,-6682000,8233000,1731000,-22430000,3812000,-21662000,-6715000,-29090000,-11218000,-12268000,-65551000,-17363000,-16136000,-18553000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,361000,102000,-45000,992000,-1631000,800000,130000,-572000,-77000,389000,344000,-1180000,130000,1489000,-1413000,133000,326000,-725000
97,Net Change In Cash,- -,- -,- -,- -,-2000000,-5000000,-3300000,-9600000,-100000,-300000,-100000,-12800000,-2100000,1600000,1700000,3516000,12953000,-7497000,3186000,-70000,-9447000,5899000,11950000,-811000,20610000,-12174000,-12087000,-23000,11004000,-6632000,-767000,33880000,22076000,-33222000,34097000,27648000,16991000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,4100000,7630000,20583000,13086000,16272000,16202000,6755000,12654000,24604000,23793000,44403000,32229000,20142000,20119000,31123000,24491000,23724000,57604000,79680000,46458000,80555000,108203000,125194000
99,Cash at the Beginning of Period,- -,- -,- -,- -,3600000,3000000,3600000,3000000,3400000,2800000,3100000,3300000,4300000,800000,2400000,4114000,7630000,20583000,13086000,16272000,16202000,6755000,12654000,24604000,23793000,44403000,32229000,20142000,20119000,31123000,24491000,23724000,57604000,79680000,46458000,80555000,108203000
100,Free Cash Flow,- -,- -,- -,- -,1300000,5600000,2700000,8000000,-500000,500000,-2200000,13900000,5600000,12600000,1300000,4890000,23154000,15614000,10314000,6998000,-146000,11486000,22009000,1488000,11562000,28623000,9957000,16260000,29371000,15728000,32423000,46557000,35511000,30263000,51262000,43163000,35687000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/42682/000095015205002026/0000950152-05-002026-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015206001956/0000950152-06-001956-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015207001957/0000950152-07-001957-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015208001794/0000950152-08-001794-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095015209002236/0000950152-09-002236-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095012310021646/0000950123-10-021646-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000095012311022137/0000950123-11-022137-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312512096416/0001193125-12-096416-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312513089683/0001193125-13-089683-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312514091637/0001193125-14-091637-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312515083057/0001193125-15-083057-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312516501412/0001193125-16-501412-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312517069091/0001193125-17-069091-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312518055956/0001193125-18-055956-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312519062355/0001193125-19-062355-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000119312520058694/0001193125-20-058694-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000143774921004565/0001437749-21-004565-index.htm,https://www.sec.gov/Archives/edgar/data/42682/000143774922004547/0001437749-22-004547-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
