,https://roic.ai/company/RGS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19008000,16099000,16804000,11995000,131581000,5056000,- -,- -,500000,- -,- -,- -,- -
88,Other Investing Activites,- -,14900000,2700000,-4600000,-12700000,-2400000,-27700000,-10400000,- -,4400000,852000,682000,873000,1273000,432000,846000,-5270000,-34223000,-47259000,-73497000,-57015000,-70843000,-85267000,33559000,-49425000,-35583000,-17387000,-29591000,-1576000,87788000,61029000,-2099000
89,Cash Used for Investing Activites,- -,1100000,-10500000,-23900000,-28500000,-17700000,-53800000,-49800000,-80400000,-112900000,-146878000,-124707000,-125284000,-143067000,-173378000,-428818000,-280665000,-193049000,-266029000,-115511000,-44580000,-144330000,-90859000,165140000,-44384000,-35583000,-17387000,-29091000,-1576000,87788000,61029000,-2099000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6617704000,-691175000,-137671000,-501193000,-123423000,-7059000,-173751000,-2000,- -,-124230000,-378000,-126269000,-1313000
91,Common Stock Issued,- -,37800000,5800000,- -,8400000,100000,10900000,15000000,11700000,3700000,1494000,1987000,7750000,7051000,17347000,17257000,14410000,14310000,8893000,3894000,159498000,682000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1425000,- -,-7743000,-21694000,-22548000,-23117000,-20280000,-79710000,-49957000,- -,- -,- -,- -,-14868000,- -,-47888000,-101035000,- -,-24798000,-152661000,-28246000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,-1200000,-1700000,-2100000,-3600000,-5191000,-4935000,-5078000,-5202000,-6166000,-7149000,-7256000,-7169000,-6964000,-6912000,-9146000,-11509000,-13855000,-13708000,-6793000,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-48100000,-3300000,3700000,-1900000,-15100000,11400000,3000000,-1000000,40400000,71028000,27053000,39225000,-16416000,-5481000,255503000,41697000,66144000,37024000,6472415000,501690000,67000,471500000,5200000,118058000,- -,-760000,-6849000,86793000,26344000,210680000,9090000
95,Cash Used/Provided by Financing Activities,- -,-10300000,2500000,3700000,6500000,-15000000,21100000,16300000,8600000,40500000,65906000,24105000,34154000,-36261000,-16848000,242494000,28571000,-6425000,-11004000,-148307000,-39133000,-148431000,-43548000,-146799000,104206000,-221639000,-101797000,-6849000,-62235000,-126695000,56165000,7777000
96,Effect of Forex Changes on Cash,- -,-100000,- -,-100000,100000,-100000,- -,- -,-100000,-100000,123000,63000,1536000,2282000,2675000,-256000,3088000,7002000,-2508000,-9335000,823000,7975000,-3613000,1056000,914000,-3088000,-781000,935000,-514000,35000,-284000,477000
97,Net Change In Cash,- -,-10300000,2500000,3700000,6500000,-2200000,21100000,16300000,8600000,-300000,4535000,9770000,62445000,-27423000,18113000,29151000,32679000,49388000,-57158000,-85089000,109333000,-55608000,15680000,88545000,178139000,-166348000,-64933000,25050000,-61997000,-56396000,30501000,-93728000
98,Cash at the End of Period,- -,- -,- -,- -,- -,1300000,- -,- -,- -,7400000,14888000,24658000,87103000,59680000,73567000,102718000,135397000,184785000,127627000,42538000,151871000,96263000,111943000,200488000,378627000,212279000,147346000,172396000,110399000,92379000,122880000,29152000
99,Cash at the Beginning of Period,- -,2400000,5200000,3800000,2300000,3500000,1200000,7600000,8900000,7700000,10353000,14888000,24658000,87103000,55454000,73567000,102718000,135397000,184785000,127627000,42538000,151871000,96263000,111943000,200488000,378627000,212279000,147346000,172396000,148775000,92379000,122880000
100,Free Cash Flow,- -,-1700000,-6600000,-400000,7300000,15400000,10800000,-4500000,-12700000,-45100000,-62346000,-15080000,85807000,72163000,131588000,114634000,161771000,151781000,136584000,114490000,130738000,139719000,65344000,-36709000,67964000,55705000,23915000,26212000,-28414000,-49140000,-123903000,-111358000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/716643/000091205796020411/0000912057-96-020411-index.html,https://www.sec.gov/Archives/edgar/data/716643/000091205797031608/0000912057-97-031608-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746998034843/0001047469-98-034843-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746999036112/0001047469-99-036112-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/716643/000095013402011657/0000950134-02-011657-index.html,https://www.sec.gov/Archives/edgar/data/716643/000095013403012817/c79570e10vk.htm,https://www.sec.gov/Archives/edgar/data/716643/000095013404013482/0000950134-04-013482-index.html,https://www.sec.gov/Archives/edgar/data/716643/000110465905043564/a05-12089_110k.htm,https://www.sec.gov/Archives/edgar/data/716643/000110465906060350/a06-19055_110k.htm,https://www.sec.gov/Archives/edgar/data/716643/000110465907065959/0001104659-07-065959-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746908009787/0001047469-08-009787-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746909008042/0001047469-09-008042-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746910007759/0001047469-10-007759-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746911007692/0001047469-11-007692-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746912008600/0001047469-12-008600-index.html,https://www.sec.gov/Archives/edgar/data/716643/000104746913008674/0001047469-13-008674-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664314000018/0000716643-14-000018-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664315000025/0000716643-15-000025-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664316000086/0000716643-16-000086-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664317000032/0000716643-17-000032-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664318000041/0000716643-18-000041-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664319000042/0000716643-19-000042-index.html,https://www.sec.gov/Archives/edgar/data/716643/000071664320000042/0000716643-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/716643/000071664321000055/0000716643-21-000055-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
