,https://roic.ai/company/ABCP,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91000,153000,- -,- -,- -,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-5000000,-93000000,-10000000,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38000,- -,- -,-699000,-489000,-219000,-17000,- -,- -,-489000,-2475000,-525000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-7000000,-7000000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87511000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,742000000,-400000000,-201000000,-687000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000,- -,- -,- -,- -,3650000,2098000,-3202000,- -,- -
95,Cash Used/Provided by Financing Activities,730000000,-500000000,-213000000,-687000000,- -,400000,- -,- -,- -,- -,- -,91000,153000,- -,- -,-38000,17000,- -,-699000,-489000,-219000,-17000,- -,- -,-87430000,-2475000,-525000,- -,- -,3650000,-448000,-3202000,- -,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,180000000,198000000,1176000000,153000000,-373200000,-6200000,-20700000,-1286000,-2161000,-43000,-2662000,-240000,2198000,1286000,-1212000,-2133000,7339000,-7272000,-251000,293000,-227000,-952000,-381000,6281000,-3708000,3033000,-1641000,-1996000,-2717000,-516000,167000,2614000,5074000,-4922000
98,Cash at the End of Period,180000000,4716000000,1603000000,409000000,35800000,-5963000,15300000,7752000,5591000,5548000,2886000,2646000,4844000,6130000,4918000,2785000,10124000,2852000,2601000,2894000,2667000,1715000,1334000,7615000,3907000,6940000,5299000,3303000,586000,70000,237000,2851000,7925000,3003000
99,Cash at the Beginning of Period,- -,4518000000,427000000,256000000,409000000,237000,36000000,9038000,7752000,5591000,5548000,2886000,2646000,4844000,6130000,4918000,2785000,10124000,2852000,2601000,2894000,2667000,1715000,1334000,7615000,3907000,6940000,5299000,3303000,586000,70000,237000,2851000,7925000
100,Free Cash Flow,148000000,28000000,1076000000,-11000000,-381600000,6600000,-9200000,-6820000,-1622000,-4486000,-14892000,-6120000,2590000,-7074000,-23227000,-2196000,-1896000,-5144000,-4519000,-19116000,-4781000,-2349000,-1899000,-1735000,163256000,-2267000,-3087000,-2736000,-2980000,-4166000,-4295000,5816000,5074000,-4922000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063997000002/0000020639-97-000002-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063998000006/0000020639-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063999000005/0000020639-99-000005-index.html,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063901000003/0000020639-01-000003-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063902000003/0000020639-02-000003-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/20639/000002063908000005/0000020639-08-000005-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063909000004/0000020639-09-000004-index.html,https://www.sec.gov/Archives/edgar/data/20639/000002063910000004/0000020639-10-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063911000004/0000020639-11-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063912000020/0000020639-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063913000022/0000020639-13-000022-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063914000016/0000020639-14-000016-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063915000006/0000020639-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063916000044/0000020639-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063917000004/0000020639-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000002063918000018/0000020639-18-000018-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036119005745/0001140361-19-005745-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036120006793/0001140361-20-006793-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036121009786/0001140361-21-009786-index.htm,https://www.sec.gov/Archives/edgar/data/20639/000114036122011171/0001140361-22-011171-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
