,https://roic.ai/company/BRN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,2400000,-1600000,4100000,5800000,4300000,1900000,5700000,7400000,3000000,2700000,8194000,10158000,1448000,8515000,6148000,14213000,18129000,8792000,18440000,-3060000,7468000,13263000,11466000,3191000,5569000,-7132000,1770000,-2119000,-5091000,-2133000,750000,831000
84,CAPEX,- -,- -,- -,- -,- -,-4400000,-6500000,-3400000,-3300000,-5700000,-3900000,-6000000,-7500000,-8100000,-2800000,-6249000,-5458000,-5644000,-9816000,-12109000,-16715000,-25385000,-17997000,-17678000,-8753000,-5055000,-15313000,-6879000,-4122000,-3576000,-2542000,-1765000,-1188000,-11112000,-1831000,-3131000,-1523000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-271000,45000,- -,- -,- -,-5140000,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1982000,-3400000,- -,-5673000,-290000,- -,- -,- -,- -,- -,- -,- -,- -,-7139000,-3958000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,800000,- -,5200000,- -,- -,- -,- -,- -,- -,- -,379000,- -,- -,- -,1906000,3087000,1700000,525000,400000,- -,- -,- -,- -,- -,3297000,1145000,- -,2726000,7630000,741000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,23400000,-500000,300000,600000,100000,300000,700000,1000000,100000,300000,6673000,-4207000,2097000,2067000,13742000,3605000,16381000,5110000,5531000,-7340000,1766000,-11473000,-6277000,-3778000,10921000,8764000,10147000,7705000,2806000,347000,-833000,3686000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,19800000,-7000000,1200000,-2700000,-5600000,-3600000,-5300000,-6500000,-8000000,-2500000,803000,-9665000,-3547000,-7749000,1557000,-13423000,-7304000,-18035000,-12037000,-7611000,1811000,-11473000,-6277000,-3778000,9078000,9077000,9378000,2911000,-3884000,905000,-833000,3686000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1802000,-5104000,-2349000,-6550000,-1020000,-10541000,-7659000,-3440000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,100000,- -,100000,200000,- -,- -,- -,- -,- -,- -,- -,13000,- -,- -,218000,197000,- -,329000,241000,202000,- -,- -,370000,- -,- -,- -,- -,- -,- -,- -,- -,1000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1300000,-600000,-700000,-200000,- -,- -,- -,- -,-100000,- -,-93000,-20000,- -,- -,- -,- -,- -,-155000,-1892000,-97000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,-800000,-800000,-400000,- -,-400000,-200000,- -,- -,- -,- -,-1004000,-459000,-672000,- -,-1123000,-802000,-1430000,-2052000,-1858000,- -,- -,- -,-29000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,-13800000,2300000,-1900000,-4700000,- -,500000,200000,- -,3100000,100000,-4716000,-400000,-868000,-635000,-4041000,603000,-3095000,9153000,1005000,6276000,-307000,-340000,- -,701000,4510000,-1050000,-812000,-370000,-1070000,-110000,60000,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-15800000,900000,-2900000,-4700000,-400000,300000,200000,- -,3000000,100000,-5813000,-866000,-1540000,-635000,-4946000,-2000,-4525000,7275000,-2504000,4579000,-5411000,-2689000,-6209000,-319000,-6031000,-8709000,-4252000,-370000,-1070000,-110000,60000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,-100000,300000,- -,200000,- -,-100000,-100000,- -,-60000,-174000,-26000,28000,90000,207000,180000,103000,-388000,-647000,-73000,59000,31000,-111000,-340000,-869000,183000,309000,-271000,-14000,-6000,-14000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,3124000,-547000,-3665000,159000,2849000,995000,6480000,-1865000,3511000,-6739000,3795000,-840000,-989000,-1017000,8276000,-7633000,7079000,731000,-10316000,-1352000,-29000,6695000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,5701000,5154000,1489000,1648000,4497000,5492000,11972000,10107000,13618000,6879000,10674000,9834000,8845000,7828000,16104000,8471000,15550000,16281000,5965000,4613000,4584000,11279000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,6100000,12500000,4800000,7200000,5800000,4200000,3000000,3600000,4400000,2200000,2577000,5701000,5154000,1489000,1648000,4497000,5492000,11972000,10107000,13618000,6879000,10674000,9834000,8845000,7828000,16104000,8471000,15550000,16281000,5965000,4613000,4584000
100,Free Cash Flow,- -,- -,- -,- -,- -,-2000000,-8100000,700000,2500000,-1400000,-2000000,-300000,-100000,-5100000,-100000,1945000,4700000,-4196000,-1301000,-5961000,-2502000,-7256000,-9205000,762000,-11813000,2413000,-2050000,4587000,-931000,1993000,-9674000,5000,-3307000,-16203000,-3964000,-2381000,-692000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10048/000110465903029249/0001104659-03-029249-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465904040991/0001104659-04-040991-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465905062060/0001104659-05-062060-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465906083014/0001104659-06-083014-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465907090692/0001104659-07-090692-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465908077264/0001104659-08-077264-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465909070067/0001104659-09-070067-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465910062792/0001104659-10-062792-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465911069156/0001104659-11-069156-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465912083471/0001104659-12-083471-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465913090370/0001104659-13-090370-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000110465914087562/0001104659-14-087562-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004815000008/0000010048-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004816000021/0000010048-16-000021-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004817000011/0000010048-17-000011-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004818000021/0000010048-18-000021-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004819000022/0000010048-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004820000025/0000010048-20-000025-index.htm,https://www.sec.gov/Archives/edgar/data/10048/000001004821000026/0000010048-21-000026-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
