,https://roic.ai/company/JOB,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,- -,- -,-100000,-100000,- -,200000,-100000,- -,-100000,-100000,-100000,-300000,-300000,- -,- -,- -,- -,705000,- -,- -,- -,- -,- -,- -,- -,-50000,-154000,-225000,-225000,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,-300000,-300000,- -,200000,-100000,-100000,-200000,-300000,-4600000,-2000000,-1900000,-244000,2744000,276000,-126000,686000,-69000,-334000,-364000,-122000,-48000,- -,-284000,-511000,-345000,-371000,-2762000,-9515000,-25606000,-324000,-209000,-119000,-126000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-39000,-1280000,-598000,-558000,-21866000,-4776000,-845000,-2224000,-56022000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,700000,100000,300000,- -,- -,- -,35000,- -,13000,11000,- -,5000,10000,1925000,- -,5000,- -,- -,470000,7754000,- -,- -,- -,- -,- -,52415000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2931000,- -
93,Dividends Paid,- -,- -,- -,- -,-300000,- -,- -,- -,- -,- -,- -,-100000,-200000,-200000,-200000,-254000,-1272000,- -,- -,- -,- -,- -,-515000,-517000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-537000,- -,1938000,466000,1452000,702000,2020000,5946000,47507000,4021000,2290000,17540000,-764000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,300000,600000,-100000,100000,-200000,-254000,-1272000,35000,- -,13000,11000,- -,-510000,-507000,1388000,- -,1943000,466000,1413000,-108000,9176000,5388000,25641000,-755000,1445000,12385000,-4371000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,2211000,57000,-2534000,-854000,532000,799000,668000,440000,-2179000,-1355000,-1865000,-631000,50000,-3000,-193000,5764000,-3404000,257000,428000,842000,10019000,-4127000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,7236000,7293000,4759000,3905000,4437000,5236000,5904000,6344000,4165000,2810000,945000,314000,364000,361000,168000,5932000,2528000,2785000,3213000,4055000,14074000,9947000
99,Cash at the Beginning of Period,- -,- -,- -,- -,2000000,2300000,2300000,700000,900000,1000000,1800000,3200000,10100000,3200000,4500000,5025000,7236000,7293000,4759000,3905000,4437000,5236000,5904000,6344000,4165000,2810000,945000,314000,364000,361000,168000,5932000,2528000,2785000,3213000,4055000,14074000
100,Free Cash Flow,- -,- -,- -,- -,700000,100000,-1700000,- -,200000,900000,1100000,2300000,1900000,2900000,1900000,1126000,-1415000,-2862000,-835000,-186000,788000,668000,950000,-1672000,-2743000,-1865000,-2374000,-166000,-1262000,140000,-836000,603000,-28000,1183000,-603000,-2366000,244000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40570/000004057099000009/0000040570-99-000009-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057000000010/0000040570-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057001500014/0000040570-01-500014-index.html,https://www.sec.gov/Archives/edgar/data/40570/000004057002000019/0000040570-02-000019-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40570/000114036110001339/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000114036110051405/0001140361-10-051405-index.html,https://www.sec.gov/Archives/edgar/data/40570/000114036111059150/0001140361-11-059150-index.html,https://www.sec.gov/Archives/edgar/data/40570/000114036113014588/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000114036114001952/form10k.htm,https://www.sec.gov/Archives/edgar/data/40570/000119312514450897/0001193125-14-450897-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793215007812/0001477932-15-007812-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793216014233/0001477932-16-014233-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793217006297/0001477932-17-006297-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793218006156/0001477932-18-006156-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793219007284/0001477932-19-007284-index.html,https://www.sec.gov/Archives/edgar/data/40570/000147793220007544/0001477932-20-007544-index.htm,https://www.sec.gov/Archives/edgar/data/40570/000147793221009438/0001477932-21-009438-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
