,https://roic.ai/company/IONS,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2827000,-4354000,-5864000,-174137000,-11039000,-451981000,-9058000,-7066000,-3599000,- -,-131612000,- -,-318930000
91,Common Stock Issued,- -,65300000,100000,37600000,- -,- -,- -,- -,3900000,64300000,- -,210458000,8890000,1700000,4051000,49168000,86364000,11351000,102776000,13156000,4356000,3567000,9470000,173292000,- -,- -,12599000,255106000,475865000,119657000,52036000,11565000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-34392000,-90548000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,-800000,-1600000,2300000,3700000,50100000,23000000,36700000,11200000,-400000,122884000,26582000,120705000,40153000,8102000,-11567000,63099000,32299000,4809000,191672000,4694000,1625000,203797000,65471000,511569000,33784000,5861000,-22420000,- -,146368000,-558097000,553298000
95,Cash Used/Provided by Financing Activities,- -,64500000,-1500000,39900000,3700000,50100000,23000000,36700000,15100000,63900000,122884000,237040000,129595000,41853000,12153000,37601000,149463000,43650000,107585000,202001000,4696000,-672000,39130000,227724000,59588000,24726000,11394000,229087000,475865000,100021000,-596609000,245933000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,617000,-111000
97,Net Change In Cash,- -,64500000,-1500000,39900000,3700000,50100000,23000000,36700000,15100000,7700000,4319000,87396000,-25155000,-68739000,-5867000,-23600000,63629000,24100000,85371000,-118730000,-35203000,-4575000,59005000,35491000,-16975000,-14201000,-44112000,44945000,149190000,404467000,-285623000,471527000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,35300000,39615000,127011000,101856000,33117000,27250000,3650000,114514000,138614000,223985000,105255000,70052000,65477000,124482000,159973000,142998000,128797000,84685000,129630000,278820000,683287000,397664000,869191000
99,Cash at the Beginning of Period,- -,1800000,21200000,16500000,33700000,12900000,46500000,37100000,38100000,27600000,35296000,39615000,127011000,101856000,33117000,27250000,50885000,114514000,138614000,223985000,105255000,70052000,65477000,124482000,159973000,142998000,128797000,84685000,129630000,278820000,683287000,397664000
100,Free Cash Flow,- -,-4400000,-21500000,-20500000,-16100000,-16200000,-22100000,-24100000,-39100000,-53200000,-24835000,-15445000,-131215000,-103028000,-105277000,-62163000,-55781000,31084000,194964000,-124735000,-81149000,-125799000,-3294000,58131000,-4819000,9377000,-123633000,136292000,585236000,309438000,-5156000,12898000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/874015/000091205702013013/0000912057-02-013013-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746903011306/0001047469-03-011306-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746904007808/0001047469-04-007808-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746905006784/0001047469-05-006784-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465906017279/0001104659-06-017279-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465907019915/0001104659-07-019915-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000104746908002693/0001047469-08-002693-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465909012215/0001104659-09-012215-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465910010939/0001104659-10-010939-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465911011094/0001104659-11-011094-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465912014567/0001104659-12-014567-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465913016208/0001104659-13-016208-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000110465914015019/0001104659-14-015019-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036115009498/0001140361-15-009498-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401516000112/0000874015-16-000112-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036117009823/0001140361-17-009823-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401518000047/0000874015-18-000047-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401519000045/0000874015-19-000045-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000114036120004500/0001140361-20-004500-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401521000056/0000874015-21-000056-index.htm,https://www.sec.gov/Archives/edgar/data/874015/000087401522000079/0000874015-22-000079-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
