,https://roic.ai/company/UEIC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2600000,-700000,-3500000,- -,- -,-4428771,-5273611,-963168,-6695130,-6110000,-2589000,-14519000,-26689000,-7747000,-10145000,-9785000,-3451000,-3607000,-16168000,-89395000,-12647000,-39085000,-13824000,-1928000,-17678000,-59664000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1800000,5400000,-8900000,11500000,-5400000,-2900000,4000000,-2400000,-4786293,-60910,-50421,-73531,-41414,- -,- -,275000,3320000,344000,3525000,43254000,6316000,33073000,33145000,8122000,88753000,156188000,158442000,65006000,68697000,74714000,113638000
95,Cash Used/Provided by Financing Activities,1800000,7700000,42400000,11700000,-5300000,-5400000,3600000,-4400000,-1750072,531165,-2729640,-4012892,2338166,-4810000,-3246000,5183000,1398000,-25187000,-4222000,23275000,-26269000,-17578000,10038000,-8046000,-35142000,-4446000,50370000,-53318000,-39231000,-65964000,-22026000
96,Effect of Forex Changes on Cash,- -,- -,-100000,100000,- -,- -,- -,- -,-115025,283500,-187544,-1933625,-348128,1367577,-5677000,5107000,5383000,-8917000,104000,-986000,1286000,859000,2523000,-661000,-2858000,-4937000,-1104000,2756000,-963000,-843000,2444000
97,Net Change In Cash,1800000,7700000,42400000,11700000,-5300000,-5400000,3600000,-4400000,11797547,7522497,13461687,3893792,40417032,-16009477,1169000,22434000,20535000,-11372000,-46222000,25233000,-24877000,15221000,31581000,36347000,-59555000,-2355000,11827000,-14132000,21095000,-17149000,3660000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,13286219,20808716,34270403,18064195,58481227,42471750,43641000,66075000,86610000,75238000,29016000,54249000,29372000,44593000,76174000,112521000,52966000,50611000,62438000,53207000,74302000,57153000,60813000
99,Cash at the Beginning of Period,800000,200000,300000,6200000,1400000,900000,500000,1100000,1488672,13286219,20808716,14170403,18064195,58481227,42472000,43641000,66075000,86610000,75238000,29016000,54249000,29372000,44593000,76174000,112521000,52966000,50611000,67339000,53207000,74302000,57153000
100,Free Cash Flow,-2400000,-7300000,-36000000,-15900000,4700000,5000000,-2900000,4100000,17475692,8688495,19576132,14055203,16774617,1333320,10992000,12144000,13754000,22732000,16644000,27831000,106000,31940000,19020000,45054000,-9290000,6980000,-28545000,-9808000,61289000,50158000,23242000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/101984/000095015299002950/0000950152-99-002950-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015000000259/0000950150-00-000259-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015001000099/0000950150-01-000099-index.html,https://www.sec.gov/Archives/edgar/data/101984/000095015002000294/0000950150-02-000294-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095015003000380/0000950150-03-000380-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095015004000338/0000950150-04-000338-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256905000144/0000892569-05-000144-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095013706003127/0000950137-06-003127-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256907000250/0000892569-07-000250-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000089256908000295/0000892569-08-000295-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095013409005306/0000950134-09-005306-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095012310024580/0000950123-10-024580-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000095012311025838/0000950123-11-025838-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000119312512114613/0001193125-12-114613-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000144530513000608/0001445305-13-000608-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198414000014/0000101984-14-000014-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198415000011/0000101984-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198416000062/0000101984-16-000062-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198417000007/0000101984-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198418000008/0000101984-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198419000012/0000101984-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198420000009/0000101984-20-000009-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198421000009/0000101984-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/101984/000010198422000011/0000101984-22-000011-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
