,https://roic.ai/company/BRO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,-1400000,17800000,-10800000,7900000,-2800000,-2862000,1608000,11954000,4959000,6952000,-736000,18251000,9201000,53815000,17102000,62404000,4377000,-3561000,533000,-5992000,-1819000,28246000,-2807000,31854000,66804000,45113000,34748000,96258000,64178000,163049000,166458000,266529000,179395000
81,Other Working Capital,- -,- -,- -,- -,-8800000,-7200000,300000,-5100000,2700000,7969000,10704000,5726000,14882000,3080000,-6577000,4282000,-50091000,34542000,41950000,174856000,36949000,57539000,31259000,389000,134746000,182652000,226507000,191731000,21159000,300955000,208842000,315580000,254682000,384325000,449441000,603897000,34244000
82,Other Non-Cash Items,- -,- -,- -,- -,1900000,5800000,-10500000,14900000,11500000,-13031000,-622000,8664000,-3766000,15410000,10834000,-12625000,47803000,-96922000,-9048000,-131442000,145159000,-32429000,-8530000,113555000,-164372000,-7119000,-78988000,-56488000,202567000,-232241000,114123000,-130952000,66651000,-64274000,26458000,-123783000,15793000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,1100000,9000000,-2300000,6100000,20900000,10654000,21208000,28621000,33027000,36313000,39728000,44071000,69938000,93311000,142725000,170203000,215088000,225214000,215340000,341753000,221585000,296052000,237531000,220315000,389374000,385019000,411848000,375158000,441975000,567529000,678180000,721647000,942469000
84,CAPEX,- -,- -,- -,- -,-300000,-1500000,-1300000,-1200000,-1800000,-2392000,-5321000,-4630000,-2713000,-4510000,-4936000,-4102000,-11017000,-7275000,-15946000,-10152000,-13426000,-14979000,-30643000,-14115000,-11310000,-10454000,-13608000,-24028000,-16366000,-24923000,-18375000,-17765000,-24192000,-41520000,-73108000,-70700000,-45045000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1382000,-6005000,-12254000,-3067000,-29608000,-18154000,-18226000,-131039000,-120926000,-100270000,-202664000,-262181000,-143737000,-212303000,-263400000,-44682000,-157637000,-166055000,-425054000,-367712000,-696486000,-136000000,-122622000,-41471000,-923874000,-353043000,-694842000,-366780000
86,Purchases of Investments,- -,- -,- -,- -,-4900000,-2200000,-3400000,-700000,-100000,-187000,-1208000,-881000,-253000,-1146000,-124000,-73000,-3006000,-111000,- -,-3142000,-299000,-211000,-2695000,-13774000,-11570000,-9285000,-12698000,-11167000,-18102000,-17813000,-22766000,-25872000,-10665000,-9284000,-17520000,-14168000,-12375000
87,Sales/Maturities of Investments,- -,- -,- -,- -,6000000,2600000,5100000,4000000,- -,2346000,642000,1118000,557000,1030000,627000,494000,5605000,122000,106000,1107000,896000,119000,21715000,9756000,10828000,9327000,12950000,10654000,15662000,18278000,21928000,18890000,9644000,17923000,8494000,11025000,10785000
88,Other Investing Activites,- -,- -,- -,- -,-1700000,-1100000,-1300000,-4600000,-1800000,1284000,1469000,984000,452000,220000,647000,1283000,1619000,4923000,4975000,6330000,2362000,1399000,6713000,4600000,1305000,1558000,3686000,14095000,5886000,13631000,10576000,4957000,4094000,4984000,21592000,9615000,16735000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-900000,-2200000,-900000,-2500000,-3700000,-331000,-10423000,-15663000,-5024000,-34014000,-21940000,-20624000,-137838000,-123267000,-111135000,-208521000,-272648000,-157409000,-217213000,-276933000,-55429000,-166491000,-175725000,-435500000,-380632000,-707313000,-144637000,-142412000,-62590000,-951771000,-413585000,-759070000,-396680000
90,Debt Repayment,- -,- -,- -,- -,-2400000,-1900000,-5900000,-3900000,-11000000,-11873000,-2132000,-4223000,-2611000,-7811000,-17106000,-4064000,-33297000,-23722000,-28024000,-68606000,-66117000,-127432000,-55462000,-22522000,-29479000,-19425000,-102072000,-101227000,-31956000,-805000000,-45625000,-73125000,-96750000,-370000000,-400000000,-405000000,-73125000
91,Common Stock Issued,- -,- -,- -,- -,300000,600000,600000,600000,700000,1742000,106000,- -,1044000,1845000,1664000,1746000,2844000,159579000,7136000,8107000,9717000,11274000,11320000,10914000,10144000,11119000,8667000,13305000,12445000,14808000,15890000,15983000,17422000,19432000,24999000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-100000,-100000,- -,- -,- -,-55000,- -,-1054000,-5860000,-9233000,-1152000,-5535000,- -,-10142000,-2334000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75025000,-163750000,-18908000,-128639000,-91250000,-58671000,-55095000,-82564000
93,Dividends Paid,- -,- -,- -,- -,-1500000,-1600000,-1600000,-2000000,-3000000,-3542000,-4149000,-4245000,-4636000,-5494000,-6237000,-7525000,-11839000,-16183000,-19492000,-20003000,-23566000000,-29341000,-35125000,-40207000,-42896000,-44496000,-46494000,-49534000,-53546000,-59334000,-64108000,-70262000,-77712000,-84690000,-91344000,-100592000,-107229000
94,Other Financing Activites,- -,- -,- -,- -,1800000,4000000,10000000,1500000,4100000,55000,555000,- -,- -,12000000,-323000,-713000,89213000,-4377000,- -,250000000,23592434000,65604000,30884000,27318000,14631000,-888000,91414000,286157000,47446000,1513941000,-36246000,-14208000,-50901000,864258000,445800000,907050000,-80961000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-1900000,1000000,3100000,-3800000,-9200000,-13673000,-5620000,-9522000,-12063000,-8693000,-23154000,-16091000,46921000,105155000,-42714000,169498000,-29966000,-79895000,-48383000,-24497000,-47600000,-53690000,-48485000,148701000,-25611000,589390000,-293839000,-160520000,-336580000,337750000,-79216000,346363000,-343879000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3569000
97,Net Change In Cash,- -,- -,- -,- -,-1900000,1000000,3100000,-3800000,-9200000,-3350000,5165000,3436000,15940000,-6394000,-5366000,7356000,-20979000,75199000,-11124000,131180000,-87526000,-12090000,-50256000,40323000,118556000,75871000,13321000,-66484000,-16869000,267096000,-26628000,72226000,42805000,-46492000,185379000,308940000,198341000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,22995000,28350000,31786000,47726000,42174000,37459000,31313000,16048000,91247000,56926000,188106000,100580000,88490000,38234000,78557000,197113000,272984000,286305000,219821000,202952000,470048000,443420000,515646000,824088000,777596000,962975000,1271915000,1470256000
99,Cash at the Beginning of Period,- -,- -,- -,- -,1800000,200000,8100000,7900000,18400000,26345000,23185000,28350000,31786000,48568000,42825000,23957000,37027000,16048000,68050000,56926000,188106000,100580000,88490000,38234000,78557000,197113000,272984000,286305000,219821000,202952000,470048000,443420000,781283000,824088000,777596000,962975000,1271915000
100,Free Cash Flow,- -,- -,- -,- -,800000,7500000,-3600000,4900000,19100000,8262000,15887000,23991000,30314000,31803000,34792000,39969000,58921000,86036000,126779000,160051000,201662000,210235000,184697000,327638000,210275000,285598000,223923000,196287000,373008000,360096000,393473000,357393000,417783000,526009000,605072000,650947000,897424000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000095014496001042/0000950144-96-001042-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000007928299000007/0000079282-99-000007-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/79282/000007928203000021/0000079282-03-000021-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000114544304000325/0001145443-04-000325-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000114544305000591/0001145443-05-000591-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811206000715/0001188112-06-000715-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811207000553/0001188112-07-000553-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000118811208000632/0001188112-08-000632-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312509042336/0001193125-09-042336-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312510044577/0001193125-10-044577-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312511051929/0001193125-11-051929-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312512089393/0001193125-12-089393-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312513087664/0001193125-13-087664-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312514077842/0001193125-14-077842-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000119312515070864/0001193125-15-070864-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928216000034/0000079282-16-000034-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928217000006/0000079282-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928218000006/0000079282-18-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000007928219000006/0000079282-19-000006-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459020006075/0001564590-20-006075-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000156459021007624/0001564590-21-007624-index.htm,https://www.sec.gov/Archives/edgar/data/79282/000095017022001654/0000950170-22-001654-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
