,https://roic.ai/company/WMK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,36700000,- -,28200000,45500000,44100000,24700000,27200000,29600000,-7700000,-14300000,-28000000,8300000,18000000,-7700000,15100000,-394600000,12600000,47400000,-24400000,25769000,-16169000,9900000,1600000,14100000,60300000,-13441000,9841000,-18300000,12276000,8946000,-25022000,1272000,-7063000,14445000,63579000,4126000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7400000,-900000,-200000,-100000,-2000000,9600000,-1400000,656000,-3930000,-2930000,- -,-1365000,-5960000,1434000,-8066000,-1272000,-1664000,2569000,-10512000,-13588000,-17127000,-5096000,9598000,-5874000,2431000,-6804000,2727000
79,Inventory,- -,- -,- -,- -,-3600000,-2400000,-4600000,-4500000,-14200000,-18200000,-1700000,-27600000,-2500000,2900000,-8200000,-1400000,-1500000,-12880000,9280000,8508000,-14338000,-10086000,-4264000,6299000,-27780000,-8006000,4830000,-17936000,4791000,811000,10242000,-38102000,-2726000,-1247000,950000,10782000,-563000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7441000,37472000,297000,2119000,-5045000,9546000,15894000,14403000,46131000,7742000,-18583000,-505000,54658000,174000
81,Other Working Capital,277200000,313900000,- -,342100000,387600000,431700000,456400000,483600000,513200000,505500000,491200000,463200000,471500000,489500000,481800000,496900000,102300000,114900000,162300000,137900000,163669000,147500000,157400000,159000000,173100000,233400000,219959000,229800000,211500000,223776000,232722000,207700000,208972000,201909000,216354000,279933000,1788000
82,Other Non-Cash Items,-75600000,-118600000,- -,-130400000,-54300000,-52700000,-32600000,-42200000,-27400000,17500000,-1400000,11800000,-33200000,-31500000,-6600000,-16700000,406000000,-9300000,-46000000,32300000,-32147000,14269000,-29000000,7700000,-12800000,-75200000,30883000,-34641000,20500000,-6336000,-1445000,6888000,6039000,-2397000,-10213000,-9533000,-383000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,101600000,102500000,98800000,83300000,104100000,119400000,96800000,103700000,95500000,115600000,111900000,125600000,113900000,106500000,105900000,118200000,104304000,99300000,85400000,115300000,118900000,146700000,152409000,124000000,142600000,123110000,136733000,151593000,159147000,150263000,171686000,277990000,227709000
84,CAPEX,- -,- -,- -,- -,-38500000,-23200000,-38200000,-32000000,-49200000,-49400000,-76000000,-97100000,-64700000,-80600000,-86700000,-69700000,-48100000,-46056000,-35928000,-82766000,-55468000,-99975000,-64233000,-66958000,-45249000,-69869000,-110638000,-109774000,-128055000,-79177000,-90210000,-144712000,-95857000,-95696000,-101456000,-130991000,-152008000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35802000,- -,- -,-6116000,- -,- -,- -,-63632000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-37700000,-35400000,-17200000,-11200000,-9400000,-15600000,- -,- -,- -,- -,- -,- -,- -,-21754000,-55789000,-64900000,-8248000,-33020000,- -,- -,- -,-12245000,-81885000,-13790000,-12635000,-20118000,-31329000,-42933000,-12612000,-5627000,-13620000,-50789000,-118254000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,24639000,- -,1150000,4050000,3201000,63901000,8442000,6550000,5985000,7730000,19680000
88,Other Investing Activites,- -,- -,- -,- -,3900000,- -,-200000,600000,-6000000,-19100000,38500000,45300000,17000000,10900000,16700000,-12700000,380900000,16710000,17217000,75566000,291000,24495000,25133000,1158000,3051000,8614000,2097000,22080000,32740000,9434000,8493000,642000,3745000,1935000,-178000,-845000,5724000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-72300000,-58600000,-55600000,-42600000,-64600000,-84100000,-37500000,-51800000,-47700000,-69700000,-70000000,-82400000,332800000,-51100000,-74500000,-72100000,-62425000,-108500000,-39100000,-65800000,-78000000,-73500000,-165787000,-107600000,-106800000,-85811000,-109845000,-186734000,-96282000,-92838000,-109269000,-174895000,-244650000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29488000,-34988000,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,200000,100000,200000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,252000,89000,228000,172000,224000,1235000,119000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3800000,-17100000,-14900000,-10000000,-1100000,-8100000,-25600000,-15100000,-8200000,-600000,-2300000,-200000,-434600000,-400000,-1900000,-3800000,-715000,-1100000,-1400000,-100000,-2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-25400000,-27000000,-28500000,-29900000,-30700000,-32300000,-34500000,-37200000,-39300000,-40900000,-42500000,-44200000,-37200000,-29400000,-29900000,-57400000,-30270000,-31300000,-31300000,-31300000,-31200000,-31200000,-58370000,-32300000,-32300000,-32278000,-32278000,-32278000,-32278000,-32546000,-33354000,-33354000,-33623000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,25000000,-152000,-89000,-328000,- -,-324000,-1235000,-19000,- -,- -,- -,- -,- -,- -,- -,64476000,- -,- -,- -,- -,- -
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-29000000,-44000000,-43200000,-39900000,-31700000,-40300000,-60100000,-52300000,-47500000,-41500000,-44800000,-44400000,-446800000,-54700000,-31800000,-61300000,-30813000,-32500000,-32700000,-31300000,-33200000,-31200000,-58370000,-32300000,-32300000,-32278000,-32278000,32198000,-61766000,-67534000,-33354000,-33354000,-33623000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-700000,-400000,300000,4300000,-2900000,-1200000,-100000,700000,-500000,-15100000,11066000,-41800000,13600000,18200000,7700000,42100000,-71748000,-16000000,3600000,5021000,-5390000,-2943000,1099000,-10109000,29063000,69741000,-50564000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3300000,2900000,3200000,7400000,4500000,3400000,3300000,4000000,3400000,-11600000,69300000,27500000,41100000,59400000,67100000,109200000,37392000,21400000,25000000,23021000,17596000,14653000,15752000,37808000,66871000,136612000,86048000
99,Cash at the Beginning of Period,- -,- -,- -,- -,300000,600000,600000,500000,1300000,9100000,4000000,3300000,2900000,3100000,7400000,4600000,3400000,3300000,3900000,3500000,58234000,69300000,27500000,41200000,59400000,67100000,109140000,37400000,21400000,18000000,22986000,17596000,14653000,47917000,37808000,66871000,136612000
100,Free Cash Flow,- -,- -,- -,- -,63100000,79300000,60600000,51300000,54900000,70000000,20800000,6600000,30800000,35000000,25200000,55900000,65800000,59700000,70000000,35400000,48836000,-700000,21200000,47900000,73500000,76800000,41771000,13800000,13600000,42454000,43874000,6881000,59725000,51027000,68741000,146999000,75701000
101,SEC Link,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/105418/000010541897000003/0000105418-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541898000006/0000105418-98-000006-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541899000004/0000105418-99-000004-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541800000003/0000105418-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541801500010/0000105418-01-500010-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541802000015/0000105418-02-000015-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541803000016/0000105418-03-000016-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541804000016/0000105418-04-000016-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541805000011/0000105418-05-000011-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541806000013/wmk10k2005.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541807000011/wmk10k2006.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541808000013/wmk10k2007.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541809000014/0000105418-09-000014-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541810000012/0000105418-10-000012-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541811000006/wmk10k2010_10k.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541812000005/0000105418-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541813000008/0000105418-13-000008-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541814000018/wmk10k2013_10k.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541815000009/wmk10k2014_10k.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541816000069/0000105418-16-000069-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541817000007/0000105418-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541818000006/0000105418-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541819000010/0000105418-19-000010-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541820000007/0000105418-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/105418/000010541821000015/0000105418-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/105418/000010541822000009/0000105418-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
