,https://roic.ai/company/COST,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
74,Depreciation and Amortization,- -,- -,- -,- -,19500000,27400000,40600000,54000000,112100000,143700000,142000000,161600000,182300000,196300000,224800000,254397000,301297000,341781000,391302000,440721000,477868000,515285000,566385000,653082000,728000000,795000000,855000000,908000000,946000000,1029000000,1127000000,1255000000,1370000000,1437000000,1492000000,1645000000,1781000000
75,Deferred Income Tax,- -,- -,- -,- -,-3200000,600000,4700000,1200000,11000000,-41600000,-3600000,-4500000,-4300000,20400000,-22700000,8264000,40797000,12179000,68693000,32496000,-64690000,-38311000,-92739000,21288000,70000000,7000000,84000000,-3000000,7000000,-63000000,-101000000,269000000,-29000000,-49000000,147000000,104000000,59000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000000,190000000,207000000,241000000,285000000,327000000,394000000,459000000,514000000,544000000,595000000,619000000,665000000
77,Change in Working Capital,- -,- -,- -,- -,-6000000,-92800000,182800000,-200200000,161100000,-243700000,117000000,43000000,99000000,274000000,18000000,-521000000,-164000000,421000000,526431000,398118000,378915000,-1064573000,329509000,-154520000,468120000,589000000,11000000,-390000000,1317000000,593000000,-2417000000,-1116000000,179000000,541000000,-115000000,3028000000,-3212000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,-49900000,-6200000,-33200000,-43500000,-137900000,-271300000,-160100000,-82400000,-189300000,-255100000,-286900000,-280380000,-271355000,-380158000,-162759000,-256438000,-315793000,-500602000,-272513000,-191792000,-394000000,-213000000,-642000000,-490000000,-898000000,-563000000,-890000000,-25000000,-894000000,-1313000000,-536000000,-791000000,-1892000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,445000000,804000000,338000000,718000000,529000000,880000000,-1532000000,2258000000,1561000000,322000000,2261000000,1838000000
81,Other Working Capital,- -,- -,- -,- -,79800000,-13000000,169800000,-30400000,130700000,-113000000,4000000,47000000,146000000,420000000,438000000,-83000000,-247000000,174000000,700431000,1098549000,1477464000,412891000,742400000,587880000,1056000000,1645000000,1656000000,1266000000,2583000000,3176000000,759000000,-357000000,-178000000,363000000,248000000,3276000000,64000000
82,Other Non-Cash Items,- -,- -,- -,- -,-4400000,65400000,-124800000,171000000,-211600000,501800000,-110800000,-22500000,1000000,-212900000,323500000,697260000,252380000,-456700000,-200218000,345055000,-72008000,1311674000,190477000,373598000,-441120000,-104000000,579000000,592000000,-1157000000,40000000,2905000000,75000000,2013000000,167000000,578000000,-537000000,4658000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,122900000,126000000,237400000,155100000,295800000,247800000,278400000,426400000,590200000,737600000,940900000,1070358000,1032563000,1018243000,1507208000,2098783000,1783177000,1827290000,2076404000,2176173000,2092000000,2780000000,3198000000,3057000000,3437000000,3984000000,4285000000,3292000000,6726000000,5774000000,6356000000,8861000000,8958000000
84,CAPEX,- -,- -,- -,- -,-160200000,-161700000,-257000000,-434300000,-533000000,-474600000,-530600000,-506800000,-553400000,-571900000,-787900000,-1228421000,-1447549000,-1038605000,-810665000,-705620000,-995431000,-1212567000,-1385699000,-1598571000,-1250000000,-1055000000,-1290000000,-1480000000,-2083000000,-1993000000,-2393000000,-2649000000,-2502000000,-2969000000,-2998000000,-2810000000,-3588000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165000000,- -,- -,- -,- -,- -,- -,- -,- -,-1163000000,- -
86,Purchases of Investments,- -,- -,- -,- -,-842100000,-1383100000,-5935800000,-7566300000,- -,- -,- -,- -,- -,-75500000,-181100000,- -,- -,- -,- -,-303945000,-3741429000,-2613355000,-1160663000,-1506776000,-1812000000,-2693000000,-3276000000,-2048000000,-2572000000,-2503000000,-1501000000,-1432000000,-1279000000,-1060000000,-1094000000,-1626000000,-1331000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,990200000,1478600000,5684700000,7772300000,31000000,80800000,9300000,- -,- -,- -,- -,208959000,41599000,4928000,- -,- -,2668888000,2687791000,1913923000,1725924000,1963000000,1737000000,3216000000,2303000000,2385000000,2406000000,1434000000,1709000000,1385000000,1078000000,1231000000,1678000000,1446000000
88,Other Investing Activites,- -,- -,- -,- -,-44100000,-5600000,-32800000,133300000,51900000,-65900000,-15200000,-36400000,10200000,38000000,15100000,-26202000,66107000,-138000,20077000,-38916000,9243000,-15429000,-22871000,-336969000,-2000000,-4000000,5000000,-11000000,19000000,-3000000,-20000000,27000000,30000000,4000000,-4000000,30000000,-62000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-56200000,-71800000,-540900000,-95000000,-450100000,-459700000,-536500000,-543200000,-543200000,-609400000,-953900000,-1045664000,-1339843000,-1033815000,-790588000,-1048481000,-2058729000,-1153560000,-655310000,-1716392000,-1101000000,-2015000000,-1180000000,-1236000000,-2251000000,-2093000000,-2480000000,-2345000000,-2366000000,-2947000000,-2865000000,-3891000000,-3535000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1805000000,-157000000,-619000000,-1014000000,-287000000,-103000000,-51000000,-1394000000,-2436000000,-86000000,-89000000,-3200000000,-94000000
91,Common Stock Issued,- -,- -,- -,- -,13300000,8100000,21100000,8500000,13500000,11400000,4100000,17900000,62000000,74100000,61900000,98828000,62000000,66771000,34667000,124744000,278253000,372336000,307988000,323632000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-52200000,-10900000,-93500000,-6500000,-500000,- -,- -,- -,- -,- -,-99946000,- -,- -,- -,- -,-413252000,-1442811000,-1977607000,-895307000,-69000000,-551000000,-624000000,-632000000,-36000000,-334000000,-481000000,-486000000,-469000000,-328000000,-247000000,-196000000,-496000000
93,Dividends Paid,- -,- -,- -,- -,-74600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-92137000,-204567000,-230211000,-245742000,-265029000,-296000000,-338000000,-389000000,-446000000,-3560000000,-584000000,-2865000000,-746000000,-3904000000,-689000000,-1038000000,-1479000000,-5748000000
94,Other Financing Activites,- -,- -,- -,- -,-100000,-18400000,294900000,17100000,21300000,135300000,244900000,155800000,-36900000,-7500000,23900000,59723000,332345000,151057000,-36095000,176962000,-179085000,67459000,1750729000,223709000,1731000000,327000000,355000000,-189000000,3927000000,235000000,1073000000,207000000,3591000000,-178000000,227000000,3728000000,-150000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-61400000,-62500000,305100000,-67900000,28300000,146200000,249000000,173700000,25100000,66600000,85800000,58605000,394345000,217828000,-1428000,209569000,-518651000,-1233227000,-164632000,-612995000,-439000000,-719000000,-1277000000,-2281000000,44000000,-786000000,-2324000000,-2419000000,-3218000000,-1281000000,-1147000000,-1147000000,-6488000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-900000,1100000,-600000,1300000,-8300000,5800000,620000,-8985000,677000,24729000,17825000,33653000,7851000,12332000,-7090000,-14000000,11000000,54000000,-21000000,-114000000,-11000000,-418000000,50000000,25000000,-37000000,-15000000,70000000,46000000
97,Net Change In Cash,- -,- -,- -,- -,-61400000,-62500000,305100000,-67900000,28300000,146200000,249000000,173700000,25100000,66600000,78600000,83919000,78080000,202933000,739921000,1277696000,-760550000,-551646000,1268794000,-160304000,538000000,57000000,795000000,-481000000,1116000000,1094000000,-937000000,-1422000000,1167000000,1509000000,2329000000,3893000000,-1019000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440600000,524505000,602585000,805518000,1545439000,2823135000,2062585000,1510939000,2779733000,2619429000,3157000000,3214000000,4009000000,3528000000,4644000000,5738000000,4801000000,3379000000,4546000000,6055000000,8384000000,12277000000,11258000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,-11800000,-6500000,-14800000,-13300000,232900000,120200000,53600000,45700000,102000000,175500000,362000000,440586000,524505000,602585000,805518000,1545439000,2823135000,2062585000,1510939000,2779733000,2619000000,3157000000,3214000000,4009000000,3528000000,4644000000,5738000000,4801000000,3379000000,4546000000,6055000000,8384000000,12277000000
100,Free Cash Flow,- -,- -,- -,- -,-37300000,-35700000,-19600000,-279200000,-237200000,-226800000,-252200000,-80400000,36800000,165700000,153000000,-158063000,-414986000,-20362000,696543000,1393163000,787746000,614723000,690705000,577602000,842000000,1725000000,1908000000,1577000000,1354000000,1991000000,1892000000,643000000,4224000000,2805000000,3358000000,6051000000,5370000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909832/000091205794003945/0000912057-94-003945-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/909832/000103221002001631/0001032210-02-001631-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312503085292/0001193125-03-085292-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312504195535/0001193125-04-195535-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312505223245/0001193125-05-223245-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312506238399/0001193125-06-238399-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312507225805/0001193125-07-225805-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312508211709/0001193125-08-211709-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312509208963/0001193125-09-208963-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312510230379/0001193125-10-230379-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312511271844/0001193125-11-271844-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000119312512428890/0001193125-12-428890-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000144530513002422/0001445305-13-002422-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983214000021/0000909832-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983215000014/0000909832-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983216000032/0000909832-16-000032-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983217000014/0000909832-17-000014-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983218000013/0000909832-18-000013-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983219000019/0000909832-19-000019-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983220000017/0000909832-20-000017-index.htm,https://www.sec.gov/Archives/edgar/data/909832/000090983221000014/0000909832-21-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
