,https://roic.ai/company/CDNS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,-3400000,-5600000,-9100000,-6200000,-22200000,-29600000,-31400000,-19300000,-15196000,-28338000,-62089000,- -,-92428000,-114433000,-119471000,-154311000,-127706000,- -,-82881000,-71656000,-76045000,-83795000,- -,-99678000,-42082000,-31421000,-35966000,-44929000,- -,-39810000,-53712000,-57901000,-61503000,-74605000,- -,-94813000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-352326000,-4503000,5165000,-43432000,- -,-182247000,-297128000,-65778000,-80725000,- -,-20931000,-14126000,-44052000,-66432000,-392825000,- -,-167121000,-41627000,-143249000,- -,-338000,- -,-197562000
86,Purchases of Investments,- -,- -,- -,-9100000,-8100000,- -,- -,-20500000,-60238000,-33205000,-7859000,- -,-261374000,-527425000,-49636000,-194789000,-10051000,- -,- -,-180975000,-3947000,-3214000,- -,-66833000,-2300000,-608000,-121404000,-111702000,- -,-124165000,-20525000,- -,-115839000,-33717000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,6900000,12000000,- -,69796000,43296000,- -,- -,165209000,597919000,7307000,124737000,49370000,- -,3274000,310221000,33691000,12791000,- -,60557000,4135000,19584000,22562000,122561000,- -,133081000,116298000,9941000,3497000,2952000,- -,217000
88,Other Investing Activites,- -,200000,-5700000,-10400000,-5800000,-17500000,-15800000,-18600000,-26140000,12621000,-15752000,- -,-6511000,-120333000,-59692000,57873000,-6818000,- -,-64121000,16841000,317000,46500000,- -,-2388000,3090000,- -,- -,- -,- -,- -,923000,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-3400000,-5400000,-14800000,-25700000,-36100000,-40200000,-35200000,-58400000,-31778000,-5626000,-85700000,- -,-195104000,-516598000,-225995000,-161325000,-138637000,- -,-325975000,-222697000,-111762000,-108443000,- -,-126885000,-50509000,-56497000,-201240000,-426895000,- -,-198015000,1357000,-191209000,-173845000,-105708000,- -,-292158000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-231000000,-2467000,-155842000,- -,-244639000,- -,-100001000,-65000000,-100000000,-388867000,-250000000,- -,-350000000
91,Common Stock Issued,- -,- -,- -,4500000,9000000,15300000,14600000,10800000,23837000,26500000,226749000,- -,54365000,81325000,117329000,99874000,77228000,- -,143008000,146481000,196048000,255462000,- -,48192000,28010000,19714000,32687000,42657000,- -,65913000,55440000,48965000,40908000,52842000,- -,74803000
92,Common Stock Repurchased,10100000,11300000,3300000,- -,-600000,-1800000,-10800000,-52200000,-105440000,-181116000,-128551000,- -,-105118000,-170831000,-232958000,-299036000,-181797000,- -,-213832000,-101070000,-624039000,-418618000,- -,-279064000,-5959000,- -,-15728000,-20140000,- -,-124844000,-997515000,-157186000,-319980000,-396728000,- -,-380064000
93,Dividends Paid,-300000,- -,-200000,- -,- -,-2300000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-1600000,- -,-3300000,-4600000,-5500000,-29000000,-13700000,-8100000,-29209000,-26542000,17087000,- -,-22921000,338179000,178835000,232068000,50469000,- -,220044000,159938000,194064000,-6910000,- -,18453000,1383000,-8676000,-1126000,105831000,- -,447897000,414378000,138074000,100000000,150000000,- -,239972000
95,Cash Used/Provided by Financing Activities,8200000,11300000,-200000,-100000,2900000,-17800000,-10500000,-49500000,-110812000,-181158000,115285000,- -,-73674000,248673000,63206000,32906000,-54100000,- -,149220000,205349000,-233927000,-170066000,- -,-443419000,20967000,-144804000,15833000,-116291000,- -,288965000,-592697000,-70147000,-567939000,-443886000,- -,-415289000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-2000000,-3400000,-400000,1781000,-456000,-5265000,- -,-7069000,-2104000,-5492000,-1403000,7553000,- -,18952000,3863000,-2500000,4649000,- -,5353000,4765000,5152000,-5832000,-14516000,- -,-11771000,-4993000,13471000,-17756000,-8094000,- -,25747000
97,Net Change In Cash,2100000,10700000,7500000,-100000,2900000,-17800000,-10500000,-49500000,13629000,9856000,199645000,- -,-77488000,-23958000,-26181000,121091000,165016000,- -,13198000,412798000,73027000,128578000,- -,-494665000,860000,44193000,124755000,-190097000,- -,395901000,-151454000,222855000,-154789000,171912000,- -,223222000
98,Cash at the End of Period,535398000,10700000,24100000,- -,- -,- -,- -,- -,75011000,84867000,284512000,- -,207024000,183066000,85220000,206311000,371327000,- -,384525000,861315000,934342000,1062920000,- -,568255000,569115000,601602000,726357000,536260000,- -,932161000,465232000,688087000,533298000,705210000,- -,928432000
99,Cash at the Beginning of Period,533298000,- -,16600000,28400000,42600000,71800000,87900000,79000000,61382000,75011000,84867000,- -,284512000,207024000,111401000,85220000,206311000,- -,371327000,448517000,861315000,934342000,- -,1062920000,568255000,557409000,601602000,726357000,- -,536260000,616686000,465232000,688087000,533298000,- -,705210000
100,Free Cash Flow,-6100000,-900000,13400000,32100000,29800000,46400000,11100000,71400000,139242000,168758000,113223000,- -,105931000,131638000,22629000,96602000,222494000,- -,88120000,354627000,345171000,318643000,- -,-29392000,-16445000,208921000,280028000,322676000,- -,276912000,391167000,412839000,543248000,654995000,- -,810109000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/813672/000089161803001237/0000891618-03-001237-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/813672/000095013404004613/0000950134-04-004613-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000095013406004749/0000950134-06-004749-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000089161807000106/0000891618-07-000106-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000095013408003361/0000950134-08-003361-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/813672/000089161809000064/0000891618-09-000064-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000095012310018407/0000950123-10-018407-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000119312512076117/0001193125-12-076117-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367213000007/0000813672-13-000007-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367214000008/0000813672-14-000008-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/813672/000081367215000008/0000813672-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367217000006/0000813672-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367218000008/0000813672-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367219000008/0000813672-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/813672/000081367220000007/0000813672-20-000007-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/813672/000081367221000009/0000813672-21-000009-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
