,https://roic.ai/company/DGII,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10086848,-13350865,- -,-1961000,-53693000,-16096000,-781000,-31853000,-2986000,- -,-3000000,- -,-12919000,- -,- -,-11000,-27111000,-54258000,- -,-136098000,-19108000
86,Purchases of Investments,- -,- -,-3100000,-5100000,-58400000,-41300000,-31200000,-29600000,-11100000,- -,- -,-20600000,-82967136,-90462052,-54986786,-61301219,-129983000,-48943000,-48881000,-92742000,-69196000,-30489000,-38538000,-61506000,-72669000,-67159000,-27420000,-54427000,-74759000,-61964000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,5100000,27200000,41900000,41500000,25000000,33700000,- -,- -,7000000,76531426,84807237,56130987,45557157,108249000,73898000,42858000,66757000,77857000,62624000,29335000,44843000,65668000,63225000,47420000,38028000,73719000,87105000,32032000,4750000,- -,- -
88,Other Investing Activites,- -,- -,100000,-5000000,-200000,- -,-2600000,-5400000,1200000,-6500000,-2000000,900000,- -,- -,8058932,-2018157,- -,- -,247000,950000,5247000,10000,-2989000,- -,- -,- -,- -,1445000,- -,- -,731000,10096000,- -,- -
89,Cash Used for Investing Activites,- -,- -,-5300000,-7200000,-32600000,-3600000,3800000,-19600000,10900000,-15300000,-35200000,-17500000,-8979881,-17367239,-5465080,-19453436,-24988000,-30067000,-23203000,-28715000,-22370000,25286000,-15167000,-22399000,-10954000,-19739000,16579000,-19454000,-3780000,-3743000,-23337000,5511000,-136997000,-21365000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-336000,-9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-55893000,-15624000
91,Common Stock Issued,- -,- -,9500000,22400000,100000,1300000,800000,1100000,1700000,1100000,2800000,3000000,1518578,776412,714381,884151,9255000,6321000,5322000,4559000,2717000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73830000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-11200000,-5900000,-7000000,- -,-200000,-800000,- -,- -,- -,-8554833,- -,- -,- -,- -,-5104000,-6576000,- -,- -,- -,-14058000,-15702000,-2339000,-550000,-938000,-748000,-1071000,-1791000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,2000000,-6000000,-1367581,-2392313,-2529305,-4804545,-2149000,-1426000,236000,252000,-177000,1485000,2613000,4639000,2311000,3268000,4742000,7484000,8299000,3995000,6575000,2184000,121287000,4036000
95,Cash Used/Provided by Financing Activities,- -,- -,9500000,22400000,100000,1300000,-10400000,-4800000,-5400000,1100000,4600000,-3800000,150997,-1615901,-1814924,-12475227,7106000,4895000,5558000,4811000,-2564000,-5427000,2604000,4639000,2311000,-10790000,-10960000,5145000,7749000,3057000,5827000,1113000,63603000,62242000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-800000,-1400000,-712454,71662,88911,-120502,861000,578000,-107000,226000,-3335000,-1287000,-1023000,-338000,-922000,-145000,-1258000,-2237000,-349000,706000,80000,-810000,253000,-297000
97,Net Change In Cash,- -,- -,9500000,22400000,100000,1300000,-10400000,-4800000,3800000,1100000,4600000,10600000,17822329,-8438683,3143142,-16262358,2300000,-6538000,2684000,2701000,-4199000,34258000,2509000,3741000,5562000,-18926000,6170000,-2472000,30709000,2495000,-20208000,34778000,-38663000,98303000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,8900000,- -,- -,21000000,38785936,30347253,33490395,17228037,19528000,12990000,15674000,18375000,14176000,48434000,50943000,54684000,60246000,41320000,47490000,45018000,75727000,78222000,58014000,92792000,54129000,152432000
99,Cash at the Beginning of Period,- -,- -,2500000,9700000,31500000,6100000,17800000,13800000,5100000,8900000,31300000,10400000,20963607,38785936,30347253,33490395,17228000,19528000,12990000,15674000,18375000,14176000,48434000,50943000,54684000,60246000,41320000,47490000,45018000,75727000,78222000,58014000,92792000,54129000
100,Free Cash Flow,- -,- -,700000,4400000,5900000,9800000,-1300000,6100000,-14600000,27900000,-22800000,28500000,24819496,8847219,9016887,14095590,18028000,16727000,19105000,23480000,19645000,11813000,13120000,19103000,11174000,8862000,-1612000,9574000,24360000,702000,-4620000,19629000,33579000,55466000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/854775/000091205796030480/0000912057-96-030480-index.html,https://www.sec.gov/Archives/edgar/data/854775/0001047469-97-008896-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/854775/000095012400007610/0000950124-00-007610-index.html,- -,https://www.sec.gov/Archives/edgar/data/854775/000095013402015996/0000950134-02-015996-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013403016603/0000950134-03-016603-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013404018279/0000950134-04-018279-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013405022750/0000950134-05-022750-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013706013293/0000950137-06-013293-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013707018240/0000950137-07-018240-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095013708014268/0000950137-08-014268-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095012309067970/0000950123-09-067970-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095012310109326/0000950123-10-109326-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000095012311100985/0000950123-11-100985-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477512000012/0000854775-12-000012-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477513000020/0000854775-13-000020-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477514000021/0000854775-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477515000019/0000854775-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477516000039/0000854775-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477517000020/0000854775-17-000020-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477518000020/0000854775-18-000020-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477519000022/0000854775-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477520000032/0000854775-20-000032-index.htm,https://www.sec.gov/Archives/edgar/data/854775/000085477521000018/0000854775-21-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
