,https://roic.ai/company/AXTI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
66,Other Total Stockholders Equity,41200000,64929000,23187000,26850000,- -,- -,- -,155441000,180936000,185949000,186754000,187871000,190021000,191554000,193063000,194156000,195419000,194646000,197078000,231679000,234419000,236957000,230381000,231622000
67,Total Stockholders Equity,51200000,62459000,185347000,186322000,105657000,82298000,68017000,55618000,81200000,93250000,93664000,94603000,115760000,138779000,143613000,139668000,138263000,131971000,135911000,183820000,190835000,187885000,192619000,211529000
68,Total Liabilities And Stockholders Equity,75000000,115762000,250220000,235260000,145667000,107023000,87540000,74798000,98332000,112772000,111662000,105298000,136207000,154218000,160288000,157944000,155092000,146306000,149866000,206703000,219827000,218472000,283512000,314124000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2648000,4044000,8270000,7301000,5878000,6425000,5590000,4380000,4497000,3697000,4877000,15350000,18317000
70,Total Liabilities & Equity,75000000,115762000,250220000,235260000,145667000,107023000,87540000,74798000,98332000,112772000,111662000,107946000,140251000,162488000,167589000,163822000,161517000,151896000,154246000,211200000,223524000,223349000,298862000,332441000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051627/000089161802001428/0000891618-02-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000089161803001360/0000891618-03-001360-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000089161804000813/0000891618-04-000813-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465905011968/0001104659-05-011968-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465906020548/0001104659-06-020548-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465907021885/0001104659-07-021885-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746908002766/0001047469-08-002766-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746909003513/0001047469-09-003513-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746910002549/0001047469-10-002549-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036111017021/0001140361-11-017021-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036112015825/0001140361-12-015825-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036113012640/0001140361-13-012640-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036114012780/0001140361-14-012780-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000156761915000258/0001567619-15-000258-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837016004062/0001558370-16-004062-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837017001073/0001558370-17-001073-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837018001801/0001558370-18-001801-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837019001765/0001558370-19-001765-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837020002561/0001558370-20-002561-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837021003377/0001558370-21-003377-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837022003664/0001558370-22-003664-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6300000,172000,21610000,-4996000,-81181000,-26731000,-13633000,-12215000,944000,5289000,-689000,-1898000,18653000,20320000,3110000,-7958000,-1388000,-2228000,5636000,10148000,9654000,-2600000,3238000,14575000
74,Depreciation and Amortization,2000000,6215000,7402000,8862000,9896000,6284000,5176000,3937000,2546000,1421000,2194000,3058000,2916000,3410000,3927000,5470000,5639000,5494000,4865000,4422000,4871000,5531000,4333000,- -
75,Deferred Income Tax,-200000,758000,5718000,-5041000,2533000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
