,https://roic.ai/company/OTTR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,-1800000,-10600000,- -,- -,- -,-86000,- -,- -,- -,- -,- -,-3326000,- -,- -,- -,-2643000,- -,-1037000,-1845000,-2785000,-6302000,-4402000,-4168000,-4372000,-10626000,-9110000,-9383000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,13200000,2200000,800000,- -,- -,- -,- -,- -,- -,- -,4171000,- -,- -,- -,30182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,2500000,2300000,4700000,20300000,1800000,26000000,1709000,1414000,2467000,3222000,-257000,38980000,7193000,4741000,8178000,-177922000,-82524000,5423000,-124769000,-160194000,-161711000,-118862000,-156422000,-128422000,-103047000,-198846000,-366542000,-162127000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-29700000,-29200000,-77700000,-20900000,-28900000,-22700000,-76606000,-61130000,-79657000,-60408000,-119118000,-28041000,-65581000,-163994000,-299384000,-147740000,-85167000,5423000,-83577000,-149197000,-164496000,-155970000,-159324000,-132590000,-107419000,-209472000,-375652000,-171510000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156211000,-61030000,-100958000,-62724000,-82870000,-41088000,-212000,-87547000,-48231000,-189000,-172000,-182000,-140169000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,6300000,5500000,1800000,14000,1347000,3091000,1072000,78780000,9690000,2444000,7733000,162978000,7420000,549000,- -,- -,1821000,26259000,14233000,44435000,4349000,- -,20338000,52432000,696000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5300000,- -,-18000000,- -,- -,-349000,-939000,-463000,-305000,-91000,-252000,-1555000,-1182000,-111000,-15723000,-590000,-1596000,-104000,-1799000,-3011000,-2730000,-2069000,-1507000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21600000,-22000000,-22500000,-24300000,-25000000,-25800000,-26455000,-27344000,-27465000,-28937000,-29263000,-33463000,-34621000,-35516000,-38093000,-43043000,-43698000,-43923000,-43976000,-43818000,-44261000,-46223000,-48244000,-50632000,-53198000,-55723000,-60314000,-64864000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2500000,-6900000,31300000,-27400000,-17000000,-5500000,19264000,37717000,25793000,8686000,3509000,-37279000,19293000,141296000,29845000,175000000,82018000,50560000,-5545000,91570000,110544000,72228000,87398000,71542000,5014000,83060000,153828000,146485000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24100000,-28900000,9900000,-45400000,-36500000,-34800000,-7177000,-6280000,1419000,-19179000,52677000,-61991000,-13347000,113208000,154639000,-17086000,-23716000,-95503000,-112356000,-49020000,50864000,38430000,-4062000,-24771000,-51384000,44773000,143695000,-59359000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-794000,-338000,43000,-993000,1165000,-1057000,-566000,-324000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1900000,- -,-700000,3200000,-1400000,20900000,-23503000,10119000,-1441000,-2632000,52677000,-61991000,1361000,33033000,-32259000,-3133000,-23716000,-95503000,36368000,-51212000,50864000,38430000,-4062000,-24771000,-15355000,20338000,-20036000,374000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1900000,1200000,5300000,3900000,24800000,1259000,11378000,9937000,7305000,- -,5430000,6791000,39824000,7565000,4432000,- -,14652000,52362000,1150000,- -,- -,- -,16216000,861000,21199000,1163000,1537000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,1900000,1900000,2100000,5300000,3900000,24762000,1259000,11378000,9937000,7311000,- -,5430000,6791000,39824000,7565000,4432000,- -,15994000,52362000,2007000,- -,- -,- -,16216000,861000,21199000,1163000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,21100000,15200000,-6900000,27400000,33300000,45600000,16245000,23933000,1264000,26221000,10132000,35831000,10798000,-77173000,-154567000,-14375000,19428000,30706000,117785000,-16682000,-51108000,-42544000,2127000,40664000,38023000,-22328000,-159632000,59414000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1466593/000095012310018165/0000950123-10-018165-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000115752311001197/0001157523-11-001197-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000115752312001147/0001157523-12-001147-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000118811213000505/0001188112-13-000505-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000118811214000558/0001188112-14-000558-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104915001534/0001571049-15-001534-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104916012346/0001571049-16-012346-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000157104917001533/0001571049-17-001533-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774918002843/0001437749-18-002843-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774919003150/0001437749-19-003150-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000143774920003157/0001437749-20-003157-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000146659321000011/0001466593-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1466593/000146659322000010/0001466593-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
