,https://roic.ai/company/JACK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-71900000,-79800000,-58700000,52700000,-25800000,-30700000,-63300000,-120800000,-143200000,-123448000,-178267000,-99385000,-133251000,-77243000,-110838000,-64528000,-131341000,-134370000,-40959000,19173000,-35802000,-81516000,-33939000,-42979000,-84473000,-104398000,33339000,331786000,-13819000,29123000,-20929000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-634334000,-1139836000,-618760000,-615077000,-896946000,-714399000,-966397000,-843732000,-590704000,-828307000,-1297370000,-17036000,-108704000
91,Common Stock Issued,49900000,241700000,- -,500000,200000,100000,2400000,2400000,4400000,4048000,8205000,6242000,363000,8943000,30049000,34865000,27809000,8642000,4574000,5186000,5530000,10167000,61993000,31748000,15170000,10564000,5165000,7959000,1231000,4647000,6647000
92,Common Stock Repurchased,- -,-3500000,-10900000,- -,- -,- -,- -,-20000000,- -,-5797000,-759000,-33287000,-50157000,-7138000,-92861000,-49997000,-463402000,-100000000,- -,-97000000,-193099000,-30013000,-132833000,-323866000,-320163000,-284645000,-334361000,-325634000,-137654000,-155576000,-200000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15808000,-37390000,-40295000,-48925000,-45412000,-41179000,-27538000,-37322000
94,Other Financing Activites,-28600000,-205300000,28400000,-51200000,-8000000,-47400000,-52100000,-30700000,-17000000,-20952000,-3034000,-33264000,51975000,-14875000,-8548000,4018000,168921000,85526000,527087000,1108216000,718688000,576754000,804024000,865209000,1173572000,1127654000,754283000,745787000,1469242000,108214000,-4166000
95,Cash Used/Provided by Financing Activities,21300000,32900000,17500000,-50700000,-7800000,-47300000,-49700000,-48300000,-12600000,-22701000,4412000,-60309000,2181000,-13070000,-71360000,-11114000,-266672000,-5832000,-102673000,-123434000,-87641000,-58169000,-163762000,-157116000,-135208000,-30454000,-214542000,-445607000,-5730000,-87289000,-343545000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,7000,-29000,-43000,-22000,6000,- -,- -,- -
97,Net Change In Cash,21300000,32900000,17500000,-50700000,-7800000,-47300000,-49700000,-48300000,1000000,-4089000,-508000,-708000,16742000,109338000,-27992000,130198000,-218204000,32182000,5118000,-42395000,817000,-2955000,1175000,934000,7165000,-713000,-9388000,-4937000,148856000,85359000,-163352000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,11000000,6836000,6328000,5620000,22362000,131700000,103708000,233906000,15702000,47884000,53002000,10607000,11424000,8469000,9644000,10578000,17743000,17030000,7642000,2705000,151561000,236920000,73568000
99,Cash at the Beginning of Period,13800000,600000,20100000,4500000,36000000,35900000,42000000,28600000,10000000,10925000,6836000,6328000,5620000,22362000,131700000,103708000,233906000,15702000,47884000,53002000,10607000,11424000,8469000,9644000,10578000,17743000,17030000,7642000,2705000,151561000,236920000
100,Free Cash Flow,-27000000,-10300000,-20600000,-62600000,6500000,50900000,39800000,39400000,22400000,14699000,6825000,16398000,35940000,79586000,31097000,55808000,25627000,-8185000,-4750000,-33744000,-5052000,56530000,114182000,140497000,140649000,37567000,104384000,76533000,120756000,123997000,160114000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000080788294000031/0000807882-94-000031-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788295000011/0000807882-95-000011-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788296000010/0000807882-96-000010-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788297000013/0000807882-97-000013-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000080788200000006/0000807882-00-000006-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788201500030/0000807882-01-500030-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/807882/000093639204000892/a04080e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000095013705014890/a15215e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000093639206001078/a25296e10vk.htm,https://www.sec.gov/Archives/edgar/data/807882/000095013407024313/0000950134-07-024313-index.html,https://www.sec.gov/Archives/edgar/data/807882/000093639208000742/0000936392-08-000742-index.html,https://www.sec.gov/Archives/edgar/data/807882/000095012309064465/0000950123-09-064465-index.html,https://www.sec.gov/Archives/edgar/data/807882/000095012310108451/0000950123-10-108451-index.html,https://www.sec.gov/Archives/edgar/data/807882/000119312511320975/0001193125-11-320975-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788212000006/0000807882-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788213000012/0000807882-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788214000017/0000807882-14-000017-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788215000024/0000807882-15-000024-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788216000036/0000807882-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788217000020/0000807882-17-000020-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788218000021/0000807882-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788219000023/0000807882-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/807882/000080788220000018/0000807882-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/807882/000080788221000016/0000807882-21-000016-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
