,https://roic.ai/company/COHR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24854000,-33674000,-26185000,-5146000,4226000,-5191000,-10099000,-17525000,-52516000,-47020000,82078000,53104000,-28667000
79,Inventory,- -,- -,- -,- -,- -,1500000,-5500000,500000,3200000,-1700000,-10400000,-14900000,-19800000,-16000000,7900000,-32804000,-18961000,24529000,4866000,-190000,7996000,3333000,-8377000,-6491000,21412000,-14607000,-38570000,-9767000,4260000,-6890000,6054000,-55708000,-11419000,-78123000,17805000,28464000,28993000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4172000,15122000,-161000,-10443000,6116000,-2295000,1000000,9735000,8276000,-9736000,-15160000,8187000,42499000
81,Other Working Capital,- -,- -,- -,- -,- -,70200000,74500000,78000000,88300000,97700000,106800000,123500000,152700000,173800000,194900000,422864000,468838000,427150000,297900000,345700000,380100000,630817000,536900000,396500000,396500000,410600000,418241000,460700000,483400000,563800000,530093000,614145000,892519000,865664000,854507000,943606000,797070000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,-100000,-16200000,4100000,-9700000,-15300000,-29000000,-28600000,-41500000,-34500000,-3700000,-372648000,-216416000,215213000,158704000,-38346000,-3972000,-236946000,103386000,155034000,52498000,-23419000,-78166000,-81889000,-27485000,-95034000,29627000,-110997000,-212145000,-147118000,812000,418765000,261253000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,8700000,-3900000,13800000,23700000,13800000,10000000,22100000,29300000,18400000,38600000,-44047000,-56010000,101775000,21214000,69697000,92688000,78782000,66619000,68362000,39049000,78813000,86676000,64771000,115522000,91379000,124458000,105299000,384116000,236111000,181401000,206907000,72938000
84,CAPEX,- -,- -,- -,- -,- -,-6900000,-7000000,-15700000,-12900000,-10700000,-8400000,-24900000,-24900000,-23200000,-88200000,-37549000,-94523000,-39930000,-25678000,-46634000,-17625000,-17225000,-21693000,-22612000,-21627000,-15139000,-37117000,-36051000,-21988000,-23390000,-22163000,-49327000,-63774000,-90757000,-83283000,-64919000,-82563000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4422000,-52803000,- -,-94880000,-2737000,-37979000,-5942000,-14228000,- -,- -,-20745000,-14108000,-3687000,-67289000,- -,-9300000,- -,-740481000,-14198000,-18881000,- -,-28810000
86,Purchases of Investments,- -,- -,- -,- -,- -,-20200000,-28800000,-63000000,-61700000,- -,- -,- -,- -,- -,- -,- -,-42895000,- -,-178071000,-347559000,-390800000,-281545000,-831764000,-109846000,-106856000,-110688000,-230992000,-244186000,-228231000,-280408000,-312592000,-180842000,-32449000,-54442000,-14975000,-77359000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,18400000,29500000,62000000,63900000,- -,- -,- -,- -,- -,- -,- -,42376000,- -,275835000,327100000,340468000,366185000,834635000,151362000,67435000,133087000,195570000,140700000,245361000,193430000,346059000,333058000,25218000,86786000,11552000,42168000,35311000
88,Other Investing Activites,- -,- -,- -,- -,- -,700000,1500000,900000,-700000,-1300000,-10100000,-9400000,-7400000,-3000000,-2000000,8099000,97535000,-2000000,-39646000,14813000,24968000,13920000,21838000,19273000,4100000,1557000,980000,280000,1482000,585000,1163000,555000,1198000,4875000,5294000,21926000,3209000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-8000000,-4800000,-15800000,-11400000,-12000000,-18500000,-34300000,-32300000,-26200000,-90200000,-33872000,-50310000,-41930000,-62440000,-55017000,-80968000,75393000,-11212000,38177000,-56948000,-11928000,-85667000,-142944000,-70665000,-109783000,3167000,103444000,-810288000,-67736000,-100293000,-78184000,-72853000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000,- -,-2344000,-9277000,-20734000,-61501000,-38729000,-34792000,-210399000,-262344000,-119331000,-22394000,-10437000
91,Common Stock Issued,- -,- -,- -,- -,- -,1700000,2600000,2500000,4300000,3200000,5100000,4400000,4800000,6800000,3300000,202386000,21503000,9568000,13161000,7793000,15720000,24260000,3783000,16509000,4674000,33438000,34720000,13288000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-2500000,-700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22250000,- -,-228214000,- -,-44546000,-103943000,-29536000,-4170000,-7811000,-80329000,-5443000,-15717000,-136320000,-92589000,-13549000,-10362000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24040000,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,1200000,200000,12500000,-6500000,-5800000,-1500000,-4300000,8500000,-3800000,72100000,-7875000,5124000,-18154000,-33275000,-12616000,-14837000,184228000,-201662000,-114000,-461000,915000,7437000,10526000,37258000,72208000,46037000,57439000,732104000,99666000,131405000,26057000,41368000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,400000,2100000,15000000,-2200000,-2600000,3600000,100000,13300000,3000000,75400000,194511000,26627000,-8586000,-20114000,-4823000,883000,186238000,-197879000,-211819000,4205000,-10193000,-64130000,-14999000,-11686000,2896000,-73021000,17204000,505988000,-298998000,-80515000,-9886000,20569000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-300000,-500000,-600000,200000,200000,-1900000,1000000,1900000,-600000,-1500000,3617000,581000,2350000,6863000,1261000,-2755000,7311000,13168000,3179000,-182000,-11262000,-15198000,-6128000,9512000,-3719000,-15214000,-2207000,22924000,-2419000,-5977000,8022000,-3653000
97,Net Change In Cash,- -,- -,- -,- -,- -,400000,2100000,15000000,-2200000,-2600000,3600000,100000,13300000,3000000,22400000,120209000,-79112000,53609000,-54477000,11118000,9848000,347724000,-129304000,-102101000,-13876000,45430000,-78319000,-99300000,42683000,-19227000,39390000,223740000,102740000,-133042000,-5384000,126859000,17001000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38300000,158488000,77409000,131018000,76541000,87659000,97507000,445231000,315927000,213826000,199950000,245380000,167061000,67761000,110444000,91217000,130607000,354347000,457087000,324045000,318661000,445520000,462521000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,12200000,12900000,5800000,17600000,27900000,27200000,20400000,9200000,21500000,15900000,38279000,156521000,77409000,131018000,76541000,87659000,97507000,445231000,315927000,213826000,199950000,245380000,167061000,67761000,110444000,91217000,130607000,354347000,457087000,324045000,318661000,445520000
100,Free Cash Flow,- -,- -,- -,- -,- -,1800000,-10900000,-1900000,10800000,3100000,1600000,-2800000,4400000,-4800000,-49600000,-81596000,-150533000,61845000,-4464000,23063000,75063000,61557000,44926000,45750000,17422000,63674000,49559000,28720000,93534000,67989000,102295000,55972000,320342000,145354000,98118000,141988000,-9625000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21510/000091205794004216/0000912057-94-004216-index.html,https://www.sec.gov/Archives/edgar/data/21510/000091205795011265/0000912057-95-011265-index.html,https://www.sec.gov/Archives/edgar/data/21510/000091205796029938/0000912057-96-029938-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/21510/000104746902007413/0001047469-02-007413-index.html,https://www.sec.gov/Archives/edgar/data/21510/000110465903028841/0001104659-03-028841-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000110465904039736/0001104659-04-039736-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000110465905061065/0001104659-05-061065-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746907009926/0001047469-07-009926-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746908000863/0001047469-08-000863-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746908012562/0001047469-08-012562-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746909010760/0001047469-09-010760-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000104746910010417/0001047469-10-010417-index.htm,- -,https://www.sec.gov/Archives/edgar/data/21510/000002151012000014/0000021510-12-000014-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151013000020/0000021510-13-000020-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151014000037/0000021510-14-000037-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151015000035/0000021510-15-000035-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151016000074/0000021510-16-000074-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151017000036/0000021510-17-000036-index.html,https://www.sec.gov/Archives/edgar/data/21510/000002151018000029/0000021510-18-000029-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151019000034/0000021510-19-000034-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151020000049/0000021510-20-000049-index.htm,https://www.sec.gov/Archives/edgar/data/21510/000002151021000060/0000021510-21-000060-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
