,https://roic.ai/company/NR,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,500000,- -,- -,900000,-300000,-500000,-79800000,-14300000,1100000,19572000,4810000,2626000,2712000,2256000,395000,2836000,6093000,-53000,510000,-17144000,-10549000,-36375000,-43092000,-66616000,-103768000,-84366000,-23840000,-23624000,-41529000,-31072000,-3395000,-4041000
89,Cash Used for Investing Activites,- -,-1300000,-7300000,-12700000,-6200000,-23400000,-24500000,-123500000,-92700000,-119400000,-20925000,-30622000,-27047000,-17249000,-20470000,-11872000,-34054000,-30298000,-40292000,-23168000,-17144000,-10549000,-63150000,-96167000,-60063000,-14002000,-84366000,-28260000,-68374000,-55752000,-49764000,-3395000,-17475000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66140000,-262070000,-10170000,-296984000,-328111000,-62500000,-12544000,-101540000,-176952000,-352582000,-335613000,-250905000,-275279000
91,Common Stock Issued,- -,- -,26200000,100000,100000,900000,1300000,103000000,4100000,3700000,15286000,61089000,2254000,18638000,303000,1110000,6055000,5622000,2243000,1910000,143000,3591000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15106000,- -,- -,- -,- -,- -,-15250000,-268000,-153000,-644000,-50756000,-9281000,-53130000,-2283000,-1226000,-3239000,-3870000,-21737000,-333000,-1448000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-675000,- -,- -,-675000,-375000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,2800000,-20800000,9300000,4000000,11600000,15700000,-5400000,78500000,71300000,1303000,-6979000,-39192000,-2430000,15329000,-4933000,391000,2951000,-37892000,11278000,- -,309253000,29152000,353593000,264864000,66472000,8097000,102116000,177901000,351939000,327824000,173297000,298135000
95,Cash Used/Provided by Financing Activities,- -,2800000,5400000,9400000,4100000,12500000,17000000,97600000,82600000,75000000,16589000,54110000,-37613000,1102000,15632000,-4498000,6071000,8573000,-35649000,-2062000,-66265000,50621000,18338000,5853000,-72528000,-49158000,-6730000,-650000,-2290000,-4513000,-29526000,-77941000,21408000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266000,-371000,314000,758000,-946000,-2128000,-72000,607000,1668000,-318000,-6801000,-8335000,-1445000,2444000,-4332000,-399000,-970000,-1779000
97,Net Change In Cash,- -,2800000,5400000,9400000,4100000,12500000,17000000,97600000,82600000,75000000,-2101000,26728000,-23741000,-4779000,1967000,2330000,967000,5262000,-6995000,2511000,3282000,71476000,-57763000,21599000,18994000,19212000,22086000,-19260000,-29839000,-1194000,-7403000,-26515000,-859000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4517000,31245000,7504000,2725000,4692000,7022000,7989000,13218000,5741000,8252000,11534000,83010000,25247000,46846000,65840000,85052000,107138000,87878000,65460000,64266000,56863000,30348000,29489000
99,Cash at the Beginning of Period,- -,- -,500000,2300000,600000,1200000,1400000,1000000,1900000,21700000,6618000,4517000,31245000,7504000,2725000,4692000,7022000,7956000,12736000,5741000,8252000,11534000,83010000,25247000,46846000,65840000,85052000,107138000,95299000,65460000,64266000,56863000,30348000
100,Free Cash Flow,- -,-2800000,-4200000,-11400000,-4500000,-12100000,-16900000,-16900000,-49500000,-91300000,-38262000,-32192000,11246000,-3819000,-15921000,-5034000,-6688000,-9718000,51152000,6193000,70275000,19342000,-50455000,66290000,83974000,-17800000,52113000,-27345000,7010000,18262000,27480000,39997000,-24806000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71829/000094868896000011/0000948688-96-000011-index.html,https://www.sec.gov/Archives/edgar/data/71829/000094868897000004/0000948688-97-000004-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/71829/000095013403004413/d04232e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012904001189/d13078e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012905002502/h23379e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012906002613/h33902e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012907001410/h44554e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012908001593/h54725e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000095012909000824/0000950129-09-000824-index.html,https://www.sec.gov/Archives/edgar/data/71829/000095012310020657/0000950123-10-020657-index.html,https://www.sec.gov/Archives/edgar/data/71829/000095012311023189/h80311e10vk.htm,https://www.sec.gov/Archives/edgar/data/71829/000119312512089028/0001193125-12-089028-index.html,https://www.sec.gov/Archives/edgar/data/71829/000143774913002097/0001437749-13-002097-index.html,https://www.sec.gov/Archives/edgar/data/71829/000143774914003088/nr20131231_10k.htm,https://www.sec.gov/Archives/edgar/data/71829/000143774915003649/nr20150227_10k.htm,https://www.sec.gov/Archives/edgar/data/71829/000143774916026131/0001437749-16-026131-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182917000011/0000071829-17-000011-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182918000021/0000071829-18-000021-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182919000021/0000071829-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182920000009/0000071829-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/71829/000007182921000018/0000071829-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/71829/000007182922000012/0000071829-22-000012-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
