,https://roic.ai/company/AVA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,15000000,24900000,37100000,104400000,27100000,-33507000,204543000,27892000,11027000,26302000,40480000,87065000,-431464000,-206317000,-84494000,390000,-12618000,-70355000,-75661000,10078000,-168634000,-56187000,-359968000,-292661000,-225584000,-161902000,-10832000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,70600000,39700000,71700000,38300000,112100000,163600000,-34150000,-439886000,516949000,63188000,38745000,60334000,100856000,739064000,-227550000,-115100000,-99148000,38886000,142437000,-26153000,-301232000,224575000,-188767000,345492000,-43106000,-98289000,-137199000,-112458000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,144800000,132200000,177600000,202400000,267900000,111200000,76196000,-110539000,331318000,119222000,108342000,128545000,201466000,251641000,115378000,258781000,228437000,269465000,316553000,242557000,267268000,375640000,358267000,410298000,361885000,398212000,331004000,267340000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-117400000,-83500000,-92700000,-100700000,-107800000,-116700000,-199341000,-282184000,-83597000,-105659000,-118472000,-217696000,-165085000,-209091000,-222698000,-208504000,-204656000,-243372000,-275974000,-303113000,-331943000,-394310000,-406997000,-412339000,-424350000,-442510000,-404306000,-439939000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,- -,-1440000,-14022000,-3777000,-31409000,-50310000,- -,244910000,13761000,- -,- -,- -,16407000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96634000,-100374000,-35949000,-12267000,- -,-13097000,-13680000,-13283000,-13508000,-5925000,-16001000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,- -,- -,- -,148900000,105228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000,137999000,22960000,14612000,- -,- -,- -,- -,- -,6786000,8306000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-65500000,-5000000,-10600000,-13100000,-9200000,-59400000,-2753000,63795000,35315000,-4190000,4045000,20103000,25370000,22514000,38793000,-201580000,-47219000,85464000,-281983000,-299228000,-350991000,-401588000,-419369000,-420423000,-427149000,-448410000,-411604000,-437221000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-182900000,-87900000,-103300000,-113800000,-117000000,-27200000,-96866000,-218389000,-48282000,-109849000,-119427000,-197593000,-139715000,-186577000,-185345000,-215602000,-253223000,-282281000,-294668000,-312217000,-103736000,-387827000,-432466000,-434103000,-440432000,-445511000,-410743000,-444916000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-242348000,-141238000,-61760000,-39161000,-76427000,-102378000,-4336000,-163167000,-3287000,-277438000,-92660000,-54800000,-2935000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,14900000,12500000,900000,110000000,- -,- -,2625000,8267000,7035000,6155000,4061000,2066000,88585000,4977000,28565000,2622000,46235000,26463000,29079000,4609000,4060000,1560000,66953000,56380000,1207000,64573000,72200000,89998000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-70000000,-11500000,-87900000,-10000000,- -,-1750000,-2233000,-6035000,- -,-1750000,-26250000,- -,- -,- -,- -,- -,- -,-79856000,-2920000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63400000,-65500000,-77300000,-75300000,-64500000,-39800000,-28304000,-25110000,-25456000,-24777000,-24912000,-26443000,-27927000,-31451000,-37071000,-44360000,-55682000,-63737000,-68552000,-73276000,-78314000,-82397000,-87154000,-92460000,-98046000,-102772000,-110254000,-118211000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,80600000,8700000,25200000,-30900000,-32700000,10900000,210673000,319754000,-264482000,-33678000,-1838000,31025000,-118334000,-28743000,90947000,253629000,207849000,117099000,57551000,221864000,32525000,88621000,255590000,70837000,451308000,173398000,176893000,216696000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,32100000,-44300000,-71200000,-66200000,-108700000,-116800000,174994000,302911000,-284653000,-54533000,-28724000,6648000,-59426000,-81467000,82441000,-30457000,57164000,18065000,-21083000,76770000,-223963000,528000,72222000,31470000,77031000,42539000,84039000,185548000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000000,- -,3000000,22400000,42200000,-32800000,154324000,-26017000,-1617000,-45160000,-39809000,-62400000,2325000,-16403000,12474000,12722000,32378000,5249000,802000,7110000,-60431000,-11659000,-1977000,7665000,-1516000,-4760000,4300000,7972000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000,5200000,8200000,30600000,72800000,40000000,194365000,171221000,186369000,128126000,88317000,25917000,28242000,11839000,24313000,37035000,69413000,74662000,75464000,82574000,22143000,10484000,8507000,16172000,14656000,9896000,14196000,22168000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,5200000,5200000,8200000,30600000,72800000,40041000,197238000,187986000,173286000,128126000,88317000,25917000,28242000,11839000,24313000,37035000,69413000,74662000,75464000,82574000,22143000,10484000,8507000,16172000,14656000,9896000,14196000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,27400000,48700000,84900000,101700000,160100000,-5500000,-123145000,-392723000,247721000,13563000,-10130000,-89151000,36381000,42550000,-107320000,50277000,23781000,26093000,40579000,-60556000,-64675000,-18670000,-48730000,-2041000,-62465000,-44298000,-73302000,-172599000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104918/000089102000000526/0000891020-00-000526-index.html,https://www.sec.gov/Archives/edgar/data/104918/000109581101001564/0001095811-01-001564-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102002000255/0000891020-02-000255-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102003000804/0000891020-03-000804-index.html,https://www.sec.gov/Archives/edgar/data/104918/000095012404000732/0000950124-04-000732-index.html,https://www.sec.gov/Archives/edgar/data/104918/000089102005000059/0000891020-05-000059-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312506047284/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312507041126/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312508040207/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312509040752/0001193125-09-040752-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312510042906/0001193125-10-042906-index.html,https://www.sec.gov/Archives/edgar/data/104918/000119312511047407/d10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000119312512085473/0001193125-12-085473-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491813000042/0000104918-13-000042-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491814000036/ava-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000010491815000044/ava-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/104918/000010491816000185/0000104918-16-000185-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491817000053/0000104918-17-000053-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491818000043/0000104918-18-000043-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491819000053/0000104918-19-000053-index.html,https://www.sec.gov/Archives/edgar/data/104918/000010491820000036/0000104918-20-000036-index.html,https://www.sec.gov/Archives/edgar/data/104918/000156459021007774/0001564590-21-007774-index.htm,https://www.sec.gov/Archives/edgar/data/104918/000095017022001672/0000950170-22-001672-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
