,https://roic.ai/company/GIS,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40704/000004070494000020/0000040704-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/40704/000004070495000016/0000040704-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/40704/000091205796018678/0000912057-96-018678-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40704/000089710100000853/0000897101-00-000853-index.html,- -,https://www.sec.gov/Archives/edgar/data/40704/000089710102000567/0000897101-02-000567-index.html,https://www.sec.gov/Archives/edgar/data/40704/000089710103000909/0000897101-03-000909-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710104001455/0000897101-04-001455-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710105001694/0000897101-05-001694-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710106001513/0000897101-06-001513-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710107001522/0000897101-07-001522-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095013708009268/0000950137-08-009268-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012309021887/0000950123-09-021887-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012310064517/0000950123-10-064517-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012311064606/0000950123-11-064606-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312512293636/0001193125-12-293636-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312513282371/0001193125-13-282371-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312514260716/0001193125-14-260716-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312515245476/0001193125-15-245476-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312516638404/0001193125-16-638404-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312517217396/0001193125-17-217396-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312518209377/0001193125-18-209377-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312519184675/0001193125-19-184675-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312520186469/0001193125-20-186469-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312521204830/0001193125-21-204830-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,233000000,-73000000,184000000,222000000,283000000,262000000,381000000,473000000,495600000,506000000,470000000,367000000,476000000,445000000,421800000,535000000,614000000,665000000,458000000,917000000,1055000000,1240000000,1090000000,1144000000,1295000000,1304400000,1531000000,1798000000,1567000000,1855000000,1824000000,1221300000,1697400000,1657500000,2131000000,1752700000,2181200000,2339800000
74,Depreciation and Amortization,99000000,109000000,104500000,122800000,131100000,152300000,180100000,218400000,247400000,274200000,303800000,191400000,186700000,182800000,194900000,194200000,208800000,223100000,296000000,365000000,399000000,443000000,424000000,418000000,459200000,453600000,457100000,472600000,541500000,588000000,585400000,588300000,608100000,603600000,618800000,620100000,594700000,601300000
75,Deferred Income Tax,-17200000,-19500000,22800000,9400000,28200000,24100000,12500000,900000,13500000,40800000,-27800000,59000000,42400000,20900000,-29300000,42000000,43500000,48400000,93000000,27000000,109000000,9000000,26000000,26000000,42400000,126700000,-91700000,205300000,86300000,-21200000,103200000,-49300000,26500000,119800000,-504300000,93500000,-29600000,118800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000,133200000,117700000,107300000,105300000,108300000,100400000,108500000,106400000,89800000,95700000,77000000,84900000,94900000,89900000
77,Change in Working Capital,-32500000,-15000000,-191000000,-96100000,-147900000,8000000,-66000000,73000000,-147100000,-144900000,-221000000,379000000,127000000,-85000000,-126400000,-188600000,-742000000,538000000,-1509000000,2045000000,723000000,-1587000000,-1833000000,171000000,1555000000,1164900000,-217900000,532000000,-395000000,-843000000,-35000000,-74400000,26900000,-191900000,-1948800000,317600000,530400000,-141100000
78,Accounts Receivable,- -,266000000,65000000,-17000000,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,284000000,27000000,-38000000,-35000000,40600000,-22400000,-109800000,600000,28700000,-111000000,- -,- -,- -,- -,-28700000,-51400000,-8800000,- -,-20000000,- -,30000000,-6000000,-116000000,-165100000,-28100000,-16700000,-240000000,144500000,18700000,-88300000,-24200000,-146100000,-61500000,15600000,53700000,103100000,-354700000
80,Accounts Payable,- -,117000000,-21000000,-52000000,-27000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,125100000,-116400000,69600000,109000000,12100000,263600000,191500000,145800000,318700000,99500000,575300000,162400000,392500000,343100000
81,Other Working Capital,245000000,230000000,39000000,-57100000,-205000000,-197000000,-263000000,-190000000,-337100000,-482000000,-703000000,-324000000,-197000000,-282000000,-408400000,-597000000,-1339000000,-801000000,-2310000000,-265000000,458000000,-1129000000,-2962000000,-2791000000,-1236000000,-71100000,-289000000,243000000,-152000000,-995000000,-1030000000,-1104400000,-1077500000,-1269400000,-3218200000,-2900600000,-2370200000,-2511300000
82,Other Non-Cash Items,-46200000,62800000,231000000,156100000,46300000,-90500000,120200000,-220900000,162200000,183800000,305700000,-328900000,-172300000,23600000,308500000,103600000,563400000,-737600000,1575000000,-1723000000,-825000000,1606000000,2064000000,-122000000,-1754900000,-1339100000,395400000,-1586400000,493900000,1246800000,-45100000,750500000,181100000,28600000,2467300000,-61800000,304600000,-25500000
83,Cash Provided by Operating Activities,236100000,64300000,351300000,414200000,340700000,355900000,627800000,544400000,771600000,859900000,830700000,667500000,659800000,587300000,769500000,686200000,687700000,736900000,913000000,1631000000,1461000000,1711000000,1771000000,1765000000,1729900000,1828200000,2181200000,1526800000,2402000000,2926000000,2541000000,2542800000,2629800000,2313300000,2841000000,2807000000,3676200000,2983200000
84,CAPEX,-282400000,-209700000,-244900000,-329100000,-410700000,-442400000,-540000000,-554600000,-695300000,-623800000,-559500000,-156500000,-128800000,-162500000,-193100000,-280900000,-267700000,-307500000,-506000000,-711000000,-628000000,-414000000,-360000000,-460000000,-522000000,-562600000,-649900000,-648800000,-675900000,-613900000,-663500000,-712400000,-729300000,-684400000,-622700000,-537600000,-460800000,-530800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-261000000,-2000000,- -,-26000000,-85000000,600000,- -,- -,-88900000,-1072300000,-938400000,66700000,-924700000,808400000,20800000,-8053100000,26500000,-48000000,18400000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-69700000,-83800000,-21700000,-21600000,-8000000,-10600000,-11500000,-17500000,-97800000,-46000000,-63000000,-7000000,-1000000,- -,- -,- -,- -,-130700000,-1800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,32600000,- -,- -,- -,33700000,49100000,22500000,47700000,40300000,19200000,11700000,70000000,70000000,57000000,129000000,33000000,79000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,292400000,20800000,392900000,111600000,-9300000,592600000,-22800000,-1100000,47300000,-90600000,-172600000,-244400000,-45100000,-62800000,-39900000,-101700000,-290200000,-124800000,-2789000000,-40000000,38000000,878000000,15000000,-52000000,79000000,273700000,59400000,24400000,-122600000,36900000,35000000,34900000,14300000,16700000,-9600000,-45400000,22600000,-400000
89,Cash Used for Investing Activites,10000000,-188900000,148000000,-217500000,-420000000,150200000,-530200000,-555700000,-648000000,-784100000,-782200000,-373500000,-173000000,-185600000,-203300000,-374900000,-563700000,-460100000,-3271000000,-1018000000,-470000000,496000000,-292000000,-597000000,-442400000,-288900000,-721200000,-715100000,-1870800000,-1515400000,-561800000,-1602200000,93400000,-646900000,-8685400000,-556500000,-486200000,-512800000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2323000000,-1623400000,-370300000,-906900000,-7400000,-1450100000,-542300000,-1444800000,-1145800000,-1000400000,-1000000000,-600100000,-1493800000,-1396700000,-2609000000
91,Common Stock Issued,- -,- -,- -,- -,- -,14500000,168900000,41500000,39300000,32300000,13300000,24300000,38000000,60500000,92500000,92800000,110100000,106900000,139000000,96000000,192000000,195000000,157000000,- -,92300000,305200000,388800000,410400000,- -,- -,- -,- -,- -,- -,969900000,- -,- -,- -
92,Common Stock Repurchased,-131000000,-43800000,22000000,-60300000,-226400000,-189200000,-149900000,- -,-40100000,-420200000,-145700000,-57700000,-35600000,-361800000,-524900000,-340700000,-819700000,-226200000,-2436000000,-29000000,-24000000,-771000000,-885000000,-1004000000,-2234000000,-1296400000,-691800000,-1163500000,-313000000,-1044900000,-1745300000,-1161900000,-606700000,-1651500000,-601600000,-1100000,-3400000,-301400000
93,Dividends Paid,-96000000,-100400000,-100900000,-110800000,-139300000,-154400000,-180800000,-210600000,-245200000,-274800000,-299400000,-297200000,-303600000,-320700000,-336300000,-331400000,-329200000,-312400000,-358000000,-406000000,-413000000,-461000000,-485000000,-506000000,-529700000,-579500000,-643700000,-729400000,-800100000,-867600000,-983300000,-1017700000,-1071700000,-1135100000,-1139700000,-1181700000,-1195800000,-1246400000
94,Other Financing Activites,-11100000,269600000,-296900000,-36200000,279900000,-181000000,54300000,219500000,83100000,578300000,283500000,21700000,-178000000,212500000,196100000,265500000,936500000,193400000,5924000000,-546000000,-698000000,-1348000000,-192000000,2435000000,3201800000,536500000,349800000,553300000,1901800000,1314600000,2349300000,1940600000,393200000,2141100000,6817000000,500200000,654400000,1441300000
95,Cash Used/Provided by Financing Activities,-238100000,125400000,-375800000,-207300000,-85800000,-510100000,-107500000,50400000,-162900000,-84400000,-148300000,-308900000,-479200000,-409500000,-572600000,-313800000,-102300000,-238300000,3269000000,-885000000,-943000000,-2385000000,-1405000000,-1398000000,-1093000000,-1404500000,-1503800000,-936600000,-661400000,-1140200000,-1824100000,-1384800000,-2285600000,-1645500000,5445500000,-2176400000,-1941500000,-2715500000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49400000,-46000000,-32800000,71300000,-18200000,-200000,-29200000,-88900000,-8100000,-18500000,31800000,-23100000,-20700000,72500000
97,Net Change In Cash,8000000,800000,123500000,-10600000,-165100000,-510100000,-107500000,50400000,-162900000,-84400000,-148300000,-308900000,-479200000,-409500000,-572600000,-313800000,21700000,38500000,911000000,-272000000,48000000,-178000000,74000000,-230000000,243900000,88800000,-76600000,-53600000,-148400000,270200000,125900000,-533100000,429500000,2400000,-367100000,51000000,1227800000,-172600000
98,Cash at the End of Period,8000000,66800000,190500000,179400000,14900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25600000,64100000,975000000,703000000,751000000,573000000,647000000,417000000,661000000,749800000,673200000,619600000,471200000,741400000,867300000,334200000,763700000,766100000,399000000,450000000,1677800000,1505200000
99,Cash at the Beginning of Period,- -,66000000,67000000,190000000,180000000,14600000,10600000,700000,39800000,108600000,100000000,27800000,13000000,20600000,12800000,6400000,3900000,25600000,64000000,975000000,703000000,751000000,573000000,647000000,417100000,661000000,749800000,673200000,619600000,471200000,741400000,867300000,334200000,763700000,766100000,399000000,450000000,1677800000
100,Free Cash Flow,-46300000,-145400000,106400000,85100000,-70000000,-86500000,87800000,-10200000,76300000,236100000,271200000,511000000,531000000,424800000,576400000,405300000,420000000,429400000,407000000,920000000,833000000,1297000000,1411000000,1305000000,1207900000,1265600000,1531300000,878000000,1726100000,2312100000,1877500000,1830400000,1900500000,1628900000,2218300000,2269400000,3215400000,2452400000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40704/000004070494000020/0000040704-94-000020-index.html,https://www.sec.gov/Archives/edgar/data/40704/000004070495000016/0000040704-95-000016-index.html,https://www.sec.gov/Archives/edgar/data/40704/000091205796018678/0000912057-96-018678-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/40704/000089710100000853/0000897101-00-000853-index.html,- -,https://www.sec.gov/Archives/edgar/data/40704/000089710102000567/0000897101-02-000567-index.html,https://www.sec.gov/Archives/edgar/data/40704/000089710103000909/0000897101-03-000909-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710104001455/0000897101-04-001455-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710105001694/0000897101-05-001694-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710106001513/0000897101-06-001513-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000089710107001522/0000897101-07-001522-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095013708009268/0000950137-08-009268-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012309021887/0000950123-09-021887-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012310064517/0000950123-10-064517-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000095012311064606/0000950123-11-064606-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312512293636/0001193125-12-293636-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312513282371/0001193125-13-282371-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312514260716/0001193125-14-260716-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312515245476/0001193125-15-245476-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312516638404/0001193125-16-638404-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312517217396/0001193125-17-217396-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312518209377/0001193125-18-209377-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312519184675/0001193125-19-184675-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312520186469/0001193125-20-186469-index.htm,https://www.sec.gov/Archives/edgar/data/40704/000119312521204830/0001193125-21-204830-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
