,https://roic.ai/company/IDA,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,13317000,-11297000,3633000,-41485000,25305000,3971000,-44783000,-254000000,-175608000,-73547000,-64042000,3935000,-143803000,-108608000,-129384000,92177000,11576000,-57275000,15950000,226239000,200320000,219730000,190597000,242852000,339048000,190287000,354830000,-17885000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,30562000,94584000,61666000,119176000,24103000,162393000,-4212000,-73783000,318190000,224590000,146120000,61627000,227445000,-47959000,54214000,-199121000,79612000,145525000,-147621000,-286501000,40531000,-42121000,-4475000,-25832000,-11783000,86343000,-214945000,-66118000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,125657000,168430000,174415000,173397000,169887000,230588000,133635000,-8000000,347588000,311244000,194696000,161496000,169778000,80601000,136513000,284425000,305400000,310243000,249269000,305549000,364343000,353194000,347706000,438020000,491626000,366625000,388131000,363264000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-110523000,-83965000,-93645000,-94499000,-89184000,-110974000,-140302000,-180000000,-134223000,-149149000,-199770000,-193314000,-225048000,-287751000,-243544000,-251937000,-338252000,-337765000,-239761000,-235310000,-274094000,-294021000,-296950000,-285488000,-277853000,-278705000,-310938000,-299999000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7283000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5816000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300283000,-87515000,-20709000,-27465000,-15600000,-5802000,-20390000,-4203000,-7000000,-32661000,-8000000,-44106000,-24917000,-11356000,-11390000,-10896000,-58382000,-42186000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,274061000,122866000,25425000,29427000,6060000,9431000,- -,- -,- -,25661000,- -,34243000,15693000,4989000,5007000,5080000,25795000,61328000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2225000,-2439000,-19328000,-3333000,-15933000,-30476000,-12308000,9000000,-52277000,-4432000,-3648000,69013000,-32708000,11396000,50260000,5903000,30308000,9610000,2940000,5717000,9674000,12178000,8730000,8555000,26059000,9845000,-3733000,7204000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-112748000,-86404000,-112973000,-97832000,-105117000,-141450000,-152610000,-171000000,-186500000,-153581000,-229640000,-88950000,-253040000,-267110000,-202824000,-242405000,-328334000,-332358000,-243821000,-236593000,-272420000,-291706000,-297444000,-283300000,-258177000,-280492000,-347258000,-273653000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-352774000,-1064000,-121064000,-101064000,-71064000,-1064000,-138936000,-114959000,-1064000,-134607000,-166100000,-178305000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,13402000,- -,- -,- -,- -,- -,- -,4000000,15770000,4123000,115690000,6296000,41465000,37181000,50863000,24328000,48644000,17501000,4882000,255000,195000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-166000,-151000,-26530000,-168000,- -,- -,-8014000,-8000000,-51992000,-1659000,-53771000,- -,-213000,-346000,-304000,-1441000,-869000,-1933000,-2062000,-2124000,-2737000,-3277000,-3329000,-3212000,-3614000,-4160000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-77159000,-77855000,-77773000,-75417000,-69868000,-69863000,-69850000,-70000000,-70178000,-64726000,-45838000,-50690000,-51272000,-53012000,-54239000,-56820000,-57872000,-59668000,-68928000,-78832000,-88489000,-96810000,-104984000,-113127000,-121421000,-129677000,-137813000,-146119000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,50534000,-3300000,42321000,-1003000,21060000,69196000,92296000,213000000,-78640000,-62978000,-32893000,801000,50818000,200760000,70853000,388846000,209785000,-13585000,160438000,134444000,-21182000,235529000,119688000,-22148000,217036000,163566000,333107000,-3365000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13389000,-81306000,-61982000,-76588000,-48808000,-667000,14432000,139000000,-185040000,-125240000,-16812000,-43593000,40798000,184583000,67173000,2139000,198624000,-178749000,-6734000,-17321000,-113277000,-3494000,-103584000,-139551000,-42606000,-136371000,16989000,-149484000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-480000,720000,-540000,-1023000,15962000,88471000,-4543000,-40000000,-23952000,32423000,-51756000,28953000,-42464000,-1926000,862000,44159000,175690000,-200864000,-1286000,51635000,-21354000,57994000,-53322000,15169000,190843000,-50238000,57862000,-59873000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,7748000,8468000,7928000,6905000,22867000,111338000,106795000,67000000,42736000,75159000,23403000,52356000,9892000,7966000,8828000,52987000,228677000,27813000,26527000,78162000,56808000,114802000,61480000,76649000,267492000,217254000,275116000,215243000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,8228000,7748000,8468000,7928000,6905000,22867000,111338000,107000000,66688000,42736000,75159000,23403000,52356000,9892000,7966000,8828000,52987000,228677000,27813000,26527000,78162000,56808000,114802000,61480000,76649000,267492000,217254000,275116000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,15134000,84465000,80770000,78898000,80703000,119614000,-6667000,-188000000,213365000,162095000,-5074000,-31818000,-55270000,-207150000,-107031000,32488000,-32852000,-27522000,9508000,70239000,90249000,59173000,50756000,152532000,213773000,87920000,77193000,63265000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1057877/000105787701500004/0001057877-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787702000005/0001057877-02-000005-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787703000012/0001057877-03-000012-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787704000036/0001057877-04-000036-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787705000043/0001057877-05-000043-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787706000035/a10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787707000038/a10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787708000038/b10k1.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787709000032/0001057877-09-000032-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787710000022/0001057877-10-000022-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787711000047/esa10k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787712000044/0001057877-12-000044-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787713000040/0001057877-13-000040-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787714000036/ida12311310k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787715000043/ida12311410k.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787716000209/0001057877-16-000209-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787717000035/0001057877-17-000035-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787718000027/0001057877-18-000027-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787719000024/0001057877-19-000024-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787720000040/0001057877-20-000040-index.html,https://www.sec.gov/Archives/edgar/data/1057877/000105787721000036/0001057877-21-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1057877/000105787722000014/0001057877-22-000014-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
