,https://roic.ai/company/CPB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
75,Deferred Income Tax,- -,- -,- -,-67800000,3900000,35500000,34400000,-48000000,34000000,40000000,32000000,-24000000,-21000000,78000000,17000000,4000000,5000000,72000000,51000000,47000000,29000000,10000000,29000000,144000000,54000000,46000000,45000000,-171000000,11000000,-33000000,-30000000,93000000,-133000000,14000000,-6000000,137000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84000000,88000000,87000000,79000000,113000000,57000000,57000000,64000000,60000000,61000000,58000000,61000000,64000000
77,Change in Working Capital,- -,- -,- -,-155800000,-2000000,-126900000,-38600000,-366200000,100300000,-519000000,-28000000,-787000000,35000000,-489000000,-12000000,-35000000,420000000,-14000000,635000000,368000000,-360000000,398000000,-258000000,633000000,-301000000,352000000,-273000000,-762000000,172000000,176000000,66000000,152000000,-803000000,-120000000,728000000,571000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,21000000,-15000000,-18000000,-48000000,-38000000,12000000,24000000,28000000,56000000,-11000000,-30000000,-20000000
79,Inventory,- -,- -,- -,-113200000,10700000,48700000,7100000,-90200000,18000000,63000000,-27000000,-31000000,-29000000,-58000000,23000000,-1000000,-30000000,-33000000,-67000000,6000000,-2000000,-29000000,-91000000,-14000000,105000000,-14000000,32000000,-146000000,-56000000,-14000000,59000000,46000000,-84000000,36000000,-20000000,-77000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,369400000,367400000,240500000,201900000,-164300000,-64000000,-583000000,-611000000,-1398000000,-1363000000,-1852000000,-1864000000,-1899000000,-1479000000,-1493000000,-858000000,-490000000,-850000000,-452000000,-710000000,-77000000,-378000000,-26000000,-299000000,-1061000000,-889000000,-713000000,-647000000,-495000000,-1298000000,-1418000000,-690000000,-119000000
82,Other Non-Cash Items,- -,- -,- -,375500000,241200000,286500000,41800000,816200000,-51300000,672000000,81000000,957000000,478000000,364000000,195000000,222000000,-252000000,-23000000,-849000000,-411000000,502000000,-871000000,-464000000,-695000000,121000000,-416000000,233000000,974000000,-464000000,13000000,492000000,-219000000,1525000000,789000000,-1343000000,-1056000000
83,Cash Provided by Operating Activities,- -,- -,- -,357300000,448400000,805200000,744300000,652400000,968000000,1185000000,1213000000,1187000000,1413000000,932000000,1165000000,1106000000,1017000000,873000000,744000000,990000000,1226000000,674000000,766000000,1166000000,1057000000,1142000000,1120000000,1019000000,899000000,1182000000,1463000000,1291000000,1305000000,1398000000,1396000000,1035000000
84,CAPEX,- -,- -,- -,-284100000,-387600000,-361100000,-336500000,-366300000,-421000000,-391000000,-416000000,-331000000,-256000000,-297000000,-200000000,-200000000,-269000000,-283000000,-288000000,-332000000,-309000000,-334000000,-298000000,-345000000,-315000000,-272000000,-323000000,-336000000,-347000000,-380000000,-341000000,-338000000,-407000000,-384000000,-299000000,-275000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1255000000,-186000000,-228000000,-478000000,-105000000,- -,-911000000,-15000000,-177000000,-9000000,- -,- -,906000000,819000000,-28000000,- -,- -,- -,-1806000000,191000000,-232000000,- -,- -,-6771000000,523000000,2537000000,109000000
86,Purchases of Investments,- -,- -,- -,-29900000,-4900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,38900000,8600000,9700000,7200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,- -
88,Other Investing Activites,- -,- -,- -,-198100000,-3600000,-127300000,-57700000,-235000000,12000000,-12000000,-7000000,261000000,343000000,80000000,-4000000,-11000000,-4000000,32000000,22000000,18000000,15000000,31000000,10000000,-5000000,15000000,11000000,- -,-12000000,22000000,9000000,-13000000,-30000000,-19000000,14000000,4000000,8000000
89,Cash Used for Investing Activites,- -,- -,- -,-473200000,-387500000,-478700000,-387000000,-601300000,-409000000,-1658000000,-609000000,-298000000,-391000000,-322000000,-204000000,-1122000000,-288000000,-432000000,-275000000,-314000000,-294000000,603000000,531000000,-378000000,-300000000,-261000000,-323000000,-2154000000,-134000000,-603000000,-354000000,-368000000,-7197000000,153000000,2272000000,-158000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300000000,- -,-700000000,- -,-400000000,-702000000,-309000000,- -,-490000000,-10007000000,-6998000000,-7408000000,-1501000000
91,Common Stock Issued,- -,- -,- -,- -,- -,47700000,19200000,35500000,16000000,37000000,64000000,106000000,102000000,57000000,20000000,24000000,14000000,17000000,25000000,71000000,236000000,165000000,47000000,72000000,139000000,96000000,112000000,83000000,18000000,9000000,2000000,2000000,- -,- -,23000000,2000000
92,Common Stock Repurchased,- -,- -,- -,- -,-28700000,-175600000,-149600000,-42300000,-145000000,-24000000,-244000000,-1696000000,-669000000,-1026000000,-394000000,-618000000,-5000000,-24000000,-56000000,-110000000,-506000000,-1140000000,-903000000,-527000000,-472000000,-728000000,-412000000,-153000000,-76000000,-244000000,-143000000,-437000000,-86000000,- -,- -,-36000000
93,Dividends Paid,- -,- -,- -,-86700000,-124300000,-137500000,-166400000,-216400000,-266000000,-295000000,-338000000,-350000000,-367000000,-386000000,-384000000,-374000000,-286000000,-259000000,-259000000,-275000000,-292000000,-308000000,-329000000,-350000000,-365000000,-378000000,-373000000,-367000000,-391000000,-394000000,-390000000,-420000000,-426000000,-423000000,-426000000,-439000000
94,Other Financing Activites,- -,- -,- -,249800000,51200000,45800000,-132700000,126000000,-139000000,708000000,-113000000,1030000000,-71000000,741000000,-185000000,983000000,-449000000,-166000000,-185000000,-354000000,244000000,-580000000,-115000000,291000000,142000000,1010000000,-247000000,2074000000,226000000,412000000,-540000000,434000000,16326000000,5830000000,4824000000,305000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,163100000,-101800000,-219600000,-429500000,-97200000,-534000000,426000000,-631000000,-910000000,-1005000000,-614000000,-943000000,15000000,-726000000,-432000000,-475000000,-668000000,-318000000,-1863000000,-1300000000,-814000000,-556000000,-700000000,-920000000,1237000000,-925000000,-526000000,-1071000000,-911000000,5807000000,-1591000000,-2987000000,-1669000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-12100000,700000,-8700000,5400000,-3400000,6000000,4000000,8000000,13000000,-18000000,-6000000,3000000,-2000000,-6000000,2000000,6000000,- -,3000000,- -,13000000,-4000000,2000000,49000000,-26000000,-36000000,-9000000,-32000000,5000000,11000000,-8000000,-7000000,-1000000,2000000
97,Net Change In Cash,- -,- -,- -,163100000,-101800000,-219600000,-429500000,-97200000,-534000000,-43000000,-19000000,-8000000,-1000000,-10000000,21000000,-3000000,-3000000,11000000,- -,8000000,617000000,-586000000,10000000,-30000000,203000000,230000000,-149000000,-2000000,-101000000,21000000,43000000,23000000,-93000000,-18000000,828000000,-790000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,53000000,34000000,26000000,16000000,6000000,27000000,24000000,21000000,32000000,32000000,40000000,657000000,71000000,81000000,51000000,254000000,484000000,335000000,333000000,232000000,253000000,296000000,319000000,226000000,31000000,859000000,69000000
99,Cash at the Beginning of Period,- -,- -,- -,112000000,120900000,80700000,178900000,112100000,63000000,96000000,53000000,34000000,17000000,16000000,6000000,27000000,24000000,21000000,32000000,32000000,40000000,657000000,71000000,81000000,51000000,254000000,484000000,335000000,333000000,232000000,253000000,296000000,319000000,49000000,31000000,859000000
100,Free Cash Flow,- -,- -,- -,73200000,60800000,444100000,407800000,286100000,547000000,794000000,797000000,856000000,1157000000,635000000,965000000,906000000,748000000,590000000,456000000,658000000,917000000,340000000,468000000,821000000,742000000,870000000,797000000,683000000,552000000,802000000,1122000000,953000000,898000000,1014000000,1097000000,760000000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16732/000089322094000416/0000893220-94-000416-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322095000638/0000893220-95-000638-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/16732/000089322002001206/0000893220-02-001206-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322003001648/w90322e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322004002108/w99443e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322005002271/w12996e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322006002166/w23178e10vk.htm,https://www.sec.gov/Archives/edgar/data/16732/000089322007003194/0000893220-07-003194-index.html,https://www.sec.gov/Archives/edgar/data/16732/000089322008002633/0000893220-08-002633-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012309047208/0000950123-09-047208-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012310090083/0000950123-10-090083-index.html,https://www.sec.gov/Archives/edgar/data/16732/000095012311087197/0000950123-11-087197-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673212000024/0000016732-12-000024-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673213000023/0000016732-13-000023-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673214000023/0000016732-14-000023-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673215000034/0000016732-15-000034-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673216000146/cpb-7312016x10xk.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673217000058/0000016732-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673218000062/0000016732-18-000062-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673219000070/0000016732-19-000070-index.html,https://www.sec.gov/Archives/edgar/data/16732/000001673220000111/0000016732-20-000111-index.htm,https://www.sec.gov/Archives/edgar/data/16732/000001673221000103/0000016732-21-000103-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
