,https://roic.ai/company/FUL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15691000,-17461000,-21862000,-17341000,-7281000,-18893000,-12038000,1874000,-26826000,-39429000,-25632000,-14842000,-124849000
79,Inventory,- -,- -,- -,- -,-3300000,-9200000,-1800000,-5000000,-10000000,-15200000,-2300000,7700000,-2500000,-4500000,9400000,-11142000,11992000,1669000,3986000,-4253000,7053000,14440000,-12648000,-12644000,35686000,-5190000,-12955000,-17081000,-11797000,-36227000,-4588000,-3495000,-10560000,-17068000,19584000,15708000,-135351000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31863000,-8762000,13329000,-4845000,16258000,-14544000,5794000,-12292000,44365000,25401000,11553000,23130000,176337000
81,Other Working Capital,- -,- -,- -,- -,95700000,96100000,108800000,130800000,120000000,129700000,142000000,141600000,171700000,172700000,174200000,208400000,199700000,194028000,248500000,260300000,320500000,326700000,338200000,249100000,237700000,302300000,341600000,449200000,433916000,447900000,451526000,419409000,652676000,543796000,491205000,489644000,484320000
82,Other Non-Cash Items,- -,- -,- -,- -,4700000,14500000,-12300000,-6700000,18000000,-23200000,-3400000,-10700000,-45200000,-14500000,18000000,-57591000,-433000,2493000,-87573000,8578000,-46687000,14308000,-44094000,80491000,-87299000,-118380000,-80265000,-188776000,-32406000,-122074000,24133000,9770000,-235777000,76191000,54770000,78400000,-124484000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,41300000,62600000,56800000,82500000,46900000,50800000,78800000,81300000,68600000,52000000,113700000,77974000,89668000,82324000,59677000,123249000,125836000,194487000,123527000,28145000,71410000,74068000,102497000,94748000,132693000,29734000,210529000,195688000,140790000,253312000,269177000,331559000,213317000
84,CAPEX,- -,- -,- -,- -,-42700000,-31500000,-30000000,-34500000,-53300000,-65000000,-90700000,-89800000,-69200000,-154800000,-60800000,-49044000,-30725000,-36278000,-39263000,-31260000,-25455000,-21144000,-20890000,-19959000,-22738000,-35910000,-36032000,-35913000,-126675000,-139794000,-58624000,-63310000,-54934000,-68263000,-61982000,-87288000,-96089000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5388000,- -,- -,- -,-19295000,-537000,-311871000,-1155000,-6436000,-4175000,-27573000,-6000000,-412606000,-8614000,-26334000,-217572000,-52547000,-1745415000,3499000,52131000,-15123000,-5445000
86,Purchases of Investments,- -,- -,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3517000,- -,-3106000,-3000000,-2611000,- -,-12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1250000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,400000,- -,- -,- -,300000,- -,- -,- -,- -,- -,- -,- -,1567000,- -,- -,1877000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,100000,-2100000,1300000,-100000,-75700000,-2600000,21000000,4700000,9100000,11000000,15694000,7309000,10094000,5710000,3202000,21977000,105349000,71999000,211000,1109000,3417000,3313000,121987000,-252000,6111000,17375000,4332000,672000,2923000,17256000,-7049000,6874000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-42300000,-31900000,-32100000,-33200000,-53100000,-140700000,-93300000,-68800000,-64500000,-145700000,-49800000,-38738000,-25366000,-26184000,-36659000,-48476000,1374000,-227666000,37954000,-26184000,-25804000,-60066000,-38719000,-326532000,-133154000,-160017000,-258821000,-111525000,-1800927000,-61841000,7405000,-109460000,-94660000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-391934000,-329625000,-240500000,-292333000,-130047000,-483250000,-213873000,-22500000,-1087026000,-199026000,-288600000,-518000000,-156500000
91,Common Stock Issued,- -,- -,- -,- -,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7293000,19870000,13835000,1392000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,-3000000,-8900000,-500000,-200000,-1500000,-1500000,- -,- -,-15500000,-100000,-600000,- -,- -,- -,- -,- -,- -,- -,-100219000,-200750000,-362000,-377000,-8510000,-4333000,-17638000,-15510000,-19290000,-23228000,-21831000,-4688000,-3026000,-3432000,-2682000
93,Dividends Paid,- -,- -,- -,- -,-5400000,-5400000,-5600000,-6400000,-7500000,-8000000,-8700000,-9200000,-10100000,-10900000,-11400000,-11786000,-12095000,-12406000,-12662000,-13074000,-13961000,-14752000,-15499000,-13422000,-13124000,-13624000,-14550000,-16454000,-19334000,-23087000,-25683000,-27518000,-29612000,-31124000,-32357000,-33461000,-34859000
94,Other Financing Activites,- -,- -,- -,- -,1600000,-14500000,-15300000,-30300000,4400000,91300000,22200000,-8700000,21100000,106500000,-50700000,-22418000,-51417000,-51452000,-10726000,-898000,-26848000,116156000,-82681000,68075000,366375000,368025000,220743000,587035000,118357000,576811000,363064000,20656000,2848659000,6237000,8937000,315682000,39971000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-6600000,-28800000,-21400000,-36900000,-4600000,81800000,13500000,-17900000,-4500000,95500000,-62700000,-34204000,-63512000,-63858000,-23388000,-13972000,-33516000,121274000,-184564000,-144705000,-39045000,24399000,-42817000,273915000,-48662000,54964000,104218000,-52590000,1710190000,-228601000,-315046000,-239211000,-154070000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,1800000,-2000000,1500000,-1200000,500000,300000,-200000,-500000,200000,- -,-364000,175000,-70000,-36000,2967000,-3091000,9720000,14312000,-23244000,13223000,-5278000,1911000,3656000,2671000,-2233000,-9033000,-8496000,2100000,-6475000,-138000,5455000,-3335000
97,Net Change In Cash,- -,- -,- -,- -,-6600000,-28800000,-21400000,-36900000,-4600000,81800000,13500000,-17900000,-4500000,95500000,1200000,4668000,965000,-7788000,-406000,63768000,90603000,97815000,-8771000,-165988000,19784000,33123000,22872000,45787000,-45315000,-77552000,41599000,23077000,52153000,-43605000,-38602000,-11657000,-38748000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5800000,10489000,11454000,3666000,3260000,67028000,157631000,255362000,246358000,80370000,100154000,133277000,156149000,200436000,155121000,77569000,119168000,142245000,194398000,150793000,112191000,100534000,61786000
99,Cash at the Beginning of Period,- -,- -,- -,- -,18000000,10400000,14000000,15200000,29400000,17400000,9800000,9100000,3500000,2700000,4600000,5821000,10489000,11454000,3666000,3260000,67028000,157547000,255129000,246358000,80370000,100154000,133277000,154649000,200436000,155121000,77569000,119168000,142245000,194398000,150793000,112191000,100534000
100,Free Cash Flow,- -,- -,- -,- -,-1400000,31100000,26800000,48000000,-6400000,-14200000,-11900000,-8500000,-600000,-102800000,52900000,28930000,58943000,46046000,20414000,91989000,100381000,173343000,102637000,8186000,48672000,38158000,66465000,58835000,6018000,-110060000,151905000,132378000,85856000,185049000,207195000,244271000,117228000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000095013196000666/0000950131-96-000666-index.html,https://www.sec.gov/Archives/edgar/data/39368/000095010997001762/0000950109-97-001762-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000104596902000336/0001045969-02-000336-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/39368/000119312505037453/0001193125-05-037453-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312506031637/0001193125-06-031637-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312507033125/0001193125-07-033125-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312508015595/0001193125-08-015595-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312509012966/0001193125-09-012966-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312510010656/0001193125-10-010656-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312511010956/0001193125-11-010956-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312512026988/0001193125-12-026988-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312513028025/0001193125-13-028025-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312514020505/0001193125-14-020505-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000119312515023748/0001193125-15-023748-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774916024185/0001437749-16-024185-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774917001382/0001437749-17-001382-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774918001406/0001437749-18-001406-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774919001433/0001437749-19-001433-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774920001155/0001437749-20-001155-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774921001261/0001437749-21-001261-index.htm,https://www.sec.gov/Archives/edgar/data/39368/000143774922001550/0001437749-22-001550-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
