,https://roic.ai/company/ENZ,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,- -,- -,2300000,19100000,51600000,-29100000,5900000,-26500000,-8500000,7100000,-9400000,-5800000,-2000000,-18066000,-14672400,-8112500,1840900,5402500,1850000,20627800,-25206000,22045000,39064000,21712000,6920000,41472000,15895000,-3970000,-12948000,-45475000,-3299000,11074000,-4943000,36272000,-20321000
83,Cash Provided by Operating Activities,- -,- -,- -,-4700000,-5100000,-2300000,2100000,800000,-3200000,9100000,6100000,7700000,8300000,11100000,4931500,7996900,9558100,12120600,-5582000,12828500,-10125000,-3766000,-8564000,-11477000,-13464000,-8326000,-5972000,-10016000,-1697000,-3700000,53126000,-205000,-2735000,4806000,-17179000,387000
84,CAPEX,- -,- -,- -,-8900000,-7800000,-6500000,-1800000,-900000,-1200000,-1000000,-700000,-700000,-600000,-1100000,-790500,-1013900,-620400,-956700,-1303800,-1275700,-4227000,-1448000,-3231000,-2709000,-3251000,-1223000,-1364000,-988000,-838000,-1783000,-1530000,-1753000,-1888000,-8126000,-2170000,-4436000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16888000,-16144000,-14541000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-400000,- -,- -,- -,- -,-2349000,- -,-69000,- -,- -,-361956000,-213643000,-167646000,-48497000,- -,- -,- -,- -,- -,- -,- -,- -,-30061000
87,Sales/Maturities of Investments,- -,- -,- -,800000,100000,200000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10442800,6760000,- -,- -,318650000,232140000,182453000,58497000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,600000,-2900000,3200000,-300000,-200000,-300000,-400000,-300000,-500000,-400000,- -,-458200,-572900,-505100,-15662100,-442400,-19700,73000,-88000,594000,-2325000,-3170000,-1268000,-2539000,-971000,-833000,-1752000,-1512000,-1749000,-1944000,-8126000,-2170000,-4436000
89,Cash Used for Investing Activites,- -,- -,- -,-8000000,-10600000,-3100000,-1900000,-1100000,-1500000,-1400000,-1000000,-1200000,-1000000,-1500000,-1248700,-1586800,-1125500,-16618800,-4095200,9147400,2537000,-18424000,-18781000,-60172000,15327000,13539000,7461000,-971000,-833000,-1752000,-1512000,-1749000,-1944000,-8126000,-2170000,-34497000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-68000,-154000,-10370000,-79439000,-89095000,-91901000,-42816000,-327000,-404000,-411000,-339000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,300000,100000,8000000,1400000,1700000,1100000,1100000,200000,4126200,1233900,128000,630800,895700,505900,611000,57497000,470000,- -,- -,- -,- -,1825000,11542000,6688000,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-96600,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,-4100000,-1300000,-200000,100000,300000,-2200000,-100000,-200000,- -,- -,- -,- -,- -,- -,13000,- -,-150000,- -,-12000,348000,- -,- -,- -,13360000,78814000,88632000,89970000,41147000,886000,4597000,7412000,97000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-4100000,-1300000,100000,200000,8300000,-800000,1600000,900000,1100000,200000,4126200,1233900,31400,630800,908700,505900,461000,57497000,458000,348000,- -,-68000,-154000,4815000,10917000,6225000,-1931000,-1669000,559000,4193000,7001000,-242000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11000,60000,-92000,-33000,257000,-420000,103000,61000,-119000,-15000,13000,-6000,-18000,67000,11000
97,Net Change In Cash,- -,- -,- -,- -,-4100000,-1300000,100000,200000,8300000,-800000,1600000,900000,1100000,9700000,7809000,7644000,8464000,-3867400,-8768500,22481800,-7127000,35295000,-26827000,-71393000,1830000,5402000,915000,-6069000,8448000,654000,49668000,-3610000,-4126000,855000,-12281000,-34341000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43200000,51027000,58671000,67135000,63267600,54499100,76980900,69854000,105149000,78322000,6929000,8759000,14161000,15076000,9007000,17455000,18109000,67777000,64167000,60041000,60896000,48615000,14274000
99,Cash at the Beginning of Period,- -,- -,- -,42600000,27100000,7200000,500000,700000,700000,4200000,11100000,17800000,25300000,33500000,43218000,51027000,58671000,67135000,63267600,54499100,76981000,69854000,105149000,78322000,6929000,8759000,14161000,15076000,9007000,17455000,18109000,67777000,64167000,60041000,60896000,48615000
100,Free Cash Flow,- -,- -,- -,-13600000,-12900000,-8800000,300000,-100000,-4400000,8100000,5400000,7000000,7700000,10000000,4141000,6983000,8937700,11163900,-6885800,11552800,-14352000,-5214000,-11795000,-14186000,-16715000,-9549000,-7336000,-11004000,-2535000,-5483000,51596000,-1958000,-4623000,-3320000,-19349000,-4049000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316253/000091205795009076/0000912057-95-009076-index.html,https://www.sec.gov/Archives/edgar/data/316253/000091205796024014/0000912057-96-024014-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316253/000112528200000158/0001125282-00-000158-index.html,https://www.sec.gov/Archives/edgar/data/316253/000112528201502349/0001125282-01-502349-index.html,https://www.sec.gov/Archives/edgar/data/316253/000112528202003143/0001125282-02-003143-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/316253/000093041307007918/0000930413-07-007918-index.html,https://www.sec.gov/Archives/edgar/data/316253/000093041308005993/0000930413-08-005993-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041309005184/0000930413-09-005184-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041310005072/0000930413-10-005072-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041311006671/0000930413-11-006671-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041312005743/0000930413-12-005743-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041313004942/0000930413-13-004942-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041314004315/0000930413-14-004315-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041315003965/0000930413-15-003965-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041316008464/0000930413-16-008464-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041317003368/0000930413-17-003368-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041318003072/0000930413-18-003072-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000093041319002691/0000930413-19-002691-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000121390020032066/0001213900-20-032066-index.htm,https://www.sec.gov/Archives/edgar/data/316253/000121390021052364/0001213900-21-052364-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
