,https://roic.ai/company/GVA,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
86,Purchases of Investments,- -,- -,-19800000,-8700000,-100000,-49800000,-54200000,-56300000,-45600000,-27400000,-91100000,-98100000,-84671000,-139092000,-494633000,-190957000,-96975000,-96877000,-233868000,-152954000,-79630000,-118325000,-137534000,-159510000,-124596000,-74924000,-64975000,-104971000,-129685000,-124543000,-9952000,- -,-9996000,-10000000
87,Sales/Maturities of Investments,- -,18700000,- -,- -,4700000,48800000,51100000,42700000,56700000,42500000,50500000,110800000,92944000,113295000,430549000,191863000,113243000,113734000,153024000,195313000,130589000,58040000,94204000,145742000,165100000,68650000,80000000,104260000,109331000,121052000,75000000,30000000,39996000,- -
88,Other Investing Activites,- -,2800000,2200000,-300000,-1300000,1000000,4300000,600000,-900000,-15900000,5900000,15100000,-14785000,5339000,23423000,28860000,31941000,21187000,13399000,-14064000,14767000,23020000,21557000,29617000,34204000,26690000,29183000,14183000,14934000,12000000,13670000,42733000,21991000,83332000
89,Cash Used for Investing Activites,- -,900000,-45000000,-38900000,-14300000,-17900000,-37900000,-49000000,-35900000,-49200000,-87200000,-54200000,-58966000,-97123000,-134110000,-33039000,-41427000,-64785000,-183683000,-166744000,-18257000,-129879000,-60435000,-27728000,-42554000,-31648000,780000,-30707000,-96390000,-59186000,-39598000,-40322000,-41262000,-21478000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17092000,-18856000,-19829000,-16907000,-11751000,-12148000,-1226000,-46763000,-45025000,-45000000,-153924000,-313150000,-83433000,-8922000
91,Common Stock Issued,- -,- -,23100000,- -,- -,- -,100000,1100000,700000,200000,800000,- -,431000,- -,2953000,43000,161000,- -,2599000,480000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11500000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-200000,- -,- -,-2300000,- -,-500000,-3100000,-2400000,-25000000,-2854000,-2455000,-13185000,-1316000,-6427000,-5263000,-7375000,-98014000,-45540000,-3431000,-3641000,-4029000,-4854000,-5896000,-5124000,-3777000,-5227000,-6977000,-16557000,-36900000,-885000,-2730000
93,Dividends Paid,- -,- -,-1200000,-2300000,-2300000,-2300000,- -,-4700000,-6600000,-6600000,-7700000,-10600000,-11713000,-12590000,-13197000,-15763000,-16636000,- -,-16722000,-16764000,-65964000,-46076000,-41648000,-41698000,-20117000,-20210000,-20319000,-20445000,-20563000,-20687000,-22424000,-24316000,-23712000,-23804000
94,Other Financing Activites,- -,-18400000,-29400000,-13400000,-12100000,-15500000,-11300000,-11500000,300000,10600000,8600000,-10800000,-5817000,54952000,-19648000,-9627000,7090000,-38199000,-49450000,193795000,-2074000,12054000,9301000,2985000,52486000,-28347000,9587000,31589000,30549000,30040000,191031000,281229000,50372000,11010000
95,Cash Used/Provided by Financing Activities,- -,-18400000,-7500000,-15900000,-14400000,-17800000,-13500000,-15100000,-6100000,1100000,-700000,-46400000,-19953000,39907000,-43077000,-26663000,-15812000,-43462000,-70948000,79497000,-130670000,-56309000,-55817000,-59649000,15764000,-66601000,-17082000,-39396000,-40266000,-42624000,-1874000,-81637000,-57658000,-24446000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,-18400000,-7500000,-15900000,-14400000,-17800000,-13500000,-15100000,-6100000,1100000,-700000,-700000,-4073000,67415000,-73142000,17887000,91708000,38254000,5012000,147541000,108409000,-121887000,-86934000,4968000,65000000,-92869000,26840000,-3125000,-63510000,44385000,44918000,-10521000,169540000,-23993000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61800000,57759000,125174000,52032000,69919000,161627000,199881000,204893000,352434000,460843000,338956000,252022000,256990000,321990000,229121000,255961000,252836000,189326000,233711000,278629000,268108000,437648000,413655000
99,Cash at the Beginning of Period,- -,19500000,39600000,24000000,19800000,23500000,20900000,17600000,22400000,38700000,54400000,62500000,61832000,57759000,125174000,52032000,69919000,161627000,199881000,204893000,352434000,460843000,338956000,252022000,256990000,321990000,229121000,255961000,252836000,189326000,233711000,278629000,268108000,437648000
100,Free Cash Flow,- -,17000000,9500000,20800000,14700000,15200000,9100000,32900000,12100000,15400000,43500000,18000000,22392000,59366000,46630000,14784000,59311000,43672000,143405000,116176000,163201000,-23344000,-7686000,47310000,54168000,-38302000,-286000,22799000,-17824000,78500000,-24711000,4610000,175207000,-72879000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/861459/000095014901000410/0000950149-01-000410-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/861459/000095014904000640/f96065e10vk.htm,https://www.sec.gov/Archives/edgar/data/861459/000095013405004180/f04753e10vk.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145906000005/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145907000007/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145908000003/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145909000005/0000861459-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145910000002/0000861459-10-000002-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145911000014/form10-k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145912000006/0000861459-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145913000005/0000861459-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145914000007/gva1231201310k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145915000007/gva1231201410k.htm,https://www.sec.gov/Archives/edgar/data/861459/000086145916000040/0000861459-16-000040-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145917000012/0000861459-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/861459/000086145918000008/0000861459-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/861459/000156459019003791/0001564590-19-003791-index.html,https://www.sec.gov/Archives/edgar/data/861459/000143774921003662/0001437749-21-003662-index.htm,https://www.sec.gov/Archives/edgar/data/861459/000143774921007679/0001437749-21-007679-index.htm,https://www.sec.gov/Archives/edgar/data/861459/000143774922004482/0001437749-22-004482-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
