,https://roic.ai/company/IFF,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,-11300000,-10600000,-13100000,-18700000,-17100000,-46000000,-43500000,30200000,-20500000,-31400000,-34000000,64591000,-1207000,17259000,7690000,363000,-117000,9492000,-12406000,-19736000,47090000,-86250000,-25199000,4571000,4822000,-40042000,-37628000,15452000,-18911000,-117641000,-62129000,17924000,-363000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116817000,12252000,-740000,10074000,7753000,89273000,-7642000,29114000,55136000,55464000,27923000,419000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,704800000,759600000,725900000,670600000,575100000,465700000,-160077000,336147000,507252000,376627000,561848000,-11422000,633032000,651582000,710027000,643612000,664244000,752654000,949827000,1092537000,1191219000,713756000,710717000,1127776000,1813549000,1390354000,1156073000,-44000000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,7300000,-10900000,-5900000,-31900000,-723900000,-106400000,106300000,17700000,43200000,91000000,733034000,-536101000,-181782000,152468000,-169977000,498318000,-685363000,-28061000,-167953000,81703000,-56995000,-287317000,-280378000,-195171000,-130187000,365994000,-7992000,-525391000,-808095000,367754000,289908000,346000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,146800000,192400000,184300000,203600000,206300000,239500000,244300000,308000000,239100000,216400000,195800000,269110000,181505000,243344000,269596000,295847000,177160000,262901000,314062000,220613000,291637000,315136000,189190000,323796000,407562000,518390000,433578000,535406000,390756000,437575000,698965000,714098000,1437000000
84,CAPEX,- -,- -,- -,- -,-33400000,-41400000,-53300000,-49400000,-81100000,-101100000,-94500000,-79400000,-58200000,-89700000,-101900000,-60696000,-52016000,-81815000,-65955000,-70607000,-93433000,-58282000,-65614000,-85395000,-66819000,-106301000,-127457000,-126140000,-134157000,-143182000,-101030000,-126412000,-128973000,-173420000,-242048000,-191794000,-397000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-953295000,- -,-11791000,-6400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-102500000,-493424000,-236836000,-192328000,-4847186000,-53720000,- -,361000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,-31000000,- -,- -,-111800000,-130800000,-57300000,-9900000,- -,-1000000,-1111000,-19786000,-176000,-161000,- -,- -,-240000,-13170000,-7198000,-15853000,-3858000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,49900000,89800000,165400000,160100000,44600000,23100000,41800000,1100000,1566000,8250000,257000,33000,132000,35000,- -,10471000,- -,- -,1719000,- -,- -,- -,- -,- -,- -,- -,- -,25900000,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,-236300000,- -,- -,- -,- -,100000,- -,- -,-100000,- -,11301000,14900000,64634000,97675000,38997000,2787000,27235000,16959000,2848000,1784000,1657000,-3706000,11879000,28751000,24349000,17298000,7785000,21371000,7371000,44002000,4331000,14000000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-33400000,-277700000,-84300000,500000,8700000,-47500000,-65100000,-92100000,-45000000,-48000000,-101800000,-1002235000,-48652000,-28891000,25192000,-31478000,-90611000,-31287000,-51354000,-89745000,-80888000,-106783000,-131163000,-114261000,-105406000,-221333000,-577156000,-355463000,-299930000,-5013235000,-225866000,-187463000,-18000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-139364000,-238394000,- -,-123708000,- -,-383225000,- -,- -,-259344000,-254499000,-377552000,-156282000,-347001000,-933000000
91,Common Stock Issued,- -,- -,- -,- -,5000000,3300000,3900000,5200000,21700000,5600000,8600000,9600000,15400000,4600000,4300000,1387000,6842000,29579000,26278000,76452000,23015000,110867000,50116000,7353000,7010000,26224000,14656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-9000000,-17900000,-125700000,-32400000,-41400000,-59800000,-71000000,-134400000,-46300000,-200953000,-71234000,-72273000,-55447000,-66469000,-98319000,-270998000,-577001000,-29995000,-1967000,- -,- -,- -,-51363000,-88203000,-122193000,-127443000,-58069000,-15475000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-72900000,-82300000,-91700000,-104500000,-114600000,-120500000,-138000000,-150900000,-157700000,-159600000,-161200000,-155502000,-57618000,-56826000,-58174000,-63214000,-67779000,-67381000,-76600000,-74865000,-78841000,-81181000,-90250000,-130943000,-87347000,-133239000,-158870000,-184897000,-206118000,-230218000,-313510000,-322584000,-667000000
94,Other Financing Activites,- -,- -,- -,- -,5900000,-7800000,2600000,-1100000,100000,-11400000,-400000,5000000,-9700000,15100000,63900000,1163160000,-87371000,-150532000,-212910000,-192139000,300441000,-168361000,375489000,142202000,- -,-101787000,98595000,156347000,304897000,19112000,149767000,551990000,476128000,5493948000,-35265000,158015000,296000000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-62000000,-86800000,-94200000,-118300000,-218500000,-158700000,-171200000,-196100000,-223000000,-274300000,-139300000,808092000,-209381000,-250052000,-300253000,-245370000,157358000,-395873000,-227996000,-94669000,-312192000,-156744000,-100707000,25404000,-217038000,-202330000,-131296000,-19694000,-42558000,4870703000,-505057000,-511570000,-1304000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,2100000,11600000,-300000,-8900000,-20000000,10100000,12800000,-9900000,-15600000,3800000,-7500000,-8233000,-3820000,1936000,2688000,1516000,-3958000,6222000,2251000,-9203000,3111000,-412000,-373000,1204000,-4035000,-21659000,-21711000,-18245000,-4214000,-14567000,7381000,- -,-59000000
97,Net Change In Cash,- -,- -,- -,- -,-62000000,-86800000,-94200000,-118300000,-218500000,- -,- -,- -,- -,- -,-52900000,66734000,-80348000,-33663000,-2777000,20515000,239949000,-158037000,36963000,26996000,-98332000,51197000,-43053000,236143000,81083000,73068000,-296585000,142004000,44054000,280476000,-24577000,35927000,56000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62100000,128869000,48521000,14858000,12081000,32596000,272545000,114508000,151471000,178467000,80135000,131332000,88279000,324422000,405505000,478573000,181988000,323992000,368046000,648522000,623945000,659872000,716000000
99,Cash at the Beginning of Period,- -,- -,- -,- -,235600000,289000000,128500000,134000000,210800000,187200000,230600000,251400000,261400000,217000000,115000000,62135000,128869000,48521000,14858000,12081000,32596000,272545000,114508000,151471000,178467000,80135000,131332000,88279000,324422000,405505000,478573000,181988000,323992000,368046000,648522000,623945000,660000000
100,Free Cash Flow,- -,- -,- -,- -,113400000,151000000,131000000,154200000,125200000,138400000,149800000,228600000,180900000,126700000,93900000,208414000,129489000,161529000,203641000,225240000,83727000,204619000,248448000,135218000,224818000,208835000,61733000,197656000,273405000,375208000,332548000,408994000,261783000,264155000,456917000,522304000,1040000000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095011095000190/0000950110-95-000190-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095011096000305/0000950110-96-000305-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095011097000547/0000950110-97-000547-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095010901000802/0000950109-01-000802-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095013002002044/0000950130-02-002044-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/51253/000095013607001053/file1.htm,https://www.sec.gov/Archives/edgar/data/51253/000095013608000919/file1.htm,https://www.sec.gov/Archives/edgar/data/51253/000095012309003569/0000950123-09-003569-index.html,https://www.sec.gov/Archives/edgar/data/51253/000119312510040927/0001193125-10-040927-index.html,https://www.sec.gov/Archives/edgar/data/51253/000095012311017927/c11287e10vk.htm,https://www.sec.gov/Archives/edgar/data/51253/000119312512084851/0001193125-12-084851-index.html,https://www.sec.gov/Archives/edgar/data/51253/000119312513077028/0001193125-13-077028-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125314000004/internationalflavors10k2013.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125315000004/internationalflavors10k2014.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125316000026/0000051253-16-000026-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125317000004/0000051253-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125318000005/0000051253-18-000005-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125319000004/0000051253-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125320000007/0000051253-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/51253/000005125321000011/0000051253-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/51253/000005125322000007/0000051253-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
