,https://roic.ai/company/IPAR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822663/000088981296000303/0000889812-96-000303-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822663/000114420407013234/0001144204-07-013234-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420408014388/0001144204-08-014388-index.htm,- -,https://www.sec.gov/Archives/edgar/data/822663/000114420410012581/0001144204-10-012581-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420411013508/0001144204-11-013508-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420412014284/0001144204-12-014284-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420413014616/0001144204-13-014616-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420414014887/0001144204-14-014887-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420415015369/0001144204-15-015369-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420416087700/0001144204-16-087700-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420417014248/0001144204-17-014248-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000161577418001852/0001615774-18-001852-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000161577419003459/0001615774-19-003459-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000121390020005153/0001213900-20-005153-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000121390021012513/0001213900-21-012513-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000175392622000273/0001753926-22-000273-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,500000,500000,900000,1900000,4300000,7100000,7300000,9000000,5700000,4500000,4600000,4800000,6589000,8119000,9405000,13837000,15703000,15263000,17742000,23817000,23765000,22367000,26593000,32303000,131136000,39211000,29436000,30437000,33331000,41594000,53793000,60249000,38219000,110027000
74,Depreciation and Amortization,- -,- -,- -,100000,300000,300000,400000,900000,1300000,1600000,1200000,1400000,2400000,2362000,2134000,2220000,3344000,3988000,4513000,5347000,8031000,9925000,10963000,9188000,13073000,15554000,11110000,10166000,9078000,15341000,11914000,11031000,8729000,9067000,12698000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,200000,-400000,476000,2000,830000,369000,155000,-1410000,843000,-657000,4118000,-3079000,-4558000,-1009000,-7903000,4844000,-557000,829000,-1374000,-591000,-158000,-2330000,581000,-465000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,947000,895000,1060000,832000,838000,856000,787000,1198000,2093000,2205000,3394000,3029000,2853000
77,Change in Working Capital,- -,- -,300000,1200000,2800000,10000000,14700000,-800000,10100000,5200000,-1600000,4700000,2800000,5288000,10516000,15624000,32142000,13896000,1218000,7463000,40013000,-4434000,23537000,-14069000,22136000,160950000,32664000,-16409000,-45261000,303000,44194000,254000,6406000,55684000,20290000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20912000,-5915000,-88915000,27302000,71776000,-19607000,-12573000,-13156000,-6016000,-23032000,1124000,13157000,-45395000
79,Inventory,- -,- -,- -,-900000,-2500000,-6400000,-5600000,-6100000,-1000000,2000000,100000,600000,400000,-6872000,-3282000,-1185000,-15881000,-1703000,5819000,-16053000,-28677000,-23285000,40628000,-29110000,-60494000,13568000,29240000,4344000,-4354000,-909000,-28518000,-29341000,-5925000,19333000,-49815000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40773000,-33156000,-4996000,12973000,18690000,5696000,25592000,-4960000,- -,103046000
