,https://roic.ai/company/VIAV,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-200000,-200000,-100000,-100000,5800000,-600000,-6100000,-100000,-45100000,-26600000,-32800000,-800000,462500000,-500000,415900000,-85000000,-255600000,5500000,9600000,38100000,11300000,23000000,644800000,-2500000,-97300000,462700000,213600000,-12300000,-27300000,-13800000
95,Cash Used/Provided by Financing Activities,-200000,-200000,11800000,900000,125300000,3900000,-1200000,15400000,782100000,391100000,32300000,20600000,481300000,14000000,444100000,-72000000,-353000000,-220900000,1000000,31100000,-1900000,-283800000,489600000,-7300000,-147700000,325300000,-180500000,-300400000,-71700000,-58800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4300000,-4800000,-1400000,700000,2000000,2300000,5100000,-6000000,-1500000,7100000,-5800000,900000,1800000,-18500000,-14400000,2500000,3100000,-12900000,-17100000,25200000
97,Net Change In Cash,-200000,-200000,11800000,900000,125300000,3900000,-1200000,42100000,243600000,443800000,-350400000,-170500000,85600000,183700000,-141800000,-2000000,-97300000,21300000,53300000,55200000,5700000,-120100000,16200000,50700000,135000000,521500000,-393000000,-93900000,17000000,161000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,75400000,319000000,762800000,412400000,241900000,327500000,511200000,364900000,362900000,265600000,286900000,340200000,395400000,401100000,281000000,297200000,347900000,482900000,1004400000,611400000,530400000,547400000,708400000
99,Cash at the Beginning of Period,1400000,2600000,2000000,3000000,2900000,52500000,29200000,33300000,75400000,319000000,762800000,412400000,241900000,327500000,506700000,364900000,362900000,265600000,286900000,340200000,395400000,401100000,281000000,297200000,347900000,482900000,1004400000,624300000,530400000,547400000
100,Free Cash Flow,1700000,-600000,700000,-8000000,-9800000,-36400000,14600000,20300000,1100000,-679300000,-46800000,-267200000,-201600000,-176700000,-148400000,-14400000,145500000,52700000,77800000,88600000,46900000,122700000,76800000,-19200000,17400000,41400000,23500000,93800000,103700000,191200000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/912093/000091209300500006/0000912093-00-500006-index.html,https://www.sec.gov/Archives/edgar/data/912093/000109581101504970/0001095811-01-504970-index.html,- -,https://www.sec.gov/Archives/edgar/data/912093/000104746903031522/a2119081z10-k.htm,https://www.sec.gov/Archives/edgar/data/912093/000089161804001245/f00999e10vk.htm,https://www.sec.gov/Archives/edgar/data/912093/000119312505195032/0001193125-05-195032-index.html,- -,https://www.sec.gov/Archives/edgar/data/912093/000119312507191624/0001193125-07-191624-index.html,https://www.sec.gov/Archives/edgar/data/912093/000119312508184575/0001193125-08-184575-index.html,https://www.sec.gov/Archives/edgar/data/912093/000119312509180423/0001193125-09-180423-index.html,https://www.sec.gov/Archives/edgar/data/912093/000119312510201868/0001193125-10-201868-index.html,https://www.sec.gov/Archives/edgar/data/912093/000104746911007735/0001047469-11-007735-index.html,https://www.sec.gov/Archives/edgar/data/912093/000104746912008496/0001047469-12-008496-index.html,https://www.sec.gov/Archives/edgar/data/912093/000104746913008597/0001047469-13-008597-index.html,https://www.sec.gov/Archives/edgar/data/912093/000104746914007199/0001047469-14-007199-index.html,https://www.sec.gov/Archives/edgar/data/912093/000110465915061694/0001104659-15-061694-index.html,https://www.sec.gov/Archives/edgar/data/912093/000091209316000035/viavq4fy1610-k.htm,https://www.sec.gov/Archives/edgar/data/912093/000091209317000022/0000912093-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/912093/000091209318000059/0000912093-18-000059-index.html,https://www.sec.gov/Archives/edgar/data/912093/000091209319000023/0000912093-19-000023-index.html,https://www.sec.gov/Archives/edgar/data/912093/000091209320000057/0000912093-20-000057-index.htm,https://www.sec.gov/Archives/edgar/data/912093/000091209321000128/0000912093-21-000128-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
