,https://roic.ai/company/COOP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,- -,-559800000,-210400000,31000000,-893200000,-836600000,-1538400000,-2186300000,-7371900000,-12083100000,-11121600000,-23981400000,-16866000000,-2173000000,-10159000000,-28804000000,-37392000000,-9637000000,-478000000,13486000000,- -,- -,- -,- -,-4249000,- -,- -,- -,- -,- -,163000000,-204000000,-77000000,768000000
89,Cash Used for Investing Activites,- -,- -,-260600000,94900000,258500000,-1149300000,-530000000,-2513000000,-2209000000,-3150600000,-9929300000,-15201700000,-27769100000,-7653000000,-12345000000,16780000000,-18886000000,-15992000000,-14618000000,168000000,12228000000,- -,- -,83133000,58796000,27000000,51292000,156159000,-39127000,21980000,73048000,-412000000,-338000000,-134000000,1192000000
90,Debt Repayment,- -,- -,-1154200000,-2170800000,-584900000,-1309500000,-4288400000,-4049200000,-3644000000,-14454100000,-48768400000,-5564900000,-9910400000,-19817000000,-25252000000,-44664000000,-13087000000,-76411000000,-83397000000,-91590000000,-80123000000,- -,- -,-12511000,- -,- -,-36294000,-78890000,-10395000,-2969000,-18774000,- -,-613000000,-4376000000,-1428000000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,751000000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-870000000,-58000000,-600000000
93,Dividends Paid,- -,- -,-7300000,-11300000,-13700000,-19600000,-42300000,-60800000,-67700000,-143400000,-295200000,-456000000,-570600000,-626000000,-781000000,-1026000000,-1274000000,-1510000000,-1709000000,-1986000000,-1945000000,- -,- -,- -,- -,- -,- -,- -,-16998000,-18000000,-18050000,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,1268700000,2121600000,248900000,2341700000,4726100000,6451500000,5958500000,17098800000,58702600000,14344600000,33263700000,24656000000,52577000000,32524000000,20677000000,111046000000,99718000000,86873000000,64755000000,- -,- -,- -,- -,81000000,5524000,22335000,581608000,- -,- -,-4174000000,419000000,4538000000,-1668000000
95,Cash Used/Provided by Financing Activities,- -,- -,107200000,-60500000,-349700000,1012600000,395400000,2341500000,2246800000,2501300000,9639000000,8323700000,22782700000,4213000000,26544000000,-13166000000,6316000000,33125000000,14612000000,-6703000000,-17313000000,- -,- -,-12511000,- -,81000000,-30770000,-56555000,554215000,-20969000,-36824000,-4174000000,-313000000,104000000,-3696000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,100000,-100000,- -,- -,- -,100000,-152800000,- -,- -,283200000,-418000000,3422000000,3645000000,-66000000,-2563000000,1759000000,734000000,2612000000,- -,- -,636000,5704000,9000000,-4775000,66023000,-68085000,-7433000,29807000,-1041000000,51000000,301000000,128000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,831000000,- -,- -,3040200000,2622000000,6044000000,7208000000,7018000000,4455000000,6214000000,6948000000,9560000000,- -,- -,1938000,7642000,17000000,11986000,78009000,9924000,2491000,605645000,-1014291000,612000000,913000000,1041000000
99,Cash at the Beginning of Period,- -,- -,109000000,108400000,149400000,140700000,190600000,194400000,222400000,983800000,1665400000,2720000000,2757000000,3040000000,2622000000,3563000000,7084000000,7018000000,4455000000,6214000000,6948000000,- -,- -,1302000,1938000,8000000,16761000,11986000,78009000,9924000,575838000,26709000,561000000,612000000,913000000
100,Free Cash Flow,- -,- -,151900000,-900000,68800000,129000000,103400000,168100000,136500000,411600000,54400000,6594800000,4806700000,2750000000,-11530000000,-1001000000,11451000000,-20281000000,1158000000,7269000000,7376000000,- -,- -,-69986000,-53092000,-99000000,-25297000,-33581000,-583173000,-8444000,-6417000,3049000000,106000000,144000000,1669000000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/933136/000091205702010535/a2072854z10-k.htm,https://www.sec.gov/Archives/edgar/data/933136/000104746903008846/a2105105z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/933136/000104746905006351/a2153144z10-k.htm,https://www.sec.gov/Archives/edgar/data/933136/000110465906016786/a06-2446_110k.htm,https://www.sec.gov/Archives/edgar/data/933136/000110465907015590/a07-3851_110k.htm,https://www.sec.gov/Archives/edgar/data/933136/000104746908002083/a2182890z10-k.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/933136/000119312513110149/0001193125-13-110149-index.html,https://www.sec.gov/Archives/edgar/data/933136/000119312514100035/d630387d10k.htm,https://www.sec.gov/Archives/edgar/data/933136/000156459015001104/wmih-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/933136/000156459016014568/0001564590-16-014568-index.html,https://www.sec.gov/Archives/edgar/data/933136/000156459017004292/0001564590-17-004292-index.html,https://www.sec.gov/Archives/edgar/data/933136/000156459018004269/0001564590-18-004269-index.html,https://www.sec.gov/Archives/edgar/data/933136/000093313619000030/0000933136-19-000030-index.html,https://www.sec.gov/Archives/edgar/data/933136/000093313620000005/0000933136-20-000005-index.html,https://www.sec.gov/Archives/edgar/data/933136/000093313621000005/0000933136-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/933136/000093313622000008/0000933136-22-000008-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
