,https://roic.ai/company/VXRT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
84,CAPEX,- -,- -,- -,-1300000,-1400000,-1400000,-2200000,-1700000,-6800000,-24400000,-23100000,-36400000,-18900000,-21000000,-18983000,-13052000,-12157000,-71652000,-22633000,-8712000,-2575000,-110000,-53000,-4000,-154000,-1000,- -,-1000000,-100000,-100000,-200000,- -,-707000,-850000,-1223000,-5157000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32700000,- -,- -,- -,- -,25504000,- -,- -,-4829000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18200000,- -,- -,- -,- -,- -,- -,- -,-83950000,-203297000,-82325000,-29475000,-23871000,-91471000,-140289000,-11598000,- -,- -,-10000000,-17700000,-15300000,-36300000,-573000,- -,- -,-44811000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,1500000,- -,- -,- -,- -,9700000,8900000,- -,- -,- -,- -,- -,- -,75600000,206475000,54997000,60375000,1600000,55833000,142693000,66624000,- -,- -,- -,6900000,16800000,34700000,1988000,- -,- -,5700000
88,Other Investing Activites,- -,- -,- -,200000,2700000,- -,-6100000,- -,800000,-6300000,- -,- -,- -,2500000,-1809000,148795000,- -,- -,-3239000,-142000,59167000,176442000,1679000,-4000,-104000,223000,- -,- -,- -,-8500000,- -,- -,- -,- -,3000,- -
89,Cash Used for Investing Activites,- -,- -,- -,-1100000,1300000,100000,-8300000,-1700000,-6000000,-30700000,-31600000,-27500000,-18900000,-18500000,-20792000,135743000,-12157000,-71652000,-34222000,-5676000,29264000,207232000,-20645000,-35642000,2300000,55249000,- -,31700000,-10100000,-19400000,1300000,-1600000,26212000,-850000,-1220000,-49097000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10091000,-6050000,- -,- -,- -,- -,-100000,-300000,-400000,-1742000,-3799000,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,500000,7300000,200000,19500000,1000000,1900000,400000,100000,100000,13192000,1846000,1199000,128129000,9820000,108730000,2022000,728000,128000,528000,645000,663000,- -,- -,26800000,- -,- -,- -,- -,18353000,111109000,122210000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-12700000,- -,-2500000,- -,- -,- -,- -,- -,- -,-977000,-917000,- -,- -,- -,- -,-16523000,-20010000,-7940000,-42773000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,-1400000,-1700000,-700000,11400000,-1600000,-9300000,15400000,37900000,37600000,-1800000,-5100000,-1463000,-31025000,-78500000,- -,-5333000,-6337000,-2909000,-33314000,-51740000,- -,- -,- -,- -,- -,- -,- -,18100000,- -,13000,1406000,27205000,3594000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,-1400000,-1700000,-200000,6000000,-1400000,7700000,16400000,39800000,38000000,-1700000,-5000000,11729000,-30156000,-78218000,128129000,4487000,102393000,-887000,-49109000,-71622000,-17503000,-48178000,663000,- -,- -,26800000,-100000,17800000,-400000,-1729000,15960000,138314000,125804000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4800000,1500000,-7900000,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,-1400000,-1700000,-200000,6000000,-1400000,1200000,16400000,39800000,38000000,-1700000,-200000,748000,129638000,-79455000,64019000,-20997000,7003000,-15535000,131379000,-111168000,-46928000,-5946000,40746000,- -,13000000,14900000,-37000000,5000000,-32000000,9935000,2020000,113344000,16875000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,2000000,- -,- -,- -,- -,800000,1554000,131192000,51737000,115756000,94759000,101762000,86227000,217606000,106438000,59510000,53564000,94310000,- -,66800000,81700000,44700000,49700000,17700000,11506000,13526000,126870000,143745000
99,Cash at the Beginning of Period,- -,- -,- -,300000,600000,600000,300000,1000000,800000,12100000,4000000,18500000,3400000,1000000,806000,1554000,131192000,51737000,115756000,94759000,101762000,86227000,217606000,106438000,59510000,53564000,- -,53800000,66800000,81700000,44700000,49700000,1571000,11506000,13526000,126870000
100,Free Cash Flow,- -,- -,- -,1500000,-900000,-1600000,700000,1300000,-7300000,-18200000,-16900000,-62000000,-700000,2300000,-9172000,10999000,-1237000,-64110000,-13895000,-98426000,-46487000,-26854000,-18954000,6213000,39778000,-15167000,- -,-14900000,-3400000,-9700000,-14300000,-30000000,-15255000,-13940000,-24973000,-64989000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72444/000095014497002961/0000950144-97-002961-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72444/000095014401003310/0000950144-01-003310-index.html,- -,https://www.sec.gov/Archives/edgar/data/72444/000095014403002477/0000950144-03-002477-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312504030984/0001193125-04-030984-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312505046671/0001193125-05-046671-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312506045205/0001193125-06-045205-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312507054992/0001193125-07-054992-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312508042033/0001193125-08-042033-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312509050984/0001193125-09-050984-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312510052735/0001193125-10-052735-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312511059378/0001193125-11-059378-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000119312512115162/0001193125-12-115162-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/72444/000143774914017648/0001437749-14-017648-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774915017193/0001437749-15-017193-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774916038645/0001437749-16-038645-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/72444/000143774920005683/0001437749-20-005683-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774921004115/0001437749-21-004115-index.htm,https://www.sec.gov/Archives/edgar/data/72444/000143774922004354/0001437749-22-004354-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
