,https://roic.ai/company/WWE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
90,Debt Repayment,- -,-7874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-927000,-1002000,-1082000,-1169000,-1621000,-1396000,-4080000,-4345000,-14441000,-7504000,-4782000,-13455000,-114394000,-112346000
91,Common Stock Issued,- -,- -,- -,181815000,62551000,413000,482000,305000,1200000,17306000,7052000,842000,951000,1022000,893000,811000,704000,970000,1066000,1397000,1578000,1948000,2325000,2630000,2973000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-1139000,-29554000,-19031000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-83441000,- -,-165630000
93,Dividends Paid,- -,- -,-6500000,-67476000,- -,- -,- -,-10954000,-24716000,-50064000,-68664000,-81397000,-82269000,-83643000,-47809000,-35815000,-35979000,-36150000,-36345000,-36564000,-36854000,-37243000,-37431000,-37249000,-36413000
94,Other Financing Activites,- -,9848000,400000,-110829000,44922000,7544000,322000,-1248000,-700000,-757000,-19000,7349000,2473000,4320000,-1721000,7000,30625000,93000,-419000,191033000,5655000,-50798000,-30891000,188918000,-5640000
95,Cash Used/Provided by Financing Activities,- -,1974000,-6100000,3510000,107473000,6818000,-28750000,-30928000,-24216000,-33515000,-61631000,-74133000,-79847000,-79383000,-49806000,-36618000,-6046000,-39167000,-40043000,141425000,-37125000,-90875000,-162893000,39905000,-317056000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,6936000,36900000,56052000,-56739000,41619000,42077000,-80006000,8101000,118635000,49538000,-16150000,30129000,-79961000,-17332000,13557000,-33137000,14316000,-9208000,173957000,-74276000,29757000,-77010000,371655000,-327274000
98,Cash at the End of Period,- -,8797000,45700000,101779000,45040000,86659000,128473000,48467000,56568000,175203000,135805000,119655000,149784000,69823000,52491000,66048000,32911000,47227000,38019000,211976000,137700000,167457000,90447000,462102000,134828000
99,Cash at the Beginning of Period,- -,1861000,8800000,45727000,101779000,45040000,86396000,128473000,48467000,56568000,86267000,135805000,119655000,149784000,69823000,52491000,66048000,32911000,47227000,38019000,211976000,137700000,167457000,90447000,462102000
100,Free Cash Flow,- -,4962000,43000000,52542000,-74834000,38255000,10545000,36526000,11430000,57888000,80010000,9947000,110882000,27490000,35230000,29161000,-32177000,42786000,29544000,26717000,71878000,154444000,52606000,292212000,139365000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1091907/000095013000004115/0000950130-00-004115-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000095012301504803/0000950123-01-504803-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000091205702028674/0000912057-02-028674-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677403000546/0001206774-03-000546-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677404000684/0001206774-04-000684-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677405001228/0001206774-05-001228-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091907/000120677409000374/0001206774-09-000374-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677410000348/0001206774-10-000348-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677411000440/wwe_10k.htm,https://www.sec.gov/Archives/edgar/data/1091907/000120677412000891/0001206774-12-000891-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000144530513000441/0001445305-13-000441-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190714000008/wwe12311310kdoc.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190715000012/wwe12311410k.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190716000046/0001091907-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190717000008/0001091907-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190718000008/0001091907-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190719000016/0001091907-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190720000011/0001091907-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190721000009/0001091907-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190722000018/0001091907-22-000018-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
