,https://roic.ai/company/MGM,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,- -,- -,- -,92100000,93300000,35900000,-10700000,18700000,-20200000,-437561000,-225983000,-144658000,-7438000,-107775000,-515985000,-133349000,-549301000,-1469546000,669900000,209424000,1067956000,581421000,504111000,-380765000,170798000,-63834000,-717755000,-422104000,1259000,-216250000,-30444000
82,Other Non-Cash Items,- -,-12800000,-800000,18100000,20800000,68700000,-120400000,10000000,222100000,6000000,-19600000,86500000,714142000,-74497000,-63804000,-170306000,27349000,502098000,-524073000,-911496000,1660191000,-641004000,2367558000,-3760459000,2313523000,603890000,980557000,42096000,-157222000,1108746000,-334825000,-2146852000,-884532000,-1435205000
83,Cash Provided by Operating Activities,- -,12500000,-11200000,21500000,12300000,-37600000,94500000,114500000,245200000,184000000,171700000,289900000,817558000,793746000,827958000,687736000,829247000,1182796000,1217414000,994416000,753032000,587914000,504014000,675126000,909351000,1310448000,1130670000,1005079000,1533972000,2206411000,1722539000,1810401000,-1493043000,1373423000
84,CAPEX,- -,-19700000,-159600000,-42600000,-221000000,-480100000,-66000000,-37400000,-84800000,-227800000,-361900000,-375300000,-336499000,-327936000,-300039000,-550232000,-702862000,-759949000,-1884053000,-2917409000,-781754000,-136850000,-207491000,-301244000,-422763000,-562124000,-957041000,-1466819000,-2262473000,-1864082000,-1486843000,-739006000,-270579000,-490697000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5315466000,- -,- -,- -,- -,-4420990000,- -,2675941000,- -,-963685000,- -,278198000,-54300000,-28953000,-103040000,-103855000,-548076000,-16727000,-927213000,34775000,-96925000,-2016493000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-702999000,-330313000,-285469000,-219546000,-693133000,-200205000,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,753452000,113422000,- -,315438000,252592000,210300000,770205000,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,100300000,1000000,127300000,23100000,67400000,-127000000,-128600000,-36000000,26000000,-43800000,-11400000,95273000,-24269000,-71171000,-5456000,355109000,-121878000,231626000,450769000,-1199686000,-120022000,3498000,30803000,-422086000,-564230000,-938277000,-1261203000,-1728128000,-1563865000,-1155808000,3484659000,2256229000,3560138000
89,Cash Used for Investing Activites,- -,80600000,-158600000,84700000,-197900000,-412700000,-193000000,-166000000,-120800000,-201800000,-405700000,-386700000,-5556692000,-352205000,-371210000,-555688000,-347753000,-5302817000,-1652427000,209301000,-1981440000,-330255000,-586079000,-21312000,-446417000,-560137000,-1524150000,-795058000,-2276204000,-1580592000,-2083021000,3519434000,2159304000,1543645000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8258155000,-11962339000,-6846200000,-7643245000,-3405262000,-5680150000,-5994254000,-4687026000,-502669000,-2265000,-3764167000,-846815000,-2096217000
91,Common Stock Issued,- -,33100000,5100000,200200000,100000000,71600000,800000,7500000,350300000,2800000,1700000,50100000,1255161000,9974000,45985000,36254000,135910000,145761000,89113000,1290550000,14116000,1105055000,588456000,- -,- -,- -,- -,- -,1207500000,404685000,- -,1250006000,524704000,792851000
92,Common Stock Repurchased,- -,- -,-9500000,-20000000,- -,- -,-27800000,- -,- -,- -,-210600000,-295200000,-52579000,-45716000,-207590000,-442864000,-348895000,-217316000,-246892000,-826765000,-1240856000,- -,- -,- -,- -,- -,- -,- -,-100000000,-327500000,-1283333000,-1031534000,-353720000,-1753509000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-11341000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-252014000,-260592000,-271288000,-77606000,-4789000
94,Other Financing Activites,- -,-43500000,82300000,-82800000,455900000,10000000,-10000000,78100000,-523200000,-11800000,490300000,381500000,3654339000,-424796000,-292880000,241375000,-112987000,4134381000,667803000,-1704322000,2348822000,8641850000,9898705000,7558122000,6856286000,2915554000,5988227000,5736375000,4098948000,108720000,1935424000,-712611000,2856864000,247569000
95,Cash Used/Provided by Financing Activities,- -,-10400000,77900000,97400000,555900000,81600000,-37000000,85600000,-172900000,-9000000,281400000,136400000,4845580000,-460538000,-454485000,-165235000,-325972000,4062826000,510024000,-1240537000,1122082000,1488750000,-1475178000,711922000,-786959000,-489708000,308077000,-257879000,519422000,-568778000,389234000,-4529594000,2103427000,-2814095000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1213000,1621000,-443000,-889000,793000,-921000,-3627000,-1985000,2601000,2345000,-1551000
97,Net Change In Cash,- -,-10400000,77900000,97400000,555900000,81600000,-37000000,85600000,-172900000,-9000000,281400000,39500000,106446000,-18997000,2263000,-33187000,155522000,-57195000,75011000,-36820000,-106326000,1760563000,-1557243000,1366949000,-322404000,260160000,-89954000,-43403000,-223731000,53414000,26767000,802842000,2772033000,101422000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121500000,227968000,208971000,211234000,178047000,435128000,377933000,452944000,412390000,295644000,2056207000,498964000,1865913000,1543509000,1803669000,1713715000,1670312000,1446581000,1499995000,1526762000,2329604000,5101637000,5203059000
99,Cash at the Beginning of Period,- -,15500000,98100000,6200000,209800000,580000000,211300000,75900000,110000000,61400000,34600000,82000000,121522000,227968000,208971000,211234000,279606000,435128000,377933000,449210000,401970000,295644000,2056207000,498964000,1865913000,1543509000,1803669000,1713715000,1670312000,1446581000,1499995000,1526762000,2329604000,5101637000
100,Free Cash Flow,- -,-7200000,-170800000,-21100000,-208700000,-517700000,28500000,77100000,160400000,-43800000,-190200000,-85400000,481059000,465810000,527919000,137504000,126385000,422847000,-666639000,-1922993000,-28722000,451064000,296523000,373882000,486588000,748324000,173629000,-461740000,-728501000,342329000,235696000,1071395000,-1763622000,882726000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789570/000089843095000343/0000898430-95-000343-index.html,https://www.sec.gov/Archives/edgar/data/789570/000089843096001054/0000898430-96-001054-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789570/000091205702011658/a2073904z10-k405.htm,https://www.sec.gov/Archives/edgar/data/789570/000104746903010320/a2106169z10-k.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015304000362/p68776e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015305000488/p70273e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015306000642/p71958e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015307000441/p73509e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015308000421/p75046e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015309000211/0000950153-09-000211-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012310018374/0000950123-10-018374-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012311019786/p18354e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000104746912001824/0001047469-12-001824-index.html,https://www.sec.gov/Archives/edgar/data/789570/000104746913001980/0001047469-13-001980-index.html,https://www.sec.gov/Archives/edgar/data/789570/000119312514078072/d656757d10k.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459015001180/mgm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459016013639/0001564590-16-013639-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/0001564590-17-003007-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459018003942/0001564590-18-003942-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459019004807/0001564590-19-004807-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/0001564590-20-007393-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/0001564590-21-009205-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957022000005/0000789570-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
