,https://roic.ai/company/MUR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,- -,-7300000,- -,- -,- -,- -,79600000,24900000,-48300000,-7800000,8200000,48900000,-33790000,-33106000,97664000,92261000,195843000,127566000,244048000,-18456000,181288000,235269000,-574304000,2960000,76759000,-414890000,-153350000,-357475000,282964000,480645000,-503640000,-2218000,252433000,118457000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-402481000,- -,-43630000,-309322000,224281000,175820000,297625000,119671000,114401000,-89070000,-232037000,164613000,- -
79,Inventory,- -,- -,- -,- -,-21400000,-12100000,8100000,-17100000,-15200000,-400000,-23400000,22600000,-27100000,28600000,-21900000,-12197000,-8393000,- -,- -,- -,- -,-96122000,-107945000,22474000,-114569000,- -,-59413000,-157657000,14166000,25697000,-15340000,-5171000,26883000,12216000,10258000,5953000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269634000,-176543000,-54785000,-36887000,-328078000,-51439000,-51769000,196773000,-208740000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,79600000,104500000,56200000,48400000,56600000,105500000,71710000,38604000,136268000,228529000,424372000,551938000,795986000,777530000,958818000,1194087000,619783000,622743000,699502000,284612000,131262000,-226213000,56751000,537396000,33756000,31538000,283971000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,53300000,-11600000,74300000,26200000,54100000,-88400000,227200000,236700000,31300000,112800000,-53100000,193667000,-3780000,-6855000,-93912000,-244160000,-209205000,-375065000,410072000,-23237000,-333841000,1596611000,1098158000,1692059000,2771796000,2427730000,4774702000,981644000,711304000,1495622000,386844000,988653000,1381516000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,305700000,292400000,235900000,292300000,363000000,337300000,322900000,474300000,401800000,321100000,368900000,747751000,635704000,532844000,652278000,1097018000,1225262000,962702000,1740420000,3039912000,1864633000,3128558000,2145385000,3056281000,3638487000,3009076000,1168364000,600795000,1140580000,1219396000,1562888000,801506000,1422163000
84,CAPEX,- -,- -,- -,- -,-199900000,-237600000,-223200000,-235600000,-570200000,-413600000,-296300000,-418100000,-468000000,-388800000,-386600000,-512331000,-813500000,-834056000,-937776000,-938449000,-1246242000,-1191670000,-1949219000,-2243564000,-2008851000,-2415311000,-2623407000,-3674621000,-3590344000,-3679464000,-2549736000,-926948000,-1009667000,-1897428000,-2556586000,-872770000,-688213000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-348000000,- -,69000000,-40000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17892000,- -,- -,- -,-1043473000,-2531515000,-2388720000,-1689087000,-1619308000,-923497000,-986328000,-911787000,-695879000,-212661000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17892000,- -,- -,623133000,2172830000,2551187000,1773552000,2035798000,664258000,899857000,1129139000,761000000,320828000,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,1200000,117900000,-8000000,362600000,8200000,4200000,-2000000,37000000,44400000,7700000,37300000,-106380000,171562000,72610000,189929000,59564000,162710000,13004000,10706000,340705000,-111434000,-35968000,924588000,-1135000,1941000,1448117000,410263000,1147914000,69506000,1383000,20382000,18244000,270503000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-198700000,-119700000,-231200000,127000000,-562000000,-409400000,-298300000,-381100000,-423600000,-381100000,-349300000,-618711000,-641938000,-761446000,-747847000,-896777000,-1065640000,-1178666000,-2286513000,-2323199000,-2409970000,-2328812000,-1614354000,-3259266000,-3847642000,-2317818000,-1922121000,286087000,-831994000,-1896045000,-2536204000,-854526000,-417710000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2572000,-414038000,-340041000,-350000000,- -,-25265000,-460434000,-610447000,-567133000,-9750000,-2572020000,-263533000,-1281496000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,600000,- -,- -,18864000,25131000,3598000,3156000,26513000,24864000,41624000,29687000,12746000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-250000000,-500000000,-375000000,-250000000,- -,- -,- -,-499924000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-39900000,-39900000,-49200000,-59300000,-55900000,-58200000,-58300000,-58300000,-60600000,-62900000,-63000000,-65294000,-67826000,-70898000,-73464000,-78205000,-83198000,-98162000,-127353000,-166501000,-190788000,-201405000,-212752000,-714429000,-235108000,-236371000,-244998000,-206635000,-172565000,-173044000,-163669000,-95989000,-77204000
94,Other Financing Activites,- -,- -,- -,- -,-56700000,-106900000,14400000,-217000000,21200000,60000000,24600000,11700000,-1200000,127000000,50200000,40414000,7478000,347037000,231399000,-494977000,-51632000,244733000,710511000,-472559000,247643000,49497000,4470000,2000138000,627401000,91926000,590871000,526201000,534481000,310558000,2100705000,399233000,564187000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,-96600000,-146800000,-34800000,-276300000,-36300000,1800000,-33700000,-46600000,-61600000,64700000,-12800000,-24880000,-41484000,301270000,161533000,-570026000,-108317000,171435000,624782000,-609373000,67029000,-565946000,-548323000,685709000,-107707000,-544710000,-364561000,-290881000,-205217000,127764000,-1134908000,39711000,-794513000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,-3000000,6000000,2000000,-7200000,-1300000,200000,200000,2300000,-2100000,-700000,-900000,-5591000,-2331000,9637000,21504000,79642000,-1497000,2586000,51628000,-114937000,35279000,881000,-4660000,8875000,3238000,-3726000,10294000,-6387000,1327000,-28730000,3533000,2009000,638000
97,Net Change In Cash,- -,- -,- -,- -,-96600000,-146800000,-34800000,-276300000,-36300000,-70100000,-8900000,48800000,-85400000,- -,5800000,98569000,-50049000,82305000,87468000,283100000,49808000,-41943000,130317000,-7597000,-364966000,234681000,-21952000,433443000,-197161000,443153000,-910125000,589614000,92191000,-577615000,-53163000,3846000,210578000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,71100000,62200000,109700000,24300000,- -,34100000,132701000,82652000,164957000,252425000,535525000,585333000,543390000,673707000,666110000,301144000,535825000,513873000,947316000,750155000,1193308000,283183000,872797000,964988000,387373000,306760000,310606000,521184000
99,Cash at the Beginning of Period,- -,- -,- -,- -,235200000,242700000,270100000,242100000,377800000,141200000,71100000,60900000,109700000,24300000,28300000,34132000,132701000,82652000,164957000,252425000,535525000,585333000,543390000,673707000,666110000,301144000,535825000,513873000,947316000,750155000,1193308000,283183000,872797000,964988000,359923000,306760000,310606000
100,Free Cash Flow,- -,- -,- -,- -,105800000,54800000,12700000,56700000,-207200000,-76300000,26600000,56200000,-66200000,-67700000,-17700000,235420000,-177796000,-301212000,-285498000,158569000,-20980000,-228968000,-208799000,796348000,-144218000,713247000,-478022000,-618340000,48143000,-670388000,-1381372000,-326153000,130913000,-678032000,-993698000,-71264000,733950000
101,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066196000195/0000930661-96-000195-index.html,https://www.sec.gov/Archives/edgar/data/717423/000093066197000702/0000930661-97-000702-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066101000634/0000930661-01-000634-index.html,- -,https://www.sec.gov/Archives/edgar/data/717423/000093066103001213/0000930661-03-001213-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312504039974/0001193125-04-039974-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312505052706/0001193125-05-052706-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312506054960/0001193125-06-054960-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312507044355/0001193125-07-044355-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312508043756/0001193125-08-043756-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312509040617/0001193125-09-040617-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312510042802/0001193125-10-042802-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312511049276/0001193125-11-049276-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312512084989/0001193125-12-084989-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312513082919/0001193125-13-082919-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000119312514077534/0001193125-14-077534-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742315000016/0000717423-15-000016-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742316000064/0000717423-16-000064-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742317000005/0000717423-17-000005-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742318000011/0000717423-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742319000016/0000717423-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742320000008/0000717423-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742321000014/0000717423-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/717423/000071742322000019/0000717423-22-000019-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
