,https://roic.ai/company/KTCC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,4000000,3600000,-700000,3200000,19100000,700000,7800000,4200000,3256000,7481000,919000,-544000,-17000,5114000,-34000,-1857000,-718000,10038000,3697000,-2569000,-5066000,29282000,1458000,7667000,4580000,9425000,11457000,919000,-31004000,-15052000
84,CAPEX,- -,- -,- -,- -,- -,- -,-5400000,-7800000,-44900000,-7700000,-7100000,-9600000,-7100000,-2300000,-1439000,-720000,-1142000,-2128000,-1633000,-2868000,-1638000,-3137000,-1180000,-1891000,-3378000,-3818000,-4654000,-3470000,-7763000,-8808000,-13277000,-9307000,-4523000,-8386000,-8623000,-10602000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6027000,-47964000,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,300000,1300000,19200000,300000,400000,1100000,- -,1100000,92000,5256000,1711000,-816000,441000,1455000,140000,2691000,1485000,- -,74000,128000,9000,171000,- -,8641000,7612000,834000,1041000,6477000,5046000,- -
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,-5100000,-6600000,-25700000,-7400000,-6700000,-8500000,-7000000,-1200000,-1347000,4536000,569000,-2944000,-1192000,-1413000,-1498000,-446000,305000,-1891000,-3304000,-3690000,-4645000,-3299000,-13790000,-48131000,-5665000,-8473000,-3482000,-1909000,-3577000,-10602000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-204286000,-25961000,-94790000,-106269000,-82268000,-8788000,-130106000,-196126000,-166413000,-195403000,-180425000,-147726000,-395870000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,100000,400000,200000,1200000,700000,- -,100000,- -,31000,89000,- -,- -,4000,29000,116000,460000,253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,-300000,-100000,25500000,1400000,-14400000,8000000,-3400000,-1400000,-2793000,-10982000,-2140000,3239000,849000,-2867000,2381000,2801000,-347000,193989000,25609000,101511000,115250000,66602000,16104000,165139000,197857000,164816000,187398000,181673000,182259000,424444000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,-200000,300000,25700000,2600000,-13700000,8000000,-3300000,-1400000,-2762000,-10893000,-2140000,3239000,853000,-2838000,2497000,3261000,-94000,-10297000,-352000,6721000,8981000,-15666000,7316000,35033000,1731000,-1597000,-8005000,1248000,34533000,28574000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,1400000,-1300000,-1200000,1100000,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,-200000,300000,25700000,2600000,-13700000,8000000,-3300000,1600000,-853000,1124000,-652000,-249000,-356000,863000,965000,958000,-507000,-2150000,41000,462000,-730000,10317000,-5016000,-5431000,646000,-645000,-30000,258000,-48000,2920000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,1013000,2137000,1485000,956000,600000,1463000,2428000,3386000,2879000,729000,770000,1232000,502000,10819000,5803000,372000,1018000,373000,343000,601000,553000,3473000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,10000000,10200000,6900000,5000000,4500000,2600000,2800000,300000,1866000,1013000,2137000,1205000,956000,600000,1463000,2428000,3386000,2879000,729000,770000,1232000,502000,10819000,5803000,372000,1018000,373000,343000,601000,553000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,-1400000,-4200000,-45600000,-4500000,12000000,-8900000,700000,1900000,1817000,6761000,-223000,-2672000,-1650000,2246000,-1672000,-4994000,-1898000,8147000,319000,-6387000,-9720000,25812000,-6305000,-1141000,-8697000,118000,6934000,-7467000,-39627000,-25654000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719733/000071973395000046/0000719733-95-000046-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973396000012/0000719733-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973397000010/0000719733-97-000010-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/719733/000102140801506598/0001021408-01-506598-index.html,https://www.sec.gov/Archives/edgar/data/719733/000103221002001358/0001032210-02-001358-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312503051450/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312504157946/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312505188169/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312506192374/d10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000119312507201905/0001193125-07-201905-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312508195739/0001193125-08-195739-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312509190584/0001193125-09-190584-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312510209062/0001193125-10-209062-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312511245992/0001193125-11-245992-index.html,https://www.sec.gov/Archives/edgar/data/719733/000119312512386435/0001193125-12-386435-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973313000015/0000719733-13-000015-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973314000028/0000719733-14-000028-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973315000070/0000719733-15-000070-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973316000164/ktcc-07022016x10k.htm,https://www.sec.gov/Archives/edgar/data/719733/000071973317000028/0000719733-17-000028-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973318000054/0000719733-18-000054-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973319000063/0000719733-19-000063-index.html,https://www.sec.gov/Archives/edgar/data/719733/000071973320000061/0000719733-20-000061-index.htm,https://www.sec.gov/Archives/edgar/data/719733/000071973321000106/0000719733-21-000106-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
