,https://roic.ai/company/PBH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1295947/000110465905030101/0001104659-05-030101-index.htm,https://www.sec.gov/Archives/edgar/data/1295947/000100579406000290/prestigejune92006.htm,https://www.sec.gov/Archives/edgar/data/1295947/000100579407000315/0001005794-07-000315-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579408000191/0001005794-08-000191-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579409000129/0001005794-09-000129-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000100579410000107/0001005794-10-000107-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594711000011/0001295947-11-000011-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594712000029/0001295947-12-000029-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594713000018/0001295947-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594714000015/0001295947-14-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594715000015/0001295947-15-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594716000051/0001295947-16-000051-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594717000018/0001295947-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594718000013/0001295947-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594719000015/0001295947-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594720000018/0001295947-20-000018-index.html,https://www.sec.gov/Archives/edgar/data/1295947/000129594721000021/0001295947-21-000021-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2528000,545000,-14896000,4183000,13459000,26277000,36078000,33919000,-186776000,32115000,29220000,37212000,65505000,72615000,78260000,99907000,69395000,339570000,-35800000,142281000,164682000
74,Depreciation and Amortization,- -,3992000,5274000,5429000,12743000,13426000,13641000,14021000,11219000,11450000,10108000,10734000,13235000,13486000,17740000,23676000,25792000,33426000,31779000,28995000,30164000
75,Deferred Income Tax,- -,- -,- -,2414000,7197000,14976000,9662000,10096000,-19955000,11012000,9324000,13793000,25505000,19012000,28922000,46152000,-5778000,-269086000,-40554000,13852000,18628000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,2439000,2085000,3575000,3078000,3772000,5146000,6918000,9954000,8148000,8909000,7438000,7644000,8543000
77,Change in Working Capital,- -,- -,- -,16209000,24542000,9525000,-7418000,4626000,21853000,-12839000,-3124000,29738000,-15607000,25322000,9843000,39659000,30096000,7853000,-6319000,41814000,-68076000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,8193000,6404000,4918000,-15854000,-12882000,9735000,1608000,1824000,-18938000,-5043000,-2980000,-2849000,36872000
79,Inventory,- -,- -,- -,-1194000,5263000,-7156000,4292000,477000,2719000,-3351000,12443000,3710000,-9342000,-2850000,15360000,-3005000,-10262000,-2482000,-10535000,2930000,2972000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,-2265000,-3127000,1784000,5127000,24677000,-4641000,-17637000,-11348000,21447000,-10028000,-3993000,6210000,-17342000
81,Other Working Capital,- -,- -,- -,16209000,40751000,50276000,42858000,47484000,69337000,56498000,53374000,83112000,67505000,92827000,102670000,142329000,172425000,180278000,173959000,215773000,147697000
82,Other Non-Cash Items,-550000,-597000,22141000,-22098000,-6899000,-10343000,19936000,-17673000,237899000,15604000,37567000,-27103000,45195000,-23999000,14572000,-44998000,20119000,89438000,232740000,-17462000,81666000
83,Cash Provided by Operating Activities,1978000,3940000,12519000,6137000,51042000,53861000,71899000,44989000,66679000,59427000,86670000,67452000,137605000,111582000,156255000,174350000,147772000,210110000,189284000,217124000,235607000
84,CAPEX,- -,-95000,-421000,-618000,-365000,-23174000,-540000,-521000,-481000,-673000,-655000,-606000,-10268000,-2764000,-6101000,-3568000,-2977000,-12532000,-10480000,-17320000,-22243000
85,Acquisitions Net,- -,- -,- -,-167532000,-425479000,-30989000,-31261000,- -,-4191000,- -,-279159000,-661600000,21474000,-55215000,-809157000,-226984000,-693122000,- -,65912000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,-4412000,-2165000,190000,- -,- -,750000,-16000,- -,7993000,4134000,- -,15000,3000,10000000,7581000,1504000,970000,- -,-2010000,- -
89,Cash Used for Investing Activites,- -,-4412000,-2165000,-167450000,-425844000,-54163000,-31051000,-537000,-4672000,7320000,-275680000,-662206000,11221000,-57976000,-805258000,-222971000,-694595000,-11562000,55432000,-16570000,-22243000
