,https://roic.ai/company/TTI,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
88,Other Investing Activites,- -,400000,800000,-3200000,-400000,-4800000,-3200000,-18600000,700000,2900000,46469000,18964000,-166000,-1289000,22426000,457000,5428000,12600000,55375000,644000,20179000,-1952000,171943000,64142000,1354000,17901000,5610000,6810000,3830000,-206000,13855000,35424000,-2269000
89,Cash Used for Investing Activites,- -,-5400000,-35100000,5400000,-12400000,-6500000,-16400000,-31800000,-54800000,-42400000,21582000,-3615000,-36136000,-33396000,11065000,-208297000,-83591000,-248343000,-235178000,-261455000,-149699000,-115886000,46839000,-206687000,-100025000,-967739000,-114987000,-14256000,-48093000,-188646000,-106442000,6038000,-5175000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-131428000,-295034000,-91784000,- -,-28597000,-120664000,-289900000,-598070000,-689783000,-384100000,-581935000,-258217000,-487574000,-50477000
91,Common Stock Issued,- -,27300000,16500000,100000,- -,- -,700000,- -,- -,1400000,65000,1599000,4102000,5157000,4250000,5371000,10455000,11377000,12087000,4749000,1165000,1287000,53652000,784000,2251000,364181000,303000,168343000,- -,251000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,- -,- -,-3879000,-2041000,- -,-3322000,-2351000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28049000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4513000,-4846000,-12569000,-37816000,-28956000,-18826000,-19224000,-1233000,-1244000,- -
94,Other Financing Activites,- -,-9000000,-1800000,-2000000,-1600000,-2000000,-1300000,19000000,49500000,31500000,-33994000,-18125000,-15664000,-4455000,-37434000,138133000,19991000,186141000,29182000,183960000,198147000,84589000,-2919000,88624000,138993000,809932000,532146000,519442000,381590000,755902000,281574000,471189000,423000
95,Cash Used/Provided by Financing Activities,- -,18300000,14700000,-1900000,-1600000,-2000000,-600000,19000000,49500000,31700000,-33929000,-16526000,-15441000,-1339000,-33184000,140182000,28095000,197518000,41269000,57281000,-95722000,-5908000,50733000,56298000,15734000,871644000,-103437000,-30954000,-21336000,154994000,-5925000,-17629000,-50054000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,555000,-387000,531000,1168000,-3588000,2618000,435000,-2307000,2356000,-659000,-2920000,-2854000,-1987000,1122000,779000,-199000,805000,-1771000
97,Net Change In Cash,- -,18300000,14700000,-1900000,-1600000,-2000000,-600000,19000000,49500000,31700000,1381000,2506000,6521000,-9749000,14303000,-11116000,-3128000,3938000,16298000,-17951000,29512000,31966000,139052000,-130364000,-35294000,9630000,-25327000,6783000,-3712000,13713000,-22334000,66126000,-52343000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4184000,6594000,13115000,3366000,16677000,5561000,2433000,5535000,21833000,3882000,33394000,65360000,204412000,74048000,38754000,48384000,23057000,29840000,26128000,40102000,17768000,83894000,31551000
99,Cash at the Beginning of Period,- -,800000,18300000,7500000,11600000,6900000,8400000,7500000,2800000,2800000,2803000,4088000,6594000,13115000,2374000,16677000,5561000,1597000,5535000,21833000,3882000,33394000,65360000,204412000,74048000,38754000,48384000,23057000,29840000,26389000,40102000,17768000,83894000
100,Free Cash Flow,- -,-1300000,1200000,-8900000,4600000,4100000,-1900000,-4000000,-50200000,-34700000,-11159000,6655000,29758000,4841000,25061000,1349000,-36264000,-138060000,-67035000,-72288000,120542000,45641000,-79817000,-89855000,-51723000,-22964000,75354000,32914000,12672000,-95345000,-18041000,47526000,-15876000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/844965/000084496503000003/0000844965-03-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496504000014/0000844965-04-000014-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496505000012/0000844965-05-000012-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496506000010/0000844965-06-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496507000012/0000844965-07-000012-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496508000016/0000844965-08-000016-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496509000010/0000844965-09-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496510000010/0000844965-10-000010-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496511000022/0000844965-11-000022-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496512000020/0000844965-12-000020-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496513000017/0000844965-13-000017-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496514000022/0000844965-14-000022-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496515000014/0000844965-15-000014-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496516000116/0000844965-16-000116-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496517000003/0000844965-17-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496518000004/0000844965-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496519000003/0000844965-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496520000002/0000844965-20-000002-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496521000002/0000844965-21-000002-index.htm,https://www.sec.gov/Archives/edgar/data/844965/000084496522000007/0000844965-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
