,https://roic.ai/company/CRK,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,400000,500000,2200000,3200000,2400000,3900000,3900000,8900000,8800000,11000000,20800000,28900000,52600000,47600000,48495000,54942000,59518000,68175000,78448000,112068000,185691000,286301000,219477000,253317000,280246000,336096000,95247000,68190000,51782000,94235000,108107000,26137000,263000000,29485000,32067000,34943000
11,COGS and Expenses,400000,600000,3200000,4600000,3900000,5600000,6700000,17300000,29800000,67200000,34800000,49600000,85600000,73100000,81394000,91574000,98496000,118331000,146126000,182759000,313126000,453012000,306207000,322496000,360921000,414809000,562486000,491970000,527034000,616729000,332362000,211524000,- -,493803000,695180000,787879000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62000,73000,1207000,1604000,1012000,1389000,1537000,245000,263000,790000,- -,1059000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25336000,16086000,29456000,42688000,64575000,73242000,58631000,118592000,128743000,146449000,- -,161541000,234829000,218485000
14,Depreciation and Amortization,- -,- -,1000000,1700000,1000000,1800000,2400000,7100000,7000000,9000000,18600000,26200000,51000000,45200000,44958000,49191000,54405000,61169000,63879000,63338000,155571000,244777000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121976000,- -,417112000,469388000
15,EBITDA,-200000,-500000,1200000,2800000,1100000,-1800000,1800000,9600000,6300000,-17200000,46600000,60000000,24600000,40900000,108655000,105280000,72683000,144793000,137088000,159632000,300575000,398855000,315909000,-31157000,5024000,-5408000,-82839000,58114000,-23169000,-1082962000,778000,17100000,- -,286233000,590314000,457551000
16,EBITDA ratio,-0.5000,-1.2500,0.2449,0.3684,0.2821,-0.5806,0.2769,0.4364,0.1950,-0.2281,0.6763,0.6772,0.2645,0.4539,0.6415,0.6252,0.4840,0.6159,0.5239,0.5263,0.5871,0.5805,0.5352,-0.1070,0.0144,-0.0125,-0.1816,0.1383,-0.0417,-4.2903,0.0044,0.0670,- -,0.3724,0.6879,0.2472
17,Operating Income,- -,-200000,1700000,3000000,- -,-2500000,-200000,4700000,2500000,-21000000,35600000,39000000,-9600000,17000000,87989000,76826000,49352000,112513000,93018000,149374000,188358000,233235000,283180000,-31535000,-12004000,-41316000,-131660000,-72332000,-32071000,-1165654000,-183790000,-183000,- -,274886000,163032000,900774000
18,Operating Income ratio,- -,-0.5000,0.3469,0.3947,- -,-0.8065,-0.0308,0.2136,0.0774,-0.2785,0.5167,0.4402,-0.1032,0.1887,0.5195,0.4562,0.3286,0.4786,0.3555,0.4924,0.3679,0.3395,0.4797,-0.1083,-0.0344,-0.0951,-0.2886,-0.1721,-0.0578,-4.6179,-1.0460,-0.0007,- -,0.3576,0.1900,0.4867
19,Total Other Income Expenses (Gains),- -,- -,- -,500000,900000,-700000,200000,400000,400000,-58100000,3600000,-5200000,-16800000,-21300000,-24292000,-20737000,-30002000,-29564000,-19809000,-53080000,-14920000,-39252000,-186352000,-15708000,-12428000,-6780000,-15754000,-90548000,-49729000,-35900000,55825000,-129166000,- -,-150194000,-224659000,-1131096000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33800000,-26400000,-4300000,63697000,56089000,19350000,82949000,73209000,96294000,173438000,193983000,96828000,-47243000,-24432000,-48096000,-147414000,-162880000,-81800000,-1201554000,-127965000,-129349000,- -,124692000,-61627000,-230322000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.3815,-0.2839,-0.0477,0.3761,0.3331,0.1289,0.3528,0.2798,0.3174,0.3388,0.2823,0.1640,-0.1623,-0.0700,-0.1107,-0.3231,-0.3875,-0.1473,-4.7601,-0.7283,-0.5066,- -,0.1622,-0.0718,-0.1244
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000,-9200000,-1500000,22294000,19631000,6773000,29682000,26342000,35815000,74339000,85177000,38611000,-10772000,-4846000,-14624000,-47354000,-56157000,-24689000,-154445000,7169000,-17944000,- -,27803000,-9210000,11403000
23,Net Income,-200000,-500000,200000,1100000,100000,-3600000,-600000,2500000,-700000,-26200000,28000000,22200000,-17200000,-2800000,41403000,36458000,11505000,53942000,46867000,60479000,70665000,68901000,251962000,-36471000,-19586000,-33472000,-100060000,41029000,-57111000,-1047109000,-135134000,-111405000,- -,96889000,-52417000,-241725000
24,Net Income ratio,-0.5000,-1.2500,0.0408,0.1447,0.0256,-1.1613,-0.0923,0.1136,-0.0217,-0.3475,0.4064,0.2506,-0.1849,-0.0311,0.2444,0.2165,0.0766,0.2294,0.1791,0.1994,0.1380,0.1003,0.4268,-0.1253,-0.0561,-0.0771,-0.2193,0.0976,-0.1029,-4.1482,-0.7691,-0.4363,- -,0.1260,-0.0611,-0.1306
25,EPS,-1.60,-5.60,1.60,9.40,0.10,-2.55,-0.45,1.10,-0.60,-11.20,7.90,4.50,-3.55,-0.95,7.40,6.00,1.70,8.35,6.85,7.70,8.35,7.95,28.30,-4.05,-2.15,-3.65,-10.80,4.25,-6.20,-113.53,-11.52,-7.61,- -,0.52,-0.39,-1.12
26,EPS Diluted,-1.60,-5.60,1.60,9.40,0.10,-2.55,-0.45,1.05,-0.60,-11.20,6.55,4.25,-3.55,-0.95,6.05,5.30,1.70,7.65,6.45,7.35,8.05,7.70,27.65,-4.05,-2.15,-3.65,-10.80,4.25,-6.20,-113.53,-11.52,-7.61,- -,0.52,-0.39,-1.12
27,Weighted Average Shares Outstanding,339200,339200,246600,526200,1000000,1411765,1555556,2272727,2500000,2509150,3274000,4837200,4855000,4920200,5258000,5806000,5752800,6392800,6837400,7843200,8444000,8683000,8904800,9000800,9112200,9199400,9284400,9310600,9309400,9223000,11729000,14644000,142750000,142750000,215194000,231633000
28,Weighted Average Shares Outstanding Diluted,339200,339200,246600,526200,1000000,1411765,1555556,2380952,2500000,2509150,4281600,5201600,4855000,4928571,6843800,6910400,6780200,7055000,7250400,8230800,8711200,8881000,9088000,9000800,9112200,9199400,9284400,9310600,9309400,9223000,11729000,14644000,142750000,187378000,215194000,231633000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23194/000002319496000012/0000023194-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319497000007/0000023194-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319498000002/0000023194-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319499000003/0000023194-99-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/23194/000002319401000004/0000023194-01-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/23194/000095013404003512/0000950134-04-003512-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013405005460/0000950134-05-005460-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013406005194/0000950134-06-005194-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013407004595/0000950134-07-004595-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013408003749/0000950134-08-003749-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013409003729/0000950134-09-003729-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095012310018130/0000950123-10-018130-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095012311016458/0000950123-11-016458-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000119312512081407/0001193125-12-081407-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000119312513083473/0001193125-13-083473-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459014000379/0001564590-14-000379-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459015000911/0001564590-15-000911-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459016013592/0001564590-16-013592-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459017002442/0001564590-17-002442-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459018003306/0001564590-18-003306-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459019005805/0001564590-19-005805-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459020008081/0001564590-20-008081-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000002319421000015/0000023194-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000002319422000011/0000023194-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,100000,300000,400000,1500000,900000,800000,3400000,1900000,16200000,14500000,5200000,7600000,7105000,6122000,1682000,5343000,2703000,89000,10715000,24406000,6281000,90472000,1732000,8460000,4471000,2967000,2071000,134006000,65904000,61255000,23193000,18532000,30272000,30663000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48868000,95973000,84637000,47642000,12312000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,100000,300000,400000,1500000,900000,800000,3400000,1900000,16200000,14500000,5200000,7600000,7105000,6122000,1682000,5343000,2703000,89000,10715000,24406000,55149000,186445000,86369000,56102000,16783000,2967000,2071000,134006000,65904000,61255000,23193000,18532000,30272000,30663000
34,Net Receivables,- -,100000,1200000,1000000,800000,3500000,4000000,5800000,8800000,15100000,19500000,31200000,17900000,23600000,39211000,24732000,35542000,45992000,38968000,43199000,76947000,92028000,42277000,82682000,44687000,53733000,43588000,51401000,49041000,18793000,22444000,39981000,107004000,189111000,153701000,275617000
35,Inventory,- -,- -,- -,- -,- -,100000,100000,100000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1251000,1520000,- -,- -,- -,- -,1922000,- -,1379000,1198000,1183000,998000,- -,4503000,3080000,5015000
36,Other Current Assets,100000,- -,100000,200000,800000,900000,1000000,300000,300000,100000,100000,200000,1400000,1000000,2842000,8760000,2678000,4802000,6544000,9482000,9915000,6551000,32602000,4259000,4675000,3255000,14853000,2766000,8726000,2241000,641000,200271000,29230000,77539000,12757000,7441000
37,Total Current Assets,100000,100000,1400000,1500000,2000000,6000000,6000000,7000000,12600000,17200000,35800000,45900000,24500000,32200000,49158000,39614000,39902000,56137000,48215000,52770000,98828000,124505000,130028000,273386000,135731000,113090000,77146000,57134000,61217000,156238000,90172000,302505000,159427000,289685000,199810000,318736000
38,PP&E,1700000,4100000,28800000,29600000,41000000,44800000,46600000,66100000,78000000,102100000,185900000,410800000,404000000,395900000,434913000,638576000,664208000,698686000,827761000,706928000,1773626000,2222875000,1444715000,1576287000,1816248000,2509845000,2470053000,2066735000,2198169000,1038420000,798662000,607929000,1667979000,4012312000,4087575000,4013596000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350214000,335897000,335897000,335897000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,350214000,335897000,335897000,335897000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,300000,200000,1400000,1700000,1200000,1100000,600000,1000000,1000000,800000,300000,100000,1200000,6900000,5859000,4881000,6943000,6133000,65500000,4965000,5671000,7007000,3147000,9288000,12235000,16949000,19944000,15529000,14951000,1192000,1040000,19985000,10220000,19228000,701000,- -
45,Total Non-Current Assets,2000000,4300000,30200000,31300000,42200000,45900000,47200000,67100000,79000000,102900000,186200000,410900000,405200000,402800000,440772000,643457000,671151000,704819000,893261000,963893000,1779297000,2229882000,1447862000,1585575000,1828483000,2526794000,2489997000,2082264000,2213120000,1039612000,799702000,627914000,2028413000,4367437000,4424173000,4349493000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2100000,4400000,31600000,32800000,44200000,51900000,53200000,74100000,91600000,120100000,222000000,456800000,429700000,435000000,489930000,683071000,711053000,760956000,941476000,1016663000,1878125000,2354387000,1577890000,1858961000,1964214000,2639884000,2567143000,2139398000,2274337000,1195850000,889874000,930419000,2187840000,4657122000,4623983000,4668229000
48,Accounts Payable,- -,- -,- -,1400000,700000,5600000,4900000,7900000,8400000,11000000,22800000,56200000,34700000,35600000,45544000,37389000,49470000,63874000,44512000,44216000,132504000,109195000,99460000,67488000,123275000,94041000,86346000,101872000,117329000,57276000,45311000,126034000,138767000,252994000,259284000,314569000
49,Short-Term Debt,- -,100000,3100000,4300000,400000,300000,2800000,6200000,7000000,18700000,100000,- -,38100000,100000,101000,229000,270000,623000,150000,- -,3250000,2588000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2130000,6984000,5750000,4480000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5340000,1487000,- -,- -,- -,- -,- -,- -,- -,15655000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7286000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,100000,400000,1400000,- -,300000,- -,- -,-100000,3100000,5500000,- -,- -,- -,- -,- -,798000,57000,- -,19262000,23901000,16107000,19017000,14995000,27283000,31789000,93166000,45426000,93123000,44842000,38444000,46396000,42455000,65956000,132398000,176558000,314935000
53,Total Current Liabilities,100000,500000,4500000,5700000,1400000,5900000,7700000,14000000,18500000,35200000,22900000,56200000,72800000,35700000,45645000,38416000,49797000,64497000,63924000,68117000,151861000,130800000,114455000,94771000,155064000,187207000,139058000,194995000,162171000,95720000,91707000,168489000,206853000,392376000,441592000,633984000
54,Long-Term Debt,1700000,1700000,10900000,7400000,5300000,7500000,6100000,15700000,30900000,53100000,80000000,260000000,240000000,254000000,234000000,372235000,366002000,306000000,403000000,243000000,455000000,760000000,210000000,470836000,513372000,1196908000,1324383000,798700000,1070445000,1249330000,1044506000,1110529000,1244363000,2500132000,2517149000,2619310000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11200000,1800000,300000,22555000,47911000,52577000,81629000,99451000,119481000,311236000,371896000,185870000,220682000,217993000,201705000,149901000,177026000,154547000,1965000,9126000,10266000,161917000,211772000,200583000,197417000
57,Other Non-Current Liabilities,300000,300000,400000,300000,700000,19600000,18500000,16800000,1000000,1700000,800000,4800000,5400000,7800000,7557000,8847000,34250000,19174000,19248000,3206000,57116000,52606000,5480000,6561000,9254000,16439000,20267000,16672000,16902000,20093000,15804000,10407000,5136000,30237000,22886000,29739000
58,Total Non-Current Liabilities,2000000,2000000,11300000,7700000,6000000,27100000,24600000,32500000,31900000,54800000,80800000,276000000,247200000,262100000,264112000,428993000,452829000,406803000,521699000,365687000,823352000,1184502000,401350000,698079000,740619000,1415052000,1494551000,992398000,1241894000,1271388000,1069436000,1131202000,1411416000,2742141000,2740618000,2846466000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2130000,8499000,6490000,8555000
61,Total Liabilities,2100000,2500000,15800000,13400000,7400000,33000000,32300000,46500000,50400000,90000000,103700000,332200000,320000000,297800000,309757000,467409000,502626000,471300000,585623000,433804000,975213000,1315302000,515805000,792850000,895683000,1602259000,1633609000,1187393000,1404065000,1367108000,1161143000,1299691000,1618269000,3134517000,3182210000,3480450000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,379583000,175000000,175000000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12700000,14419000,14276000,14460000,17154000,17824000,21485000,22197000,22714000,23221000,23552000,23853000,24063000,24204000,23840000,23429000,23860000,6969000,7714000,52936000,95003000,116206000,116462000
64,Retained Earnings,-3000000,-3500000,-200000,900000,200000,-18500000,-19200000,-15900000,-17400000,-45400000,-19500000,2200000,-14900000,-19600000,19329000,54183000,61663000,115032000,161899000,222378000,293043000,361944000,613906000,577435000,557849000,524377000,424317000,447349000,366409000,-680700000,-815834000,-927239000,64122000,138596000,55183000,-204042000
65,Other Comprehensive Income/Loss,-700000,-800000,-1300000,-2900000,-3800000,-19500000,-21700000,-30900000,-36700000,-55400000,-54100000,-77700000,-145400000,-189800000,-232387000,-278679000,-1524000,-8772000,-440346000,-325478000,-760284000,-979428000,9083000,30619000,32330000,20476000,4418000,- -,-2305008000,-3397467000,-3018029000,-2042739000,-210556000,139000000,55000000,- -
66,Other Total Stockholders Equity,- -,6200000,17300000,21400000,40400000,56900000,61800000,74400000,95300000,130900000,191900000,200100000,270000000,333900000,378812000,425882000,133828000,166242000,616476000,664474000,1127607000,1366414000,415875000,434505000,454499000,468709000,480595000,480816000,2785442000,3883049000,3555625000,2592992000,663069000,770423000,1040384000,1100359000
67,Total Stockholders Equity,- -,1900000,15800000,19400000,36800000,18900000,20900000,27600000,41200000,30100000,118300000,124600000,109700000,137200000,180173000,215662000,208427000,289656000,355853000,582859000,682563000,771644000,1062085000,1066111000,1068531000,1037625000,933534000,952005000,870272000,-171258000,-271269000,-369272000,569571000,1522605000,1441773000,1187779000
68,Total Liabilities And Stockholders Equity,-900000,4400000,31600000,32800000,44200000,51900000,53200000,74100000,91600000,120100000,222000000,456800000,429700000,435000000,489930000,683071000,711053000,760956000,941476000,1016663000,1657776000,2086946000,1577890000,1858961000,1964214000,2639884000,2567143000,2139398000,2274337000,1195850000,889874000,930419000,2187840000,4657122000,4623983000,4668229000
69,Minority Interest,3000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220349000,267441000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,2100000,4400000,31600000,32800000,44200000,51900000,53200000,74100000,91600000,120100000,222000000,456800000,429700000,435000000,489930000,683071000,711053000,760956000,941476000,1016663000,1878125000,2354387000,1577890000,1858961000,1964214000,2639884000,2567143000,2139398000,2274337000,1195850000,889874000,930419000,2187840000,4657122000,4623983000,4668229000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/23194/000002319496000012/0000023194-96-000012-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319497000007/0000023194-97-000007-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319498000002/0000023194-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/23194/000002319499000003/0000023194-99-000003-index.html,- -,https://www.sec.gov/Archives/edgar/data/23194/000002319401000004/0000023194-01-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/23194/000095013404003512/0000950134-04-003512-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013405005460/0000950134-05-005460-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013406005194/0000950134-06-005194-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013407004595/0000950134-07-004595-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013408003749/0000950134-08-003749-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095013409003729/0000950134-09-003729-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095012310018130/0000950123-10-018130-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000095012311016458/0000950123-11-016458-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000119312512081407/0001193125-12-081407-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000119312513083473/0001193125-13-083473-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459014000379/0001564590-14-000379-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459015000911/0001564590-15-000911-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459016013592/0001564590-16-013592-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459017002442/0001564590-17-002442-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459018003306/0001564590-18-003306-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459019005805/0001564590-19-005805-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000156459020008081/0001564590-20-008081-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000002319421000015/0000023194-21-000015-index.htm,https://www.sec.gov/Archives/edgar/data/23194/000002319422000011/0000023194-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-200000,- -,200000,1100000,100000,-3600000,-600000,2500000,-700000,-26200000,28000000,22200000,-17200000,-2800000,41403000,36458000,11505000,53942000,46867000,60479000,70665000,68901000,251962000,-36471000,-19586000,-33472000,-100060000,41029000,-57111000,-1047109000,-135134000,-111405000,- -,96889000,-52417000,-241725000
74,Depreciation and Amortization,- -,- -,1000000,1700000,1000000,1800000,2400000,7100000,7000000,9000000,18600000,26200000,51000000,45200000,44958000,49191000,54405000,61169000,63879000,63338000,155571000,244777000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121976000,- -,417112000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11400000,-9200000,-1500000,22294000,18851000,6773000,27982000,20739000,31201000,66550000,67780000,43620000,30796000,-4617000,-14652000,-47192000,-56291000,-24677000,-155249000,7105000,-18080000,30131000,28026000,-9409000,-3565000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12263000,15783000,17377000,15032000,13728000,12785000,10697000,8149000,4660000,5923000,3912000,4020000,6464000,6799000
77,Change in Working Capital,- -,- -,-2700000,-1100000,4800000,-500000,-1800000,-5300000,1100000,-12100000,30900000,-23200000,-38000000,44800000,7013000,-2315000,-11093000,1535000,-7349000,362000,-37686000,46738000,21868000,163042000,-197948000,-54784000,12205000,-75949000,36907000,161472000,-62053000,135551000,-181442000,-55265000,-139091000,-49205000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6418000,1997000,-4432000,-9046000,11975000,-11120000,2221000,30248000,-3651000,-16128000,2834000,3220000,34555000,-121952000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10462000,- -,- -,- -
