,https://roic.ai/company/PSA,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,-36000000,-31000000,-23000000,-44000000,-39000000,-71000000,-96000000,-242000000,-181000000,389731000,267241000,-9215000,362016000,232274000,-10062000,88874000,-27738000,167281000,262395000,520577000,-210304000,-144183000,468348000,125547000,352762000,-71958000,-184472000,-199189000,-59429000,-157293000,-114247000,96175000,-10041000,26459000,-137095000,- -
82,Other Non-Cash Items,- -,- -,- -,2300000,-2700000,-8500000,20000000,-5100000,34100000,28100000,153300000,-51519000,-558298000,149303000,299614000,-350941000,143594000,298731000,-77767000,180123000,-150770000,2968000,-218924000,770571000,-132862000,-879670000,278910000,-160418000,445805000,100812000,5201000,-114320000,93213000,-22083000,-169034000,-96894000,-28142000,262623000,-182951000
83,Cash Provided by Operating Activities,- -,- -,- -,12600000,14700000,13100000,12000000,15500000,23000000,32500000,59500000,79180000,123466000,245237000,293163000,368675000,459177000,502450000,538534000,588961000,594430000,647443000,692048000,791700000,1013204000,1059255000,1112857000,1093221000,1203452000,1285659000,1430339000,1606758000,1732601000,1945336000,1975679000,2061503000,2067643000,2042902000,2543555000
84,CAPEX,- -,- -,- -,- -,- -,- -,-1700000,-2100000,-1300000,-11700000,-73300000,-101338000,-119687000,-218770000,-100342000,-156910000,-164710000,-95961000,-223271000,-158220000,-132603000,-175662000,-366687000,-198974000,-266423000,-182530000,-76517000,-77500000,-69777000,-77905000,-172646000,-230183000,-294072000,-351351000,-460678000,-478869000,-187312000,-169998000,-270238000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-733100000,-377409000,- -,- -,- -,- -,-6276000,-139680000,- -,- -,-254549000,-134237000,-1663000,562510000,-18575000,23539000,-1274000,- -,-105040000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1600000,- -,- -,-4292000,- -,- -,-108250000,-86546000,-99357000,-33956000,-35118000,-33784000,-6361000,- -,- -,-54702000,- -,-104828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15209000,34883000,- -,7452000,13074000,6066000,- -,- -,- -,322484000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-70800000,-3200000,100000,3300000,-6100000,-4700000,-8300000,-64100000,-68252000,604115000,120845000,-307971000,-188864000,-175569000,-264996000,22846000,-6817000,-95338000,21029000,176489000,-167359000,14545000,-61571000,-58669000,-185316000,-402565000,-280297000,-1205977000,-62597000,-211627000,-446810000,-401375000,-174976000,-897360000,-1117714000,-5563511000
89,Cash Used for Investing Activites,- -,- -,- -,-70800000,-3200000,100000,1600000,-8200000,-6000000,-20000000,-139000000,-169590000,-248672000,-479626000,-408313000,-345774000,-448529000,-447503000,-306058000,-323464000,-228176000,-188417000,-443656000,-487496000,-247475000,340018000,-91409000,-266605000,-81355000,-290465000,-1412393000,-212996000,-440105000,-716726000,-739854000,-513778000,-897360000,-1117714000,-5563511000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-16600000,-9900000,-2700000,-31600000,-25600000,-8233000,-39212000,-51310000,-18885000,-15131000,-14088000,-11335000,-37451000,-27685000,-39837000,-41204000,-93599000,-711557000,-563023000,-62877000,-109622000,-77092000,-174355000,-61013000,-334795000,-794506000,-17237000,-36459000,-1701000,-1784000,-1920000,-2020000,-2218000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,43800000,2600000,110280000,80526000,130538000,182523000,237860000,10000000,4608000,15857000,23333000,68618000,49929000,7511000,85369000,8457000,10890000,2192000,41308000,26416000,124447000,21111000,37872000,29663000,25541000,42500000,12525000,33564000,12664000,95860000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-72256000,-108565000,-77799000,-718186000,-196042000,-93536000,-336626000,-117399000,-826250000,- -,-186489000,-17535000,-478316000,-1147256000,-1978771000,- -,- -,-270000000,-877857000,-936592000,-12347000,-1062162000,-1220000000,-1175000000
93,Dividends Paid,- -,- -,- -,-15600000,-14600000,-15300000,-15300000,-7600000,-12100000,-14200000,-25600000,-38095000,-69072000,-136308000,-174574000,-179101000,-208090000,-343388000,-342030000,-391726000,-393561000,-432683000,-454807000,-552916000,-598183000,-755288000,-651642000,- -,- -,-959154000,-1091461000,-1200545000,-1371031000,-1505758000,-1630347000,-1612680000,-1608749000,-1606429000,-1588888000
94,Other Financing Activites,- -,- -,- -,43900000,2600000,13200000,10800000,6400000,-2400000,-10600000,130300000,36077000,213249000,237889000,140685000,15497000,313995000,407309000,809214000,380400000,193771000,462980000,537148000,1760959000,91292000,27404000,-161794000,-618609000,-143351000,1757186000,1388985000,731764000,253000000,1245707000,1533921000,-5302000,1518532000,1740069000,6168387000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,28300000,-12000000,-2100000,-21100000,-11100000,-17200000,-12600000,81700000,100029000,185491000,180809000,129749000,-13131000,-6748000,-20605000,-272596000,-211720000,-264545000,-297604000,-121146000,-244395000,-1061457000,-966360000,-938401000,-1132709000,-1438546000,-1117305000,-16160000,-1225415000,-1375605000,-1148826000,-992219000,-1619588000,-1120735000,-1075716000,3498141000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2274000,5488000,2344000,41000,-1444000,-795000,342000,144000,196000,-318000,-381000,-126000,-171000,-13000,-426000,505000
97,Net Change In Cash,- -,- -,- -,-30000000,-400000,11100000,-21100000,-11100000,-17200000,-12600000,81700000,9619000,60285000,-53580000,14599000,9770000,3900000,34342000,-40120000,53777000,101709000,161422000,127246000,62083000,-290240000,435257000,83088000,-307537000,-317244000,-121769000,1930000,168543000,-83427000,79403000,243480000,-72034000,49535000,-150954000,478690000
98,Cash at the End of Period,- -,- -,- -,1000000,600000,12100000,- -,- -,- -,- -,- -,20151000,80436000,26856000,41455000,51225000,55125000,89467000,49347000,103124000,204833000,366255000,493501000,555584000,245444000,680701000,763789000,456252000,139008000,17239000,19169000,187712000,104285000,183688000,456053000,384019000,433554000,282600000,761290000
99,Cash at the Beginning of Period,- -,- -,- -,31000000,1000000,1000000,11700000,4500000,1200000,1500000,8400000,10532000,20151000,80436000,26856000,41455000,51225000,55125000,89467000,49347000,103124000,204833000,366255000,493501000,535684000,245444000,680701000,763789000,456252000,139008000,17239000,19169000,187712000,104285000,212573000,456053000,384019000,433554000,282600000
100,Free Cash Flow,- -,- -,- -,12600000,14700000,13100000,10300000,13400000,21700000,20800000,-13800000,-22158000,3779000,26467000,192821000,211765000,294467000,406489000,315263000,430741000,461827000,471781000,325361000,592726000,746781000,876725000,1036340000,1015721000,1133675000,1207754000,1257693000,1376575000,1438529000,1593985000,1515001000,1582634000,1880331000,1872904000,2273317000
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393311/000139331108000023/0001393311-08-000023-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393311/000139331112000013/ps10k_20111231.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331113000004/ps10k_2012.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331114000009/psa-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331115000005/psa-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331116000036/psa-20151231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331117000008/psa-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331118000004/psa-20171231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331119000004/psa-20181231x10k.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331120000008/0001393311-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393311/000156276221000058/0001562762-21-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1393311/000139331122000010/0001393311-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
