,https://roic.ai/company/IMKTA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
77,Change in Working Capital,- -,- -,- -,-5200000,36400000,-26200000,17800000,-56700000,13200000,-4800000,-12300000,21800000,-11300000,-9800000,12900000,15400000,53900000,41200000,-7800000,-21200000,-36700000,8800000,5800000,111100000,-88600000,-5100000,21100000,63200000,-20000000,8586580,5096220,23393730,36328500,12918950,-103150027,-56338605
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-11500000,-15200000,-3400000,-1600000,1100000,-2200000,-12900000,-11500000,-12900000,-10000000,-15800000,-12385586,-5962534,-5040186,-4435431,3970837,-14680979,-11255593,-18096343,-25211931,-13067946,-14686017,-16735735,-26448437,-76332,167652,-9120524,-5236949,-5451936,-22862408,-1933639,7304622,-23129018
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,41100000,77500000,51300000,69100000,12400000,25600000,20800000,8500000,30300000,19000000,9200000,22100000,37500000,91400000,132600000,124800000,103600000,66900000,75700000,81500000,192600000,104000000,98900000,120000000,183200000,163200000,171786580,176882800,200276530,236605030,249523980,146373953,- -
82,Other Non-Cash Items,- -,- -,- -,-900000,-44300000,24700000,-20800000,71900000,-15500000,5600000,-1100000,-47600000,34900000,6100000,-38935954,-35227867,-60953058,-56281025,7015908,20596257,29876997,-2112783,-48334746,-132575642,92412638,-16227828,-35482184,-41123457,41637194,-19576474,-13648618,-30325397,-90078747,3037178,157646452,-1427823
83,Cash Provided by Operating Activities,- -,- -,- -,25200000,19800000,27600000,23100000,49500000,40300000,45300000,42300000,37000000,71400000,59400000,42279248,47426265,52011750,55759580,87700238,72941204,88115455,141350272,89619450,102906777,125288415,97228258,133750768,145200682,154348781,153465190,159030758,156340291,161240058,211503228,350117097,306296688
84,CAPEX,- -,- -,- -,-40700000,-63300000,-30700000,-16400000,-87300000,-68900000,-118200000,-107300000,-114100000,-155900000,-52200000,-102534798,-73193907,-49713386,-75860731,-71087444,-59863083,-94302164,-127848809,-248779607,-141020762,-92025298,-97506367,-180628852,-101453001,-108338402,-104055949,-137642132,-127695650,-150486508,-161751023,-122767178,-140597162
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-98200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95736465,- -,- -,- -,- -,- -,- -,- -,- -,- -,-295000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,92300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26005560,75730905,- -,- -,- -,- -,- -,- -,- -,- -,290000000
88,Other Investing Activites,- -,- -,- -,1600000,1300000,700000,1400000,900000,1300000,900000,3400000,1200000,3900000,300000,6898629,5052264,6143595,22337397,26016055,899345,970963,14022414,519782,-139903717,-79091191,-94356720,-179291821,-93643589,-107904341,-99679938,-136883603,-125359924,-148146481,-152792557,-117353397,-122984836
89,Cash Used for Investing Activites,- -,- -,- -,-39100000,-67900000,-30000000,-15000000,-86400000,-67600000,-117300000,-103900000,-112900000,-152000000,-51900000,-95636169,-68141643,-43569791,-53523334,-45071389,-58963738,-93331201,-113826395,-248259825,-139903717,-79091191,-164087625,-103560916,-93643589,-107904341,-99679938,-136883603,-125359924,-148146481,-152792557,-117353397,-127984836
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1014673882,-31815342,-311828761,-804768104,-1251837061,-403048324,-734877371,-739600647,-452663514,-528861097,-317927359,-521958064,-1020320371
91,Common Stock Issued,- -,- -,- -,1300000,200000,- -,- -,- -,- -,- -,1200000,3000000,3900000,1100000,1050000,654868,1560856,2328530,10588368,4276859,654334,273409,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-593200,-750240,-2617067,-37125000,-65000000,- -,- -,- -,- -,- -,- -,-79998588
93,Dividends Paid,- -,- -,- -,-3600000,-3700000,-3700000,-3700000,-4100000,-9600000,-11200000,-11100000,-12900000,-13800000,-14000000,-14124892,-14142927,-14235119,-14318245,-14718511,-15215696,-15411665,-15440016,-15452925,-15478933,-15469943,-15444465,-15359401,-30445084,-14463562,-12976890,-12992256,-12997187,-13002823,-13005553,-13007436,-12630446
94,Other Financing Activites,- -,- -,- -,17700000,77400000,-19700000,5600000,34000000,37700000,84900000,73800000,88800000,84200000,200000,63648075,35462321,38697712,43718482,-38784034,-33006171,-13113065,-13057955,173899020,1140006706,- -,349449496,784816880,1280010649,427837067,692960421,728620217,452912925,515395546,303810043,266980650,998046948
95,Cash Used/Provided by Financing Activities,- -,- -,- -,15400000,73900000,-23400000,1900000,29900000,28100000,73700000,63900000,78900000,74300000,-12700000,50573183,21974262,26023449,31728767,-42914177,-43945008,-27870396,-28224562,158446095,109853891,-47878485,21426030,-37927692,-39396496,-54674819,-54893840,-23972686,-12747776,-26468374,-27122869,-267984850,-114902457
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,15400000,73900000,-23400000,1900000,29900000,28100000,73700000,63900000,78900000,74300000,-5100000,-2783738,1258884,34465408,33965013,-285328,-29967542,-33086142,-700685,-194280,72856951,-1681261,-45433337,-7737840,12160597,-8230379,-1108588,-1825531,18232591,-13374797,31587802,-35221150,63409395
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000000,11176013,12434897,46900305,80865318,80593990,50626448,17540306,16839621,4178897,77035848,57854587,12421250,4683410,16844007,8613628,7505040,5679509,23912100,10537303,42125105,6903955,70313350
99,Cash at the Beginning of Period,- -,- -,- -,13300000,14700000,40500000,14600000,24700000,17700000,18500000,20100000,22400000,25400000,19100000,13959751,11176013,12434897,46900305,80879318,80593990,50626448,17540306,4373177,4178897,59535848,57854587,12421250,4683410,16844007,8613628,7505040,5679509,23912100,10537303,42125105,6903955
100,Free Cash Flow,- -,- -,- -,-15500000,-43500000,-3100000,6700000,-37800000,-28600000,-72900000,-65000000,-77100000,-84500000,7200000,-60255550,-25767642,2298364,-20101151,16612794,13078121,-6186709,13501463,-159160157,-38113985,33263117,-278109,-46878084,43747681,46010379,49409241,21388626,28644641,10753550,49752205,227349919,165699526
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014494002149/0000950144-94-002149-index.html,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014496009301/0000950144-96-009301-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014497013567/0000950144-97-013567-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014498014035/0000950144-98-014035-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014499014260/0000950144-99-014260-index.html,https://www.sec.gov/Archives/edgar/data/50493/000095014400015120/0000950144-00-015120-index.html,- -,https://www.sec.gov/Archives/edgar/data/50493/000095014402012605/0000950144-02-012605-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312503098040/0001193125-03-098040-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312505025299/0001193125-05-025299-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312505239236/0001193125-05-239236-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312506245439/0001193125-06-245439-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312507254993/0001193125-07-254993-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312508245931/0001193125-08-245931-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312509248483/0001193125-09-248483-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312510271350/0001193125-10-271350-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312511328924/0001193125-11-328924-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000119312512514931/0001193125-12-514931-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049313000016/0000050493-13-000016-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049314000021/0000050493-14-000021-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049315000023/0000050493-15-000023-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049316000044/0000050493-16-000044-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049317000021/0000050493-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049318000024/0000050493-18-000024-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049319000017/0000050493-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049320000018/0000050493-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/50493/000005049321000017/0000050493-21-000017-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
