,https://roic.ai/company/WRB,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,-7000000,2200000,1100000,1700000,-17000000,-45200000,-20600000,-44000000,2100000,-45700000,-3400000,-35356000,-153175000,-278372000,-369232000,-210803000,-287897000,-346555000,-82352000,- -,- -,- -,-122468000,-228756000,-138027000,-104174000,-60942000,-60403000,-67752000,-43813000,-189151000,-173618000,-364395000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68100000,13500000,14974000,514646000,448221000,1630178000,1490410000,1434803000,1273534000,742755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2370000000,1079557000,1137311000,1249902000,979533000,1059292000,1317652000,1701814000,2332872000,2905071000,3750056000,4195278000,4634456000,3949072000,4836860000,5100246000,-626330000,-988325000,-1828738000,1715473000,1292482000,1742713000,2146273000,-15571999000,1707361000,805199,53207000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,87200000,76700000,72800000,-14900000,88900000,67200000,2454113000,-3400254000,131735000,25694000,329888000,-150972000,-32495000,382649000,448350000,602410000,266111000,389154000,240471000,1849111000,-984131000,-371631000,5886865000,396679000,1033412000,-3575152000,683339000,-326996000,-395217000,17530023000,-16980172000,2607848801,-302122000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,132300000,112800000,119400000,47500000,153300000,117300000,159281000,153856000,298988000,219703000,49069000,-13275000,151944000,959110000,1398183000,1619689000,1719751000,1564014000,1479767000,1552960000,316054000,451316000,670279000,675458000,819798000,734847000,881304000,848376000,710883000,620199000,1143793000,1616686000,2183987000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,-5600000,-6700000,-10000000,- -,- -,-46983000,-17898000,-27167000,-8127000,-7529000,-22076000,-36570000,-28315000,-41871000,-32276000,-42593000,-31108000,-78947000,-30455000,-49605000,-96552000,-256386000,-107352000,130564000,-222659000,-299123000,-236039000,-514064000,-146752000,-38171000,-66634000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197404000,-11739000,-585000,-3304000,-1533000,2187000,3215000,-2053000,5257000,- -,- -,- -,-53101000,-48895000,-33812000,- -,-261992000,-42779000,-56878000,-49638000,-7312000,196765000,-70570000,2027000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,-597900000,-451300000,-684700000,-565900000,-661200000,-911500000,-785405000,-845767000,-1012989000,-1069441000,-710325000,-844792000,-1015593000,-2043352000,-2760083000,-4117706000,-5005194000,-3614652000,-4598488000,-2550567000,-5042327000,-3050387000,-2913326000,-3901993000,-4354692000,-4323372000,-4484749000,-5743938000,-7968479000,-6763363000,-5525864000,-7807664000,-11181393000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,467000000,355100000,565300000,459700000,601900000,711700000,159731000,219673000,120944000,297303000,147668000,142636000,189961000,1024863000,1898139000,1870824000,1303342000,2497850000,3530375000,2250650000,3983084000,3114022000,3150847000,3617221000,4093837000,3421868000,4581276000,4915318000,8034580000,6619958000,5301877000,7811645000,8036349000
88,Other Investing Activites,- -,- -,- -,- -,- -,-1700000,-8700000,-5300000,500000,-41200000,-22400000,493753000,512672000,753259000,772142000,611758000,775216000,608202000,26722000,-5353000,6144000,1378337000,-6025000,104800000,-265752000,7276000,23317000,-134483000,-406961000,-164481000,184789000,-196416000,-111804000,-213276000,-523006000,-140427000,153886000,222532000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,-132600000,-104900000,-130300000,-112400000,-110500000,-222200000,-329325000,-172144000,-157269000,-30467000,39441000,67718000,-236291000,-1030390000,-890355000,-2282609000,-2355791000,-1165420000,-1047522000,-614564000,-1116234000,37347000,-204274000,-775068000,-545364000,-808311000,-170763000,-794488000,-333464000,-714244000,-424871000,119696000,-2989146000
90,Debt Repayment,- -,- -,- -,- -,- -,-3800000,- -,- -,- -,- -,-4500000,-31800000,-28300000,- -,-49104000,- -,-25000000,- -,-8000000,-65750000,- -,-40000000,-310000000,-2674000,-102123000,-11165000,-171485000,-1310000,- -,-465389000,-3700000,-281086000,-75487000,-20000,-4524000,-456360000,-652751000,-504952000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,145300000,144739000,- -,- -,- -,- -,- -,340892000,179946000,13401000,11129000,11250000,47824000,25676000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-9800000,-2300000,- -,- -,-25700000,-26400000,-4095000,-101724000,-41523000,-117944000,-128985000,-7020000,-1002000,-71000,- -,-1341000,-31156000,-45062000,-488813000,-553284000,-147144000,-471007000,-187163000,-127663000,-166473000,-238933000,-223652000,-132392000,-47807000,-24750000,-18225000,-346357000,-122426000
93,Dividends Paid,- -,- -,- -,- -,- -,-4600000,-5100000,-5600000,-6300000,-7000000,-15500000,-18906000,-22967000,-20412000,-20874000,-15889000,-12701000,-14707000,-17872000,-27681000,-23527000,-19055000,-29430000,-36284000,-46978000,-28843000,-49348000,-43253000,-183947000,-52717000,-181489000,-58034000,-183999000,-188199000,-254951000,-308191000,-84147000,-355736000
94,Other Financing Activites,- -,- -,- -,- -,- -,6700000,-8300000,12500000,101900000,51300000,100000,67394000,310847000,13367000,104117000,-26560000,-16065000,-15880000,-22627000,409485000,177272000,455863000,-6073000,257937000,39094000,360537000,332765000,36513000,408802000,354317000,354349000,7454000,384946000,940000,276822000,269583000,685412000,988945000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,-11500000,-15700000,6900000,95600000,18600000,99000000,157332000,157856000,-48568000,-83805000,-171434000,-60786000,309303000,131376000,329455000,163533000,376902000,-342741000,-244158000,-663291000,173385000,-359075000,-195213000,97192000,-330262000,-69773000,-555318000,-6932000,-235086000,-7403000,-513193000,-397843000,5831000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25453000,9529000,-92133000,7390000,-2066000,-2002000,-3654000,-10104000,-22060000,-66033000,-15302000,12853000,-31421000,379000,10117000,-4195000
97,Net Change In Cash,- -,- -,- -,- -,- -,-11500000,-15700000,6900000,95600000,18600000,99000000,-12712000,139568000,93151000,105431000,-70804000,-6343000,224956000,60096000,837283000,-499387000,-259138000,81306000,197616000,182972000,-619405000,127522000,268790000,-6072000,-65932000,-165297000,89190000,31654000,155186000,-132869000,206108000,1348656000,-803523000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,206917000,346485000,439636000,386278000,315474000,309131000,534087000,594183000,1431466000,932079000,672941000,754247000,951863000,1134835000,515430000,642952000,911742000,905670000,839738000,674441000,763631000,795285000,950471000,817602000,1023710000,2372366000,1568843000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,119400000,107600000,99700000,95700000,126300000,225500000,219629000,206917000,346485000,280847000,386278000,315474000,309131000,534087000,594183000,1431466000,932079000,672941000,754247000,951863000,1134835000,515430000,642952000,911742000,905670000,839738000,674441000,763631000,795285000,950471000,817602000,1023710000,2372366000
100,Free Cash Flow,- -,- -,- -,- -,- -,132300000,112800000,113800000,40800000,143300000,117300000,159281000,106873000,281090000,192536000,40942000,-20804000,129868000,922540000,1369868000,1577818000,1687475000,1521421000,1448659000,1474013000,285599000,401711000,624959000,634902000,756648000,692889000,817742000,797547000,595164000,570339000,1083336000,1578515000,2117353000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/11544/000091403996000065/0000914039-96-000065-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403997000076/0000914039-97-000076-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403998000117/0000914039-98-000117-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403999000106/0000914039-99-000106-index.html,- -,https://www.sec.gov/Archives/edgar/data/11544/000091403901000093/0000914039-01-000093-index.html,https://www.sec.gov/Archives/edgar/data/11544/000091403902000118/0000914039-02-000118-index.html,https://www.sec.gov/Archives/edgar/data/11544/000095012303003655/0000950123-03-003655-index.html,- -,https://www.sec.gov/Archives/edgar/data/11544/000095012305003028/y06585e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012306003047/y18323e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012307003012/y30637e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012308002324/y50287e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000095012309003653/0000950123-09-003653-index.html,https://www.sec.gov/Archives/edgar/data/11544/000095012310018092/0000950123-10-018092-index.html,https://www.sec.gov/Archives/edgar/data/11544/000095012311019708/y88683e10vk.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154412000021/0000011544-12-000021-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154413000018/0000011544-13-000018-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154414000012/wrb1231201310k.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154415000010/wrb1231201410k.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154416000086/0000011544-16-000086-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154417000009/0000011544-17-000009-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154418000012/0000011544-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154419000016/0000011544-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154420000016/0000011544-20-000016-index.html,https://www.sec.gov/Archives/edgar/data/11544/000001154421000013/0000011544-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/11544/000001154422000007/0000011544-22-000007-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
